Name,Surah,Ayat,Verse,Tafseer
The Opening,1,1,"In the name of Allah, the Beneficent, the Merciful.",In the Name of God the Compassionate the Merciful
The Opening,1,2,"Praise be to Allah, Lord of the Worlds,",In the Name of God the name of a thing is that by which it can be known. The Names of God exalted be He are the archetypal forms ṣuwar nawʿiyya whose specificities and ipseities hūwiyya indicate the attributes of God and His essence and which indicate by their very existence His countenance and by their individuation His oneness. For these are the outward manifestations through which He can be known; Allāh is a name for the divine essence qua essence absolutely without taking into consideration that it may be qualified by the attributes or indeed taking into consideration that it may not be so qualified; the Compassionate is the one who causes existence and perfection to flow upon all things in the measure that divine wisdom requires and to the capacity of the receiving entities qawābil from the outset of their creation; the Merciful al-Raḥīm is the one who bestows the spiritual perfection kamāl maʿnawī that has been earmarked for the human species in the end sc. in the Hereafter. It is for this reason that they say O You Who are the Compassionate One of this world and of the Hereafter yā raḥmān al-dunyā wa'l-ākhira but say O Merciful One of the Hereafter raḥīm al-ākhira the meaning then is in the perfect human all-encompassing form general and specific mercy which is the locus of manifestation of the divine essence and the greatest truth with the totality of attributes I commence and I recite. It Allāh is the Greatest Name of God. It is to this meaning that the Prophet's ṣlʿm alluded when he said 'I have been given the sum of all excellent speech sc. The QurÌān and have been sent to complete the noble character traits makārim al-akhlāq. For words constitute the realities ḥaqāÌiq of existents mawjūdāt and their concrete substances aʿyān just as Jesus peace be upon him was called a Word from God cf. 33945. The noble character traits are the perfections of these existents and represent their specifities constituting the sources of their the existents' actions in their entirety contained as they are in the comprehensive human microcosm kawn insānī. Herein lies a subtlety la?īfa namely that the prophets peace be upon them have made the letters of the alphabet analogous to the ranks of existents marātib al-mawjūdāt.
The Opening,1,3,"The Beneficent, the Merciful.",The Compassionate the Merciful that is to say the One who possesses ‘mercy’ which means to want what is good for those who deserve it.
The Opening,1,4,"Owner of the Day of Judgment,",Master of the Day of Judgement that is the day of requite the Day of Resurrection. The reason for the specific mention of the Day of Judgement is that the mastery of none shall appear on that Day except that of God may He be exalted as is indicated by God’s words ‘Whose is the Kingdom today?’ ‘God’s’ Q. 4016 if one reads it mālik as opposed to malik then this signifies that He has possession of the entire affair on the Day of Resurrection or else that He is ever described by this expression in the same way as He is described as ‘Forgiver of sin’ ghāfir al-dhanb. Thus one can validly take it as an adjective of a definite noun.
The Opening,1,5,Thee (alone) we worship; Thee (alone) we ask for help,You alone we worship and You alone we ask for help that is to say we reserve worship for You alone by way of acknowledging Your Oneness tawhīd and so on and we ask for Your assistance in worship and in other things.
The Opening,1,6,"Show us the straight path,",Guide us to the straight path that is ‘show us the way to it’. This is substituted by
The Opening,1,7,The path of those whom Thou hast favoured; Not the (path) of those who earn Thine anger nor of those who go astray.,the path of those whom You have favoured with guidance from alladhīna together with its relative clause is substituted by ghayri l-maghdūbi ‘alayhim not the path of those against whom there is wrath namely the Jews and nor of those who are astray namely the Christians. The subtle meaning implied by this substitution is that the guided ones are neither the Jews nor the Christians. But God knows best what is right and to Him is the Return and the final Resort. May God bless our master Muhammad (s) his Family and Companions and grant them everlasting peace. Sufficient is God for us; an excellent Guardian is He. There is no power and no strength save in God the High the Tremendous.
The Cow,2,1,Alif. Lam. Mim.,Alif lām mīm God knows best what He means by these letters.
The Cow,2,2,"This is the Scripture whereof there is no doubt, a guidance unto those who ward off (evil).",That meaning this Book which Muhammad (s) recites in it there is no doubt no uncertainty that it is from God the negation lĀ rayba fĪhi is the predicate of dhĀlika; the use of the demonstrative here is intended to glorify the Book. A guidance hudĀ is a second predicate meaning that it the Book ‘guides’ for the God-fearing namely those that tend towards piety by adhering to commands and avoiding things prohibited thereby guarding themselves from the Fire;
The Cow,2,3,"Who believe in the Unseen, and establish worship, and spend of that We have bestowed upon them;",who believe in that is who accept the truth of the Unseen what is hidden from them of the Resurrection Paradise and the Fire; and maintain the prayer that is to say who perform it giving it its proper due; and of what We have provided them that is of what we have bestowed upon them expend in obedience to God;
The Cow,2,4,"And who believe in that which is revealed unto thee (Muhammad) and that which was revealed before thee, and are certain of the Hereafter.",and who believe in what has been revealed to you namely the Qur’ān; and what was revealed before you that is the Torah the Gospel and other scriptures; and of the Hereafter they are certain that is they know it is real.
The Cow,2,5,These depend on guidance from their Lord. These are the successful.,Those as described in the way mentioned are upon guidance from their Lord those are the ones that will prosper that is who will succeed in entering Paradise and be saved from the Fire.
The Cow,2,6,"As for the Disbelievers, Whether thou warn them or thou warn them not it is all one for them; they believe not.",As for the disbelievers the likes of Abū Jahl Abū Lahab and such; alike it is for them whether you have warned them or have not warned them they do not believe as God knows very well so do not hope that they will believe read a-andhartahum pronouncing both hamzas or by not pronouncing the second making it an alif instead and inserting an alif between the one not pronounced and the other one or leaving this insertion; al-indhār ‘warning’ is to give knowledge of something and simultaneously instil an element of fear.
The Cow,2,7,"Allah hath sealed their hearing and their hearts, and on their eyes there is a covering. Theirs will be an awful doom.",God has set a seal on their hearts impressing on them and making certain that no good enters them; and on their hearing in which He has deposited something so that they cannot profit from the truth they hear; and on their eyes is a covering that is a veil so that they do not see the truth; and for them there will be a mighty chastisement that is intense and everlasting.
The Cow,2,8,"And of mankind are some who say: We believe in Allah and the Last Day, when they believe not.",The following was revealed concerning the hypocrites and some people there are who say ‘We believe in God and the Last Day’ that is in the Day of Resurrection because it is the very last day; but they are not believers the plural import of man in man yaqūl ‘who says’ is taken into account here as expressed by a pronoun hum that expresses this plural meaning.
The Cow,2,9,"They think to beguile Allah and those who believe, and they beguile none save themselves; but they perceive not.",They would deceive God and the believers by manifesting the opposite of the unbelief they hide so that they can avoid His rulings in this world; and only themselves they deceive yukhādi‘ūn for the evil consequences of their deception will rebound upon them as they are disgraced in this world when God makes known to His Prophet what they are hiding and they will be punished in the Hereafter; and they are not aware and they do not know that they are actually deceiving themselves mukhāda‘a although a third verbal form from khāda‘a actually denotes a one-way action such as when one says ‘āqabtu al-lissa ‘I punished the thief’ using the third verbal form ‘āqaba; the mention of ‘God’ in this statement is for rhetorical effect; a variant reading for wa-mā yukhādi‘ūna has wa-mā yakhda‘ūna.
The Cow,2,10,"In their hearts is a disease, and Allah increaseth their disease. A painful doom is theirs because they lie.",In their hearts is a sickness doubt and hypocrisy which ails their hearts debilitating them; and God has increased their sickness with what He has revealed in the Qur’ān since they disbelieve it; and there awaits them a painful chastisement because they used to lie read yukadhdhibūn to imply that they used to call the Prophet of God a liar or yakdhibūn to imply their mendacity when saying ‘we believe’.
The Cow,2,11,"And when it is said unto them: Make not mischief in the earth, they say: We are peacemakers only.",When it is said to them that is these latter ‘Do not spread corruption in the land’ through unbelief and hindering people from faith They say ‘We are only putting things right’ that is ‘we are not engaging in corruption’. God exalted be He refutes them saying
