surah_no,ref_ayah_no_surah,translator,kind,text
1,2,yusuf_ali,footnote,"* v.2 : The Arabic word Rabb, usually translated Lord, has also the meaning of cherishing, sustaining, bringing to maturity. God cares for all the worlds He has created."
1,5,yusuf_ali,footnote,"* v.5 : On realizing in our souls God’s love and care, His grace and mercy, and His power and justice (as Ruler of the Day of Judgment), the immediate result is that we bend in the act of worship, and see both our shortcomings and His all- sufficient power. The emphatic form means that not only do we reach the position of worshipping God and asking for His help, but we worship Him alone and ask for His aid only. For there is none other than He worthy of our devotion and able to help us. The plural ""we"" indicates that we associate ourselves with all who seek God, thus strengthening ourselves and strengthening them in a fellowship of faith."
1,6,yusuf_ali,footnote,"* v.6 : If we translate by the English word ""guide,"" we shall have to say: ""Guide us to and in the straight Way."" For we many be wandering aimlessly, and the first step is to find the Way; and the second need is to keep in the Way: our own wisdom may fail in either case. The straight Way is often the narrow Way, or the steep Way, which many people shun (xc.11). By the world’s perversity the straight Way is sometimes stigmatized and the crooked Way praised. How are we to judge? We must ask for God’s guidance. With a little spiritual insight we shall see which are the people who walk in the light of God’s grace, and which are those that walk in the darkness of Wrath. This also would help our judgment."
1,7,yusuf_ali,footnote,"* v.7 : Note that the words relating to Grace are connected actively with God; those relating to Wrath are impersonal. In the one case God’s Mercy encompasses us beyond our deserts. In the other case our own actions are responsible for the Wrath, the negative of Grace, Peace, or Harmony."
1,12,yusuf_ali,footnote,"* Are there two categories? - those who are in the darkness of Wrath and those who stray? The first are those who deliberately break God’s law; the second those who stray out of carelessness or negligence. Both are responsible for their own acts or omissions. In opposition to both are the people who are in the light of God’s Grace: for His Grace not only protects them from active wrong (if they will only submit their will to Him) but also from straying into paths of temptation or carelessness. The negative gair should be construed as applying not to the way, but as describing men protected from two dangers by God’s Grace."
2,1,yusuf_ali,footnote,"* v.1 : These are abbreviated letters, the Muqattaat, on which a general discussion will be found in Appendix I (to be printed at the end of this Sura)."
2,2,yusuf_ali,footnote,"* v.2 : Taqwa and the verbs and nouns connected with the root, signify: (1) the fear of God which according to the writer of Proverbs (i.7) in the Old Testament is the beginning of Wisdom; (2) restraint, or guarding one’s tongue, hand, and heart from evil; (3) hence righteousness, piety good conduct. All these ideas are implied; in the translation, only one or other of these ideas can be indicated according to the context. See also xivii 17; and ixxiv 56, n.5808."
2,3,yusuf_ali,footnote,"* v.3 : All bounties proceed from God. They may be physical gifts, e.g., food, clothing, houses, gardens, wealth, etc. or intangible gifts, e.g., influence, power, birth and the opportunities flowing from it, health talents, etc. or spiritual gifts, e.g., insight into good and evil, understanding of men, the capacity for love, etc. We are to use all in humility and moderation. But we are also to give out of every one of them something that contributes to the well-being of others. We are to be neither ascetics nor luxurious sybarites, neither selfish misers nor thoughtless prodigais."
2,4,yusuf_ali,footnote,"* v.4 : Righteousness comes from a secure faith, from sincere devotion to God, and from unselfish service to Man."
2,5,yusuf_ali,footnote,"* v.5 : Prosperity must be taken as referring to all the kinds of bounty which we discussed in the note to it 3 above. The right use of one kind leads to an increase in that and other kinds, and that is prosperity."
