ayah_no_quran,surah_no,ayah_no_surah,surah_name_en,surah_name_ar,surah_name_roman,ayah_ar,juz_no,ruko_no,sajdah_no,place_of_revelation,no_of_word_ayah
1,1,1,Al-Fatihah,ٱلْفَاتِحَة,al-Ḥamd,بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ,1,1,NA,Meccan,4
2,1,2,Al-Fatihah,ٱلْفَاتِحَة,al-Ḥamd,ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَٰلَمِينَ,1,1,NA,Meccan,4
3,1,3,Al-Fatihah,ٱلْفَاتِحَة,al-Ḥamd,ٱلرَّحْمَٰنِ ٱلرَّحِيمِ,1,1,NA,Meccan,2
4,1,4,Al-Fatihah,ٱلْفَاتِحَة,al-Ḥamd,مَٰلِكِ يَوْمِ ٱلدِّينِ,1,1,NA,Meccan,3
5,1,5,Al-Fatihah,ٱلْفَاتِحَة,al-Ḥamd,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,1,1,NA,Meccan,4
6,1,6,Al-Fatihah,ٱلْفَاتِحَة,al-Ḥamd,ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ,1,1,NA,Meccan,3
7,1,7,Al-Fatihah,ٱلْفَاتِحَة,al-Ḥamd,صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ,1,1,NA,Meccan,9
8,2,1,Al-Baqarah,ٱلْبَقَرَة,al-Baq̈arah,الٓمٓ,1,2,NA,Medinan,1
9,2,2,Al-Baqarah,ٱلْبَقَرَة,al-Baq̈arah,ذَٰلِكَ ٱلْكِتَٰبُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًۭى لِّلْمُتَّقِينَ,1,2,NA,Medinan,9
10,2,3,Al-Baqarah,ٱلْبَقَرَة,al-Baq̈arah,ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقْنَٰهُمْ يُنفِقُونَ,1,2,NA,Medinan,8
11,2,4,Al-Baqarah,ٱلْبَقَرَة,al-Baq̈arah,وَٱلَّذِينَ يُؤْمِنُونَ بِمَآ أُنزِلَ إِلَيْكَ وَمَآ أُنزِلَ مِن قَبْلِكَ وَبِٱلْءَاخِرَةِ هُمْ يُوقِنُونَ,1,2,NA,Medinan,12
12,2,5,Al-Baqarah,ٱلْبَقَرَة,al-Baq̈arah,أُو۟لَٰٓئِكَ عَلَىٰ هُدًۭى مِّن رَّبِّهِمْ ۖ وَأُو۟لَٰٓئِكَ هُمُ ٱلْمُفْلِحُونَ,1,2,NA,Medinan,9
13,2,6,Al-Baqarah,ٱلْبَقَرَة,al-Baq̈arah,إِنَّ ٱلَّذِينَ كَفَرُوا۟ سَوَآءٌ عَلَيْهِمْ ءَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,1,2,NA,Medinan,11
14,2,7,Al-Baqarah,ٱلْبَقَرَة,al-Baq̈arah,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰٓ أَبْصَٰرِهِمْ غِشَٰوَةٌۭ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌۭ,1,2,NA,Medinan,14
15,2,8,Al-Baqarah,ٱلْبَقَرَة,al-Baq̈arah,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلْيَوْمِ ٱلْءَاخِرِ وَمَا هُم بِمُؤْمِنِينَ,1,3,NA,Medinan,11
16,2,9,Al-Baqarah,ٱلْبَقَرَة,al-Baq̈arah,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُوا۟ وَمَا يَخْدَعُونَ إِلَّآ أَنفُسَهُمْ وَمَا يَشْعُرُونَ,1,3,NA,Medinan,10
17,2,10,Al-Baqarah,ٱلْبَقَرَة,al-Baq̈arah,فِى قُلُوبِهِم مَّرَضٌۭ فَزَادَهُمُ ٱللَّهُ مَرَضًۭا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌۢ بِمَا كَانُوا۟ يَكْذِبُونَ,1,3,NA,Medinan,13
18,2,11,Al-Baqarah,ٱلْبَقَرَة,al-Baq̈arah,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا۟ فِى ٱلْأَرْضِ قَالُوٓا۟ إِنَّمَا نَحْنُ مُصْلِحُونَ,1,3,NA,Medinan,11
19,2,12,Al-Baqarah,ٱلْبَقَرَة,al-Baq̈arah,أَلَآ إِنَّهُمْ هُمُ ٱلْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ,1,3,NA,Medinan,7
20,2,13,Al-Baqarah,ٱلْبَقَرَة,al-Baq̈arah,وَإِذَا قِيلَ لَهُمْ ءَامِنُوا۟ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓا۟ أَنُؤْمِنُ كَمَآ ءَامَنَ ٱلسُّفَهَآءُ ۗ أَلَآ إِنَّهُمْ هُمُ ٱلسُّفَهَآءُ وَلَٰكِن لَّا يَعْلَمُونَ,1,3,NA,Medinan,20
21,2,14,Al-Baqarah,ٱلْبَقَرَة,al-Baq̈arah,وَإِذَا لَقُوا۟ ٱلَّذِينَ ءَامَنُوا۟ قَالُوٓا۟ ءَامَنَّا وَإِذَا خَلَوْا۟ إِلَىٰ شَيَٰطِينِهِمْ قَالُوٓا۟ إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِءُونَ,1,3,NA,Medinan,16
22,2,15,Al-Baqarah,ٱلْبَقَرَة,al-Baq̈arah,ٱللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِى طُغْيَٰنِهِمْ يَعْمَهُونَ,1,3,NA,Medinan,7
23,2,16,Al-Baqarah,ٱلْبَقَرَة,al-Baq̈arah,أُو۟لَٰٓئِكَ ٱلَّذِينَ ٱشْتَرَوُا۟ ٱلضَّلَٰلَةَ بِٱلْهُدَىٰ فَمَا رَبِحَت تِّجَٰرَتُهُمْ وَمَا كَانُوا۟ مُهْتَدِينَ,1,3,NA,Medinan,11
24,2,17,Al-Baqarah,ٱلْبَقَرَة,al-Baq̈arah,مَثَلُهُمْ كَمَثَلِ ٱلَّذِى ٱسْتَوْقَدَ نَارًۭا فَلَمَّآ أَضَآءَتْ مَا حَوْلَهُۥ ذَهَبَ ٱللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِى ظُلُمَٰتٍۢ لَّا يُبْصِرُونَ,1,3,NA,Medinan,17
25,2,18,Al-Baqarah,ٱلْبَقَرَة,al-Baq̈arah,صُمٌّۢ بُكْمٌ عُمْىٌۭ فَهُمْ لَا يَرْجِعُونَ,1,3,NA,Medinan,6
