ayah_no_quran,surah_no,ayah_no_surah,tafsir,arabic,text
1,1,1,jalalayn,بِسمِ ٱلله الرَّحْمٰنِ الرَّحِيـمِ,In the Name of God the Compassionate the Merciful
2,1,2,jalalayn,ٱلْحَمْدُ للَّهِ رَبِّ ٱلْعَالَمِينَ,In the Name of God the name of a thing is that by which it can be known. The Names of God exalted be He are the archetypal forms ṣuwar nawʿiyya whose specificities and ipseities hūwiyya indicate the attributes of God and His essence and which indicate by their very existence His countenance and by their individuation His oneness. For these are the outward manifestations through which He can be known; Allāh is a name for the divine essence qua essence absolutely without taking into consideration that it may be qualified by the attributes or indeed taking into consideration that it may not be so qualified; the Compassionate is the one who causes existence and perfection to flow upon all things in the measure that divine wisdom requires and to the capacity of the receiving entities qawābil from the outset of their creation; the Merciful al-Raḥīm is the one who bestows the spiritual perfection kamāl maʿnawī that has been earmarked for the human species in the end sc. in the Hereafter. It is for this reason that they say O You Who are the Compassionate One of this world and of the Hereafter yā raḥmān al-dunyā wa'l-ākhira but say O Merciful One of the Hereafter raḥīm al-ākhira the meaning then is in the perfect human all-encompassing form general and specific mercy which is the locus of manifestation of the divine essence and the greatest truth with the totality of attributes I commence and I recite. It Allāh is the Greatest Name of God. It is to this meaning that the Prophet's ṣlʿm alluded when he said 'I have been given the sum of all excellent speech sc. The QurÌān and have been sent to complete the noble character traits makārim al-akhlāq. For words constitute the realities ḥaqāÌiq of existents mawjūdāt and their concrete substances aʿyān just as Jesus peace be upon him was called a Word from God cf. 33945. The noble character traits are the perfections of these existents and represent their specifities constituting the sources of their the existents' actions in their entirety contained as they are in the comprehensive human microcosm kawn insānī. Herein lies a subtlety la?īfa namely that the prophets peace be upon them have made the letters of the alphabet analogous to the ranks of existents marātib al-mawjūdāt.
3,1,3,jalalayn,ٱلرَّحْمـٰنِ ٱلرَّحِيمِ,The Compassionate the Merciful that is to say the One who possesses ‘mercy’ which means to want what is good for those who deserve it.
4,1,4,jalalayn,مَـٰلِكِ يَوْمِ ٱلدِّينِ,Master of the Day of Judgement that is the day of requite the Day of Resurrection. The reason for the specific mention of the Day of Judgement is that the mastery of none shall appear on that Day except that of God may He be exalted as is indicated by God’s words ‘Whose is the Kingdom today?’ ‘God’s’ Q. 4016 if one reads it mālik as opposed to malik then this signifies that He has possession of the entire affair on the Day of Resurrection or else that He is ever described by this expression in the same way as He is described as ‘Forgiver of sin’ ghāfir al-dhanb. Thus one can validly take it as an adjective of a definite noun.
5,1,5,jalalayn,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,You alone we worship and You alone we ask for help that is to say we reserve worship for You alone by way of acknowledging Your Oneness tawhīd and so on and we ask for Your assistance in worship and in other things.
6,1,6,jalalayn,ٱهْدِنَا ٱلصِّرَاطَ ٱلْمُسْتَقِيمَ,Guide us to the straight path that is ‘show us the way to it’. This is substituted by
7,1,7,jalalayn,صِرَاطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِم وَلاَ ٱلضَّآلِّينَ,the path of those whom You have favoured with guidance from alladhīna together with its relative clause is substituted by ghayri l-maghdūbi ‘alayhim not the path of those against whom there is wrath namely the Jews and nor of those who are astray namely the Christians. The subtle meaning implied by this substitution is that the guided ones are neither the Jews nor the Christians. But God knows best what is right and to Him is the Return and the final Resort. May God bless our master Muhammad (s) his Family and Companions and grant them everlasting peace. Sufficient is God for us; an excellent Guardian is He. There is no power and no strength save in God the High the Tremendous.
8,2,1,jalalayn,الۤـمۤ,Alif lām mīm God knows best what He means by these letters.
9,2,2,jalalayn,ذَلِكَ ٱلْكِتَابُ لاَ رَيْبَ فِيهِ هُدًى لِّلْمُتَّقِينَ,That meaning this Book which Muhammad (s) recites in it there is no doubt no uncertainty that it is from God the negation lĀ rayba fĪhi is the predicate of dhĀlika; the use of the demonstrative here is intended to glorify the Book. A guidance hudĀ is a second predicate meaning that it the Book ‘guides’ for the God-fearing namely those that tend towards piety by adhering to commands and avoiding things prohibited thereby guarding themselves from the Fire;
10,2,3,jalalayn,ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلٰوةَ وَممَّا رَزَقْنَاهُمْ يُنْفِقُونَ,who believe in that is who accept the truth of the Unseen what is hidden from them of the Resurrection Paradise and the Fire; and maintain the prayer that is to say who perform it giving it its proper due; and of what We have provided them that is of what we have bestowed upon them expend in obedience to God;
11,2,4,jalalayn,وٱلَّذِينَ يُؤْمِنُونَ بِمَآ أُنْزِلَ إِلَيْكَ وَمَآ أُنْزِلَ مِن قَبْلِكَ وَبِٱلآخِرَةِ هُمْ يُوقِنُونَ,and who believe in what has been revealed to you namely the Qur’ān; and what was revealed before you that is the Torah the Gospel and other scriptures; and of the Hereafter they are certain that is they know it is real.
12,2,5,jalalayn,أُوْلَـٰئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ وَأُوْلَـٰئِكَ هُمُ ٱلْمُفْلِحُونَ,Those as described in the way mentioned are upon guidance from their Lord those are the ones that will prosper that is who will succeed in entering Paradise and be saved from the Fire.
13,2,6,jalalayn,إِنَّ ٱلَّذِينَ كَفَرُواْ سَوَآءٌ عَلَيْهِمْ ءَأَنذَرْتَهُمْ أَمْ لَمْ تُنْذِرْهُمْ لاَ يُؤْمِنُونَ,As for the disbelievers the likes of Abū Jahl Abū Lahab and such; alike it is for them whether you have warned them or have not warned them they do not believe as God knows very well so do not hope that they will believe read a-andhartahum pronouncing both hamzas or by not pronouncing the second making it an alif instead and inserting an alif between the one not pronounced and the other one or leaving this insertion; al-indhār ‘warning’ is to give knowledge of something and simultaneously instil an element of fear.
14,2,7,jalalayn,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهمْ وَعَلَىٰ سَمْعِهِمْ وَعَلَىٰ أَبْصَٰرِهِمْ غِشَاوَةٌ وَلَهُمْ عَذَابٌ عظِيمٌ,God has set a seal on their hearts impressing on them and making certain that no good enters them; and on their hearing in which He has deposited something so that they cannot profit from the truth they hear; and on their eyes is a covering that is a veil so that they do not see the truth; and for them there will be a mighty chastisement that is intense and everlasting.
