surah_no,ayat,translator,text
1,1,asad,"IN THE NAME OF GOD, THE MOST GRACIOUS, THE DISPENSER OF GRACE"
1,2,asad,"ALL PRAISE is due to God alone, the Sustainer of all the worlds,"
1,3,asad,"the Most Gracious, the Dispenser of Grace,"
1,4,asad,Lord of the Day of Judgment!
1,5,asad,Thee alone do we worship; and unto Thee alone do we turn for aid.
1,6,asad,Guide us the straight way –
1,7,asad,"the way of those upon whom Thou hast bestowed Thy blessings, not of those who have been condemned [by Thee], nor of those who go astray!"
2,1,asad,Alif. Lām. Mīm.
2,2,asad,THIS DIVINE WRIT – let there be no doubt about it – is [meant to be] a guidance for all the God-conscious
2,3,asad,"who believe in [the existence of] that which is beyond the reach of human perception, and are constant in prayer, and spend on others out of what We provide for them as sustenance;"
2,4,asad,"and who believe in that which has been bestowed from on high upon thee, [O Prophet,] as well as in that which was bestowed before thy time: for it is they who in their innermost are certain of the life to come!"
2,5,asad,"It is they who follow the guidance [which comes] from their Sustainer; and it is they, they who shall attain to a happy state!"
2,6,asad,"BEHOLD, as for those who are bent on denying the truth – it is all one to them whether thou warnest them or dost not warn them: they will not believe."
2,7,asad,"God has sealed their hearts and their hearing, and over their eyes is a veil; and awesome suffering awaits them."
2,8,asad,"And there are people who say, ""We do believe in God and the Last Day,"" the while they do not [really] believe."
2,9,asad,"They would deceive God and those who have attained to faith – the while they deceive none but themselves, and perceive it not."
2,10,asad,"In their hearts is disease, and so God lets their disease increase; and grievous suffering awaits them because of their persistent lying."
2,11,asad,"And when they are told, ""Do not spread corruption on earth,"" they answer, ""We are but improving things!"""
2,12,asad,"Oh, verily, it is they, they who are spreading corruption – but they perceive it not!"
2,13,asad,"And when they are told, ""Believe as other people believe,"" they answer, ""Shall we believe as the weak-minded believe?"" Oh, verily, it is they, they who are weak-minded – but they know it not!"
2,14,asad,"And when they meet those who have attained to faith, they assert, ""We believe [as you believe]""; but when they find themselves alone with their evil impulses, they say, ""Verily, we are with you; we were only mocking!"""
2,15,asad,"God will requite them for their mockery, and will leave them for a while in their overweening arrogance, blindly stumbling to and fro:"
2,16,asad,"Their parable is that of people who kindle a fire: but as soon as it has illumined all around them, God takes away their light and leaves them in utter darkness, wherein they cannot see:"
2,17,asad,"deaf, dumb, blind – and they cannot turn back."
2,18,asad,"Or [the parable] of a violent cloudburst in the sky, with utter darkness, thunder, and lightning: they put their fingers into their ears to keep out the peals of thunder, in terror of death; but God encompasses [with His might] all who deny the truth."
2,19,asad,"The lightning well-nigh takes away their sight; whenever it gives them light, they advance therein, and whenever darkness falls around them, they stand still."
2,20,asad,"And if God so willed, He could indeed take away their hearing and their sight: for, verily, God has the power to will anything."
2,21,asad,"O MANKIND! Worship your Sustainer, who has created you and those who lived before you, so that you might remain conscious of Him"
2,22,asad,"who has made the earth a resting-place for you and the sky a canopy, and has sent down water from the sky and thereby brought forth fruits for your sustenance: do not, then, claim that there is any power that could rival God, when you know [that He is One]."
2,23,asad,"And if you doubt any part of what We have bestowed from on high, step by step, upon Our servant [Muhammad], then produce a sūrah of similar merit, and call upon any other than God to bear witness for you – if what you say is true!"
2,24,asad,And if you cannot do it – and most certainly you cannot do it – then be conscious of the fire whose fuel is human beings and stones which awaits all who deny the truth!
2,25,asad,"But unto those who have attained to faith and do good works give the glad tiding that theirs shall be gardens through which running waters flow. Whenever they are granted fruits therefrom as their appointed sustenance, they will say, ""It is this that in days of yore was granted to us as our sustenance!"" – for they shall be given something that will recall that [past]. And there shall they have spouses pure, and there shall they abide."
2,26,asad,"Behold, God does not disdain to propound a parable of a gnat, or of something [even] less than that. Now, as for those who have attained to faith, they know that it is the truth from their Sustainer – whereas those who are bent on denying the truth say, ""What could [your] God mean by this parable?"""
2,27,asad,"In this way does He cause many a one to go astray, just as He guides many a one aright: but none does He cause thereby to go astray save the iniquitous,"
2,28,asad,"who break their bond with God after it has been established [in their nature], and cut asunder what God has bidden to be joined, and spread corruption on earth: these it is that shall be the losers."
2,29,asad,"How can you refuse to acknowledge God, seeing that you were lifeless and He gave you life, and that He will cause you to die and then will bring you again to life, whereupon unto Him you will be brought back?"
2,30,asad,"He it is who has created for you all that is on earth, and has applied His design to the heavens and fashioned them into seven heavens; and He alone has full knowledge of everything."
2,31,asad,"AND LO! Thy Sustainer said unto the angels: ""Behold, I am about to establish upon earth one who shall inherit it."""
2,32,asad,"They said: ""Wilt Thou place on it such as will spread corruption thereon and shed blood – whereas it is we who extol Thy limitless glory, and praise Thee, and hallow Thy name?"""
2,33,asad,"And He imparted unto Adam the names of all things; then He brought them within the ken of the angels and said: ""Declare unto Me the names of these [things], if what you say is true."""
2,34,asad,"They replied: ""Limitless art Thou in Thy glory! No knowledge have we save that which Thou hast imparted unto us. Verily, Thou alone art all-knowing, truly wise."""
2,35,asad,"Said He: ""O Adam, convey unto them the names of these [things]."""
2,36,asad,"And as soon as [Adam] had conveyed unto them their names, [God] said: ""Did I not say unto you, ‘Verily, I alone know the hidden reality of the heavens and the earth, and know all that you bring into the open and all that you would conceal’?"""
2,37,asad,"And when We told the angels, ""Prostrate yourselves before Adam!"" – they all prostrated themselves, save Iblīs, who refused and gloried in his arrogance: and thus he became one of those who deny the truth."
2,38,asad,"And We said: ""O Adam, dwell thou and thy wife in this garden, and eat freely thereof, both of you, whatever you may wish; but do not approach this one tree, lest you become wrongdoers."""
2,39,asad,"But Satan caused them both to stumble therein, and thus brought about the loss of their erstwhile state. And so We said: ""Down with you, [and be henceforth] enemies unto one another; and on earth you shall have your abode and your livelihood for a while!"""
2,40,asad,"Thereupon Adam received words [of guidance] from his Sustainer, and He accepted his repentance: for, verily, He alone is the Acceptor of Repentance, the Dispenser of Grace."
2,41,asad,"but those who are bent on denying the truth and giving the lie to Our messages – they are destined for the fire, and therein shall they abide."
2,42,asad,"O CHILDREN of Israel! Remember those blessings of Mine with which I graced you, and fulfil your promise unto Me, [whereupon] I shall fulfil My promise unto you; and of Me, of Me stand in awe!"
