surah_no,ayat,translator,text
1,1,royal_aal_al_bayt,"In the Name of God, the Compassionate, the Merciful:"
1,2,royal_aal_al_bayt,Praise be to God; Lord of all Worlds.
1,3,royal_aal_al_bayt,"The Compassionate, the Merciful."
1,4,royal_aal_al_bayt,Master of the Day of Judgement.
1,5,royal_aal_al_bayt,"You [alone] we worship, and You [alone] we ask for help."
1,6,royal_aal_al_bayt,Guide us to the straight path:
1,7,royal_aal_al_bayt,"the path of those whom You have favoured, not [the path] of those against whom there is wrath, nor of those who are astray."
2,1,royal_aal_al_bayt,Alif lām mīm.
2,2,royal_aal_al_bayt,"That Book, in it there is no doubt. A guidance for the God-fearing"
2,3,royal_aal_al_bayt,"who believe in the Unseen, and maintain the prayer; and of what We have provided them expend;"
2,4,royal_aal_al_bayt,"and who believe in what has been revealed to you; and what was revealed before you; and of the Hereafter, they are certain."
2,5,royal_aal_al_bayt,Those are upon guidance from their Lord; those are the ones that will prosper.
2,6,royal_aal_al_bayt,"As for the disbelievers, alike it is for them whether you have warned them or have not warned them, they do not believe."
2,7,royal_aal_al_bayt,"God has set a seal on their hearts, and on their hearing; and on their eyes is a covering; and for them there will be a mighty chastisement."
2,8,royal_aal_al_bayt,"And some people there are who say, 'We believe in God and the Last Day'; but they are not believers."
2,9,royal_aal_al_bayt,They would deceive God and the believers; and only themselves they deceive; and they are not aware.
2,10,royal_aal_al_bayt,In their hearts is a sickness; and God has increased their sickness; and there awaits them a painful chastisement because they used to lie.
2,11,royal_aal_al_bayt,"When it is said to them, 'Do not corruption in the land', they say, 'We are only putting things right'."
2,12,royal_aal_al_bayt,"Truly, they are the agents of corruption, but they perceive not."
2,13,royal_aal_al_bayt,"When it is said to them, ‘Believe as the people believe’, they say, ‘Shall we believe as fools believe?’ Truly, they are the foolish ones, but they know not."
2,14,royal_aal_al_bayt,"When they meet those who believe, they say, 'We believe'; but when they go apart to their devils they say, 'We are with you; we were only mocking'."
2,15,royal_aal_al_bayt,"God [Himself] mocks them, leaving them in their insolence, bewildered."
2,16,royal_aal_al_bayt,Those are they who have bought error for guidance; so their commerce has not profited them; nor are they guided.
2,17,royal_aal_al_bayt,"Their likeness is as the likeness of one who kindled a fire, and when it illumined all about him God took away their light and left them in darkness, unable to see,"
