title,title_en,volume,author,translator,description,book,chapter,hadees_number,hadees_arabic,hadees_english
Al-Amālī,The Dictations,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Bilal Muhammad,"al-Āmālī (lit. ‘the dictations’) is a transcription of 97 assemblies held by Shaykh al-Ṣadūq wherein he dictated narrations to his students. The topics mentioned in these narrations attributed to the Prophet (s) and the Ahl al-Bayt (a) covered various topics such as the Prophet's (s) conduct, the Isrāʾ and Miʿrāj (Night Journey and Ascension), supplications and guidance, and the virtues and merits of the Ahl al-Bayt (a). The content encompasses historical, ethical, and doctrinal aspects. In total, the book possesses 1082 narrations.",Section 1,"Chapter 1 | The First Assembly, which is Friday, Twelve Nights Remaining in Rajab, 367 AH.",Ḥadīth #1,أخبرنا الشيخ الامام الناقد، عين الدين، جمال الائمة، فريد العصر، أبو القاسم أحمد بن حمزة النعيمي (أطال الله بقاءه)، أخبرنا الشيخ الامام العالم الزاهد موفق الدين، ركن الاسلام، أبو الحسن علي بن محمد بن أبي الحسن بن عبد الصمد التميمي (رضي الله عنه)، أخبرنا الشيخ الفقيه العالم زين الدين والدي، أخبرنا الشيخ الفقيه العالم الوالد أبو الحسن علي بن عبد الصمد بن محمد التميمي، أخبرنا السيد الجليل العالم أبو البركات علي بن الحسين العلوي الجوري (نور الله ضريحه) والشيخ أبو بكر محمد ابن أحمد بن علي (رحمه الله) (1)، قالا: حدثنا الشيخ الفقيه أبو جعفر محمد بن علي بن الحسين بن موسى بن بابويه القمي (رضي الله عنه) يوم الجمعة لاثنتي عشرة ليلة بقيت من رجب سنة سبع وستين وثلاثمائة، قال: حدثنا الشيخ يحيى بن زيد بن العباس بن الوليد البزاز بالكوفة، قال: حدثنا عمي علي بن العباس، قال: حدثنا إبراهيم بن بشر بن خالد العبدي، قال: حدثنا عمرو بن خالد، قال: حدثنا أبو حمزة الثمالي، عن علي بن الحسين (عليهما السلام)، قال: القول الحسن يثري المال، وينمي الرزق، وينسئ في الاجل، ويحبب إلى الاهل، ويدخل الجنة (1).,"The Shaykh and critical Imam, core of the religion, beauty of the Imams, rarity of the age, Abu’l Qasim Ahmad b. Hamza al-Na`imi (may Allah lengthen his remain) informed us. The Shaykh, Imam, scholar, ascetic, supporter of the religion, pillar of Islam, Abu’l Hasan `Ali b. Muhammad b. Abi’l Hasan b. `Abd al-Samad al-Tamimi (may Allah be pleased with him) informed us. The Shaykh, jurist, scholar, the ornament of the religion, my father informed me. The Shaykh, jurist, the scholar, the father of Abu’l Hasan `Ali b. `Abd al-Samad b. Muhammad al-Tamimi informed me. The majestic master, the scholar, Abu’l Barakat `Ali b. al-Husayn al-`Alawi al-Juri (may Allah illuminate his grave) and Musa b. Babuwayh al-Qummi (may Allah be pleased with him) informed us on Friday, the 18th of Rajab, 367 AH. He said: Shaykh Yahya b. Zayd b. al-`Abbas b. al-Walid al-Bazzaz narrated to us in Kufa. He said: My uncle `Ali b. al-`Abbas narrated to us. He said: Ibrahim b. Bishr b. Khalid al-`Abdi narrated to us. He said: `Amr b. Khalid narrated to us. He said: Abu’l Hamza al-Thumali narrated to us from `Ali b. al-Husayn . He said: A good saying increases one’s wealth, boosts one’s sustenance, prolongs one’s life, makes one beloved to one’s family, and enters one into Paradise."
Al-Amālī,The Dictations,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Bilal Muhammad,"al-Āmālī (lit. ‘the dictations’) is a transcription of 97 assemblies held by Shaykh al-Ṣadūq wherein he dictated narrations to his students. The topics mentioned in these narrations attributed to the Prophet (s) and the Ahl al-Bayt (a) covered various topics such as the Prophet's (s) conduct, the Isrāʾ and Miʿrāj (Night Journey and Ascension), supplications and guidance, and the virtues and merits of the Ahl al-Bayt (a). The content encompasses historical, ethical, and doctrinal aspects. In total, the book possesses 1082 narrations.",Section 1,"Chapter 1 | The First Assembly, which is Friday, Twelve Nights Remaining in Rajab, 367 AH.",Ḥadīth #2,حدثنا الحسن بن محمد بن الحسن بن إسماعيل السكوني في منزله بالكوفة، قال: حدثني إبراهيم بن محمد بن يحيى النيسابوري، قال: حدثنا أبو جعفر ابن السري وأبو نصر بن موسى بن أيوب الخلال، قال: حدثنا علي بن سعيد، قال: حدثنا ضمرة بن شوذب، عن مطر، عن شهر بن حوشب، عن أبي هريرة، قال: من صام يوم ثمانية عشر من ذي الحجة، كتب الله له صيام ستين شهرا، وهو يوم غدير خم، لما أخذ رسول الله (صلى الله عليه وآله) بيد علي بن أبي طالب (عليه السلام) وقال: يا أيها الناس، ألست أولى بالمؤمنين؟ قالوا: نعم يا رسول الله، قال: من كنت مولاه فعلي مولاه، فقال له عمر: بخ بخ يا بن أبي طالب، أصبحت مولاي ومولى كل مسلم، فأنزل الله عز وجل: (اليوم أكملت لكم دينكم) (2).,"Al-Hasan b. Muhammad b. al-Hasan b. Isma`iI al-Sakuni narrated to me in his house in Kufa. He said: Ibrahim b. Muhammad b. Yahya al-Nisapuri narrated to me. He said: Abu Ja`far b. al-Siri and Abu Nasr b. Musa b. Ayyub al-Khilal narrated to me. He said: `Ali b. Sa`id narrated to me. He said: Damra b. Shawdhab narrated to me from Matar from Shahr b. Hawshab from Abu Hurayra. [Abu Hurayra] said: Whomever fasts the eighteenth of Dhul Hijja, Allah records for him sixty months; and it is the day of Ghadir Khumm, when the Messenger of Allah (s) took the hand of `Ali b. Abi Talib and said: “O people! Am I not more of a master over the believers [than they are over themselves]?” They said: “Yes, O Messenger of Allah.” He said: “For whomever I am a master, `Ali is his master.” So `Umar said to him: “Bravo, bravo, O son of Abi Talib! You have become my master and the master of every Muslim.” Then, Allah revealed, “This day I have perfected your religion for you …” (5:3)."
Al-Amālī,The Dictations,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Bilal Muhammad,"al-Āmālī (lit. ‘the dictations’) is a transcription of 97 assemblies held by Shaykh al-Ṣadūq wherein he dictated narrations to his students. The topics mentioned in these narrations attributed to the Prophet (s) and the Ahl al-Bayt (a) covered various topics such as the Prophet's (s) conduct, the Isrāʾ and Miʿrāj (Night Journey and Ascension), supplications and guidance, and the virtues and merits of the Ahl al-Bayt (a). The content encompasses historical, ethical, and doctrinal aspects. In total, the book possesses 1082 narrations.",Section 1,"Chapter 1 | The First Assembly, which is Friday, Twelve Nights Remaining in Rajab, 367 AH.",Ḥadīth #3,حدثنا أبو القاسم الحسن بن محمد السكوني، قال: حدثنا الحضرمي، قال: حدثنا يحيى الحماني، قال: حدثنا أبو عوانة، عن أبي بلج، عن عمرو بن ميمون، عن ابن عباس، قال: قال رسول الله (صلى الله عليه وآله): علي ولي كل مؤمن بعدي.,Abu’l Qasim al-Hasan b. Muhammad al-Sakuni narrated to us. He said: Al-Hadrami narrated to us. He said: Yahya al-Hamani narrated to us. He said: Abu `Awana narrated to us from Abu Balaj from `Amr b. Maymun from Ibn `Abbas. He said: The Messenger of Allah (s) said: “`Ali is the master of every believer after me.”
Al-Amālī,The Dictations,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Bilal Muhammad,"al-Āmālī (lit. ‘the dictations’) is a transcription of 97 assemblies held by Shaykh al-Ṣadūq wherein he dictated narrations to his students. The topics mentioned in these narrations attributed to the Prophet (s) and the Ahl al-Bayt (a) covered various topics such as the Prophet's (s) conduct, the Isrāʾ and Miʿrāj (Night Journey and Ascension), supplications and guidance, and the virtues and merits of the Ahl al-Bayt (a). The content encompasses historical, ethical, and doctrinal aspects. In total, the book possesses 1082 narrations.",Section 1,"Chapter 1 | The First Assembly, which is Friday, Twelve Nights Remaining in Rajab, 367 AH.",Ḥadīth #4,حدثنا الحسن بن عبد الله بن سعيد العسكري، قال: حدثنا أبو بكر محمد بن الحسن بن دريد، قال: أخبرنا أبو حاتم، عن العتبي - يعني محمد بن عبيد الله - عن أبيه، قال: وأخبرنا عبد الله بن شبيب البصري، قال: حدثنا زكريا بن يحيى المنقري، قال: حدثنا العلاء بن الفضل (3)، عن أبيه، عن جده، قال: قال قيس بن عاصم: وفدت مع جماعة من بني تميم إلى النبي (صلى الله عليه وآله) فدخلت وعنده الصلصال بن الدلهمس (4)، فقلت: يا نبي الله، عظنا موعظة ننتفع بها، فإنا قوم نعمر (5) في البرية. فقال رسول الله (صلى الله عليه وآله): (يا قيس، إن مع العز ذلا، وإن مع الحياة موتا، وإن مع الدنيا آخرة، وإن لكل شئ حسيبا، وعلى كل شئ رقيبا، وإن لكل حسنة ثوابا، ولكل سيئة عقابا، ولكل أجل كتابا، وإنه لا بد لك - يا قيس - من قرين يدفن معك وهو حي، وتدفن معه وأنت ميت، فإن كان كريما أكرمك، وإن كان لئيما أسلمك، ثم لا يحشر إلا معك، ولا تبعث إلا معه، ولا تسأل إلا عنه، فلا تجعله إلا صالحا، فإنه إن صلح أنست به، وإن فسد لا تستوحش إلا منه، وهو فعلك. فقال: يا نبي الله، أحب أن يكون هذا الكلام في أبيات من الشعر، نفخر به على من يلينا من العرب، وندخره. فأمر النبي (صلى الله عليه وآله) من يأتيه بحسان. قال: فأقبلت أفكر فيما أشبه هذه العظة من الشعر، فاستتب لي القول قبل مجئ حسان، فقلت: يا رسول الله، قد حضرتني أبيات أحسبها توافق ما تريد. فقلت لقيس (1): تخير خليطا من فعالك إنما * * قرين الفتى في القبر ما كان يفعل ولا بد بعد الموت من أن تعده * * ليوم ينادى المرء فيه فيقبل فإن كنت مشغولا بشئ فلا تكن * * بغير الذي يرضى به الله تشغل فلن يصحب الانسان من بعد موته * * ومن قبله إلا الذي كان يعمل ألا إنما الانسان ضيف لاهله * * يقيم قليلا بينهم ثم يرحل (2),"Al-Hasan b. `Abdullah b. Sa`id al-`Askari narrated to us. He said: Abu Bakr Muhammad b. al-Hasan b. Durayd narrated to us. He said: Abu Hatim narrated to us from al-`Utba - meaning Muhammad b. `Ubaydallah from his father. And `Abdullah b. Shabib al-Basri narrated to us. He said: Zakariyya b. Yahya al-Manqari narrated to us. He said al-`Alaa’ b. al-Fadl narrated to us from his father from his grandfather. He said: Qays b. `Asim said: I set out with a group from Bani Tamim to the Prophet (s). So, I entered, and al-Salsal b. Al-Dalhamas was with him. So, I said: “O Prophet of Allah! Give us a proverb by which we may benefit from, for we are a community that is established in the wilderness.” So, the Messenger of Allah (s) said: “O Qays! Surely, with glory, there is humiliation. With life, there is death. And, surely, with this world, there is the Hereafter. And, surely, with everything there is a reckoning, and with everything there is an observance. And, surely, with every good deed there is a reward, and with every sin there is a penalty, and with every matter a time. It is necessary, O Qays, that something will follow you and be buried with you while you are alive, and you will be buried with it when you are dead. If it is noble, it will make you noble. If it is wretched, it will cause you to surrender. It will not be resurrected except that it is with you, and you will not be resurrected except with it. You will not be asked about anything except for it; so, do not make it anything but righteous. Surely, if it is dealt with righteously, you will be relieved by it, but if it is corrupted, then you will only be lonely due to it. That thing is your actions.” So, he said: “O Prophet of Allah! I would love these words to be in stanzas of poetry so that we may make it a source of pride over those humiliate us among the Arabs.” So, the Prophet (s) sent for someone to bring Hassaan [b. Thabit]. He said: Then I began thinking of poetry that resembled this proverb, so I remembered a saying before Hassaan came. I said: “O Messenger of Allah! I remembered stanzas that I consider agreeing with what you want.” So, I (the narrator) said to Qays: “Choose a companion from your deeds, so it may accompany you in the grave of what you have prepared. You have no alternative after death but to be prepared, for the day on which you are called to him to accept, engage not in the affairs of this world in which there is not Allah’s contentment. Man will not have a companion after his death and even before death but his own deeds. Surely, man is only a guest of his own household. He would spend a short while with them before he departs.”"
Al-Amālī,The Dictations,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Bilal Muhammad,"al-Āmālī (lit. ‘the dictations’) is a transcription of 97 assemblies held by Shaykh al-Ṣadūq wherein he dictated narrations to his students. The topics mentioned in these narrations attributed to the Prophet (s) and the Ahl al-Bayt (a) covered various topics such as the Prophet's (s) conduct, the Isrāʾ and Miʿrāj (Night Journey and Ascension), supplications and guidance, and the virtues and merits of the Ahl al-Bayt (a). The content encompasses historical, ethical, and doctrinal aspects. In total, the book possesses 1082 narrations.",Section 1,"Chapter 1 | The First Assembly, which is Friday, Twelve Nights Remaining in Rajab, 367 AH.",Ḥadīth #5,حدثنا أحمد بن يحيى المكتب، قال: حدثنا محمد بن القاسم، قال: حدثنا أحمد بن سعيد الدمشقي قال: حدثنا الزبير بن بكار، قال: حدثنا محمد بن الضحاك، عن نوفل بن عمارة، قال: أوصى قصي بن كلاب بنيه، فقال: يا بني، إياكم وشرب الخمر، فإنها إن أصلحت الابدان، أفسدت الاذهان (1).,"Ahmad b. Yahya al-Mukattib narrated to us. He said: Muhammad b. al-Qasim narrate to us. He said: Ahmad b. Sa`id al-Dimishqi narrated to us. He said: Al-Zubayr b. Bakar narrated to us. He said: Muhammad b. al-Dahhak narrated to us from Nawfal b. `Amira. He said: Qusay b. Kilab deputed his son and said: “O my son! Beware of drinking wine, for even if it rectifies the bodies, it corrupts the minds.”"
Al-Amālī,The Dictations,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Bilal Muhammad,"al-Āmālī (lit. ‘the dictations’) is a transcription of 97 assemblies held by Shaykh al-Ṣadūq wherein he dictated narrations to his students. The topics mentioned in these narrations attributed to the Prophet (s) and the Ahl al-Bayt (a) covered various topics such as the Prophet's (s) conduct, the Isrāʾ and Miʿrāj (Night Journey and Ascension), supplications and guidance, and the virtues and merits of the Ahl al-Bayt (a). The content encompasses historical, ethical, and doctrinal aspects. In total, the book possesses 1082 narrations.",Section 1,"Chapter 1 | The First Assembly, which is Friday, Twelve Nights Remaining in Rajab, 367 AH.",Ḥadīth #6,حدثنا علي بن الحسين بن شقير (2) بن يعقوب بن الحارث بن إبراهيم الهمداني في منزله بالكوفة، قال: حدثنا أبو عبد الله جعفر بن أحمد بن يوسف الازدي، قال: حدثنا علي بن بزرج الحناط، قال: حدثنا عمرو بن اليسع، عن شعيب الحداد، قال: سمعت الصادق جعفر بن محمد (عليه السلام) يقول: إن حديثنا صعب مستصعب، لا يحتمله إلا ملك مقرب، أو نبي مرسل أو عبد امتحن الله قلبه للايمان، أو مدينة حصينة. قال عمرو: فقلت لشعيب: يا أبا الحسن، وأي شئ المدينة الحصينة؟ قال: فقال: سألت الصادق (عليه السلام) عنها، فقال لي: القلب المجتمع (3).,"`Ali b. al-Husayn b. Shaqir b. Ya`qub b. al-Harith b. Ibrahim al-Hamadani narrated to us in his house in Kufa. He said: Abu `Abduillah Ja`far b. Ahmad b. Yusuf al-Azdi narrated to us. He said: `Ali b. Bazraj al-Hannat narrated to us. He said: `Amr b. al-Yasa` narrated to us from Shu`ayb al-Haddad. He said: I heard al-Sadiq Ja`far b. Muhammad saying: “Surely, our narrations are difficult and distressing. None can handle them except an angel brought near, a commissioned prophet, a believer whose heart has been tested by Allah for faith, or a fortified city.” `Amr said: So I said to Shu`ayb: “O Abu’l Hasan! What is the fortified city?” He said: I said: I asked al-Sadiq about it, and he said to me: “The well-constituted heart.”"
Al-Amālī,The Dictations,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Bilal Muhammad,"al-Āmālī (lit. ‘the dictations’) is a transcription of 97 assemblies held by Shaykh al-Ṣadūq wherein he dictated narrations to his students. The topics mentioned in these narrations attributed to the Prophet (s) and the Ahl al-Bayt (a) covered various topics such as the Prophet's (s) conduct, the Isrāʾ and Miʿrāj (Night Journey and Ascension), supplications and guidance, and the virtues and merits of the Ahl al-Bayt (a). The content encompasses historical, ethical, and doctrinal aspects. In total, the book possesses 1082 narrations.",Section 1,"Chapter 1 | The First Assembly, which is Friday, Twelve Nights Remaining in Rajab, 367 AH.",Ḥadīth #7,أخبرنا أبو الحسين محمد بن هارون الزنجاني، قال: حدثنا معاذ بن المثنى العنبري، قال: حدثنا عبد الله بن أسماء، قال: حدثنا جويرية، عن سفيان الثوري، عن منصور، عن أبي وائل، عن وهب بن منبه، قال: وجدت في بعض كتب الله عز وجل: أن يوسف (عليه السلام) مر في موكبه على امرأة العزيز وهي جالسة على مزبلة، فقالت: الحمد لله الذي جعل الملوك بمعصيتهم عبيدا، وجعل العبيد بطاعتهم ملوكا، أصابتنا فاقة فتصدق علينا. فقال يوسف (عليه السلام): غموط النعم (4) سقم دوامها، فراجعي ما يمحص عنك دنس الخطيئة، فإن محل الاستجابة قدس القلوب وطهارة الاعمال. فقالت: ما اشتملت بعد على هيئة التأثم (1)، وإني لاستحيي أن يرى الله لي موقف استعطاف ولما تهريق العين عبرتها، ويؤدي الجسد ندامته. فقال لها يوسف: فجدي، فالسبيل هدف الامكان قبل مزاحمة العدة (2) ونفاد المدة. فقالت: هو عقيدتي، وسيبلغك إن بقيت بعدي. فأمر لها بقنطار من ذهب، فقالت: القوت بتة (3)، ما كنت لارجع إلى الخفض وأنا مأسورة في السخط. فقال بعض ولد يوسف ليوسف: يا أبه، من هذه التي قد تفتت لها كبدي، ورق لها قلبي؟ قال: هذه دابة الترح (4) في حبال الانتقام. فتزوجها يوسف (عليه السلام)، فوجدها بكرا، فقال: أنى وقد كان لك بعل؟! فقالت: كان محصورا بفقد الحركة وصرد (5) المجاري (6).,"Abu’l Husayn Muhammad b. Harun al-Zanjani narrated to us. He said: Mu`adh b. al-Muthanna al-`Anbari narrated to us. He said: `Abdullah b. Asma’ narrated to us. He said: Juwayriyya narrated to us from Sufyan al-Thawri from Mansur from Abi Wa’il from Wahb b. Munabbih. He said: I saw in one of the books of Allah: Surely, Yusuf went with his caravan to the wife of al-`Aziz, and she was sitting on a wastebasket. So, she said: “Praise be to Allah who made kings into slaves due to their sin and made the slaves into kings due to their obedience. We have become poor, so give us charity.” So, Yusuf said: “Neglecting blessings ceases their continuance. So, review what clears you from the filthiness of wrongdoing, for the granting [of your prayer and sustenance] is in sanctifying the hearts and purifying the actions. So, she said: “I have not put myself in a sinful position, for I am too ashamed that Allah sees me in a compromising position, with tears flowing from the eyes, and the body affected by regret.” So, Yusuf said to her: “So, persevere, for the goal is what motivates the will, before our time runs out and our period ceases.” She said: “That is my belief, and you will hear about it, should you remain after me.” So, he ordered that one hundred pounds of gold be given to her, and she said: “This will suffice – I won’t return to desperation, while I am now in indignation.” So, one of the sons of Yusuf said to Yusuf: “O my father! Who is this that my heart breaks for and my liver has been undone for?” He said: “This is a distraught creature, who is on the ropes of destruction.” So, Yusuf married her, and he found that she was a virgin. So, he said: “But I saw that you had a husband before!” So, she said: “He was disabled and impotent.”"
Al-Amālī,The Dictations,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Bilal Muhammad,"al-Āmālī (lit. ‘the dictations’) is a transcription of 97 assemblies held by Shaykh al-Ṣadūq wherein he dictated narrations to his students. The topics mentioned in these narrations attributed to the Prophet (s) and the Ahl al-Bayt (a) covered various topics such as the Prophet's (s) conduct, the Isrāʾ and Miʿrāj (Night Journey and Ascension), supplications and guidance, and the virtues and merits of the Ahl al-Bayt (a). The content encompasses historical, ethical, and doctrinal aspects. In total, the book possesses 1082 narrations.",Section 1,"Chapter 2 | The Second Assembly, which is Tuesday, Seven Days Remaining from Rajab, 367 AH.",Ḥadīth #1,حدثنا الشيخ الفقيه أبو جعفر محمد بن علي بن الحسين بن موسى بن بابويه القمي (رحمه الله)، قال: حدثنا محمد بن إبراهيم بن إسحاق، قال: حدثنا عبد العزيز ابن يحيى البصري، قال: حدثنا المغيرة بن محمد، قال: حدثني جابر بن سلمة، قال: حدثنا حسين بن حسن، عن عامر السراج، عن سلام الخثعمي، عن أبي جعفر محمد ابن علي الباقر (عليه السلام)، قال: من صام من رجب يوما واحدا، من أوله أو وسطه أو آخره، أوجب الله له الجنة، وجعله معنا في درجتنا يوم القيامة، ومن صام يومين من رجب، قيل له: استأنف العمل، فقد غفر لك ما مضى، ومن صام ثلاثة أيام من رجب، قيل له: قد غفر لك ما مضى وما بقي، فاشفع لمن شئت من مذنبي إخوانك وأهل معرفتك، ومن صام سبعة أيام من رجب، أغلقت عنه أبواب النيران السبعة، ومن صام ثمانية أيام من رجب، فتحت له أبواب الجنة الثمانية، فيدخلها من أيها شاء (1).,"Al-Shaykh Al-Faqih Abu Ja`far Muhammad b. `Ali b. al-Husayn b. Musa b. Babuwayh narrated to us. He said: Muhammad b. Ibrahim b. Ishaq narrated to us. He said: `Abdul `Aziz b. Yahya al-Basri narrated to us. He said: Al-Mughira b. Muhammad narrated to us. He said: Jabir b. Salama narrated to us. He said: Husayn b. Hasan narrated to us from `Amer al-Sarraj from Salam al-Khath`ami from Abu Ja`far Muhammad b. `Ali al-Baqir . He said: Whomever fasts one day in Rajab, from its beginning or its middle or its end, Allah will make Paradise obligatory for him. He will bring him to us, in our rank, on the Day of Resurrection. Whomever fasts two days in Rajab, it will be said to him: “Resume your work, for everything that has passed has been forgiven.” Whomever fasts three days in Rajab, it will be said to him: “Everything that has passed and everything that will remain has been forgiven, so intercede for whichever sinner you wish from your brethren to your acquaintances.” Whomever fasts seven days in Rajab, the seven doors of Hell will be locked from him. Whomever fasts eight days in Rajab, the eight doors of Paradise will be opened for him, and he will be able to enter whichever one he wants."
Al-Amālī,The Dictations,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Bilal Muhammad,"al-Āmālī (lit. ‘the dictations’) is a transcription of 97 assemblies held by Shaykh al-Ṣadūq wherein he dictated narrations to his students. The topics mentioned in these narrations attributed to the Prophet (s) and the Ahl al-Bayt (a) covered various topics such as the Prophet's (s) conduct, the Isrāʾ and Miʿrāj (Night Journey and Ascension), supplications and guidance, and the virtues and merits of the Ahl al-Bayt (a). The content encompasses historical, ethical, and doctrinal aspects. In total, the book possesses 1082 narrations.",Section 1,"Chapter 2 | The Second Assembly, which is Tuesday, Seven Days Remaining from Rajab, 367 AH.",Ḥadīth #2,حدثنا جعفر بن محمد بن مسرور (رحمه الله)، قال: حدثنا الحسين بن محمد بن عامر، عن عمه عبد الله بن عامر، عن محمد بن أبي عمير، قال: حدثني جماعة من مشايخنا، منهم أبان بن عثمان، وهشام بن سالم، ومحمد بن حمران، عن الصادق (عليه السلام)، قال: عجبت لمن فزع من أربع كيف لا يفزع إلى أربع: عجبت لمن خاف العدو كيف لا يفزع إلى قوله تعالى: (حسبنا الله ونعم الوكيل) (1)! فإني سمعت الله عز وجل يقول بعقبها: (فانقلبوا بنعمة من الله وفضل لم يمسسهم سوء) (2)، وعجبت لمن اغتم كيف لا يفزع إلى قوله تعالى: (لا إله إلا أنت سبحانك إنى كنت من الظالمين) (3)! فإني سمعت الله عز وجل يقول بعقبها: (فاستجبنا له ونجيناه من الغم وكذلك ننجي المؤمنين) (4)، وعجبت لمن مكر به كيف لا يفزع إلى قوله تعالى: (وأفوض أمرى إلى الله إن الله بصير بالعباد) (5)! فإني سمعت الله عز وجل يقول بعقبها: (فوقاه الله سيئات ما مكروا) (6)، وعجبت لمن أراد الدنيا وزينتها كيف لا يفزع إلى قوله تعالى: (ما شاء الله لا قوة إلا بالله) (7)! فإني سمعت الله عز وجل يقول بعقبها: (إن ترن أنا أقل منك مالا وولدا * فعسى ربى أن يؤتين خيرا من جنتك) (8) وعسى موجبة (9).,"Ja`far b. Muhammad b. Masrur narrated to us. He said: Al-Husayn b. Muhammad b. `Amer narrated to us from his uncle `Abdullah b. `Amer from Muhammad b. Abi `Umayr. He said: A group of our shaykhs narrated to me, from whom were Aban b. `Uthman, Hisham b. Salim, and Muhammad b. Humran from Al-Sadiq . He said: I am astonished at him who fears four things yet does not seek refuge in four [other] things. (1) I am astonished at him who is afraid of the enemy: why does he not take his concern to His saying, “Allah is sufficient for us, for He is the best trustee” (3:173)? I have heard Allah follow it up with “So they returned by the bounty and the grace of Allah – no harm touched them.” (3:174) (2) I am astonished at him who is anguished: why does he not take his concern to His saying: “There is no god except You, may You be glorified: surely, I was from the wrongdoers.” (21:87)? I have heard Allah follow it up with “We answered his prayer and rescued him from anguish – and like that, We rescue the believers.” (21:88) (3) I am astonished at him who is plotted against: why does he not take his concern to His saying, “I delegate my affairs to Allah. Surely, Allah watches over His servants.” (40:44)? I have heard Allah follow it up with “Allah protected him from their evil plots” (40:45). (4) I am astonished at him who wants this world and its frills: why does he not take his concern to His saying, “Whatever Allah wills; there is no power except by Allah.” (18:39)? I have heard Allah follow it up with “Although you see that I have less wealth and fewer sons than you, perhaps my Lord will grant me something better than your garden.” (18:38-39) – and this “perhaps” was delivered."
Al-Amālī,The Dictations,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Bilal Muhammad,"al-Āmālī (lit. ‘the dictations’) is a transcription of 97 assemblies held by Shaykh al-Ṣadūq wherein he dictated narrations to his students. The topics mentioned in these narrations attributed to the Prophet (s) and the Ahl al-Bayt (a) covered various topics such as the Prophet's (s) conduct, the Isrāʾ and Miʿrāj (Night Journey and Ascension), supplications and guidance, and the virtues and merits of the Ahl al-Bayt (a). The content encompasses historical, ethical, and doctrinal aspects. In total, the book possesses 1082 narrations.",Section 1,"Chapter 2 | The Second Assembly, which is Tuesday, Seven Days Remaining from Rajab, 367 AH.",Ḥadīth #3,حدثنا محمد بن موسى بن المتوكل (رحمه الله)، قال: حدثنا علي بن إبراهيم بن هاشم، قال: حدثنا أبي، عن الريان بن الصلت، عن علي بن موسى الرضا، عن أبيه، عن آبائه، عن أمير المؤمنين (عليهم السلام)، قال: قال رسول الله (صلى الله عليه وآله): قال الله عز وجل: ما آمن بي من فسر برأيه كلامي، وما عرفني من شبهني بخلقي، وما على ديني. من استعمل القياس في ديني (1).,Muhammad b. Musa b. al-Mutawakkil narrated to us. He said: `Ali b. Ibrahim b. Hashim narrated to us. He said: My father narrated to us from al-Rayyan b. al-Salt from `Ali b. Musa al-Rida from his father from his forefathers from Amir al-Mu’mineen . He said: The Messenger of Allah (s) said: Allah said: “Whoever interprets My words by his own opinion has not believed in Me. Whoever likens me to My creation has not recognized Me. Whoever utilizes qiyas in My religion is not upon My religion.”
