title,title_en,volume,author,translator,description,book,chapter,hadees_number,hadees_arabic,hadees_english
Al-Tawḥīd,The Book of Divine Unity,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Sayed Ali Raza Rizvi,"al-Tawḥīd is an esteemed work authored by the revered early Shīʿī scholar Shaykh al-Ṣadūq. This work explores an array of theological themes concerning God's nature and the relationship between God and the Creation. Rather than crafting a dialectic theological or Kalām text, Shaykh al-Ṣadūq has uniquely drawn from the Ḥadīths— the reported sayings of the Prophet (s) and the Imams (as)— to grapple with profound subjects such as God's Oneness, the conundrum of free will versus predestination, the nature of the Qurʾān, the nature of God’s attributes and the impact of revelation. This approach underscores the notable, yet often overlooked, role that the Ḥadīths of the Imams have played in shaping early Muslim theology.",1 | Introduction,Chapter 1 | Foreword,Ḥadīth #1,بسم الله الرحمن الرحيم الحمد لله الواحد الأحد الذي لا شريك له، الفرد الصمد الذي لا شبيه له، الأول القديم الذي لا غاية له، الآخر الباقي الذي لا نهاية له، الموجود الثابت الذي لا عدم له، الملك الدائم الذي لا زوال له، القادر الذي لا يعجزه شئ، العليم الذي لا يخفى عليه شئ، الحي لا بحياة، الكائن لا في مكان، السميع البصير الذي لا آلة له ولا أداة، الذي أمر بالعدل، وأخذ بالفضل، وحكم بالفصل، لا معقب لحكمه، ولا راد لقضائه، ولا غالب لإرادته، ولا قاهر لمشيته، وإنما أمره إذا أراد شيئا أن يقول له كن فيكون، فسبحان الذي بيده ملكوت كل شئ، وإليه المرجع والمصير. وأشهد أن لا إله إلا الله رب العالمين، وأشهد أن محمد عبده ورسوله سيد النبيين وخير خلقه أجمعين، وأشهد أن علي بن أبي طالب سيد الوصيين وإمام المتقين و قائد الغر المحجلين، وأن الأئمة من ولده بعده حجج الله إلى يوم الدين، صلوات الله وسلامه عليهم أجمعين. قال الشيخ أبو جعفر محمد بن علي بن الحسين بن موسى بن بابويه القمي الفقيه نزيل الري مصنف هذا الكتاب - أعانه الله تعالى على طاعته، ووفقه لمرضاته - إن الذي دعاني إلى تأليف كتابي هذا أني وجدت قوما من المخالفين لنا ينسون عصابتنا إلى القول بالتشبيه والجبر لما وجدوا في كتبهم من الأخبار التي جهلوا تفسيرها ولم يعرفوا معانيها ووضعوها في غير موضعها ولم يقابلوا بألفاظها ألفاظ القرآن فقبحوا بذلك عند الجهال صورة مذهبنا، ولبسوا عليهم طريقتنا، وصدوا - الناس عن دين الله، وحملوهم على جحود حجج الله فتقربت إلى الله تعالى ذكره بتصنيف هذا الكتاب في التوحيد ونقي التشبيه، والجبر، مستعينا به ومتوكلا عليه، و هو حسبي ونعم الوكيل.,"All praise be to Allah, the One and Only, who does not have a partner; the Peerless, the Needless, who has no like; the First, the Ever-Existent, who has no limit; the Last and the Everlasting who has no end; the Existing, the Constant, who has no non-existence; the Eternal King, who does not decline; the Power who is not weakened; the All-Knowing from who nothing can be hidden; the Alive but not with life; the One who Exists, but who is not confined to place; the All-Hearing and the All-Seeing, who has no ears and eyes; the One who ordered with justice, punished with favour, and commanded with bounty, but not to trap people under His Command. There is no rejecter to His Judgement, no challenger to His Decision, and no subduer to His Will. And His Command, when He intendeth anything, is only that He sayeth unto it “Be,” and then it is. Therefore, hallowed be He in whose Hand is the kingdom of all things, and unto His is the return and final arrival. <br>And I bear witness that there is no god but Allah, the Master of the Universe, and I bear witness that Muhammad ﷺ in His Servant and His Messenger, the Master of the Prophets (of Allah) and the Best of all His Creation. And I bear witness that `Ali ibn Abu Talib is the Master of the Appointed Guardians, and Commander of the Pious and Leader of the People with Radiant Foreheads. And I bear witness that the Imams from his Progeny after him are the Proofs of Allah to the Day of Judgement; may the blessings and salutations of Allah be upon them all. <br>Al-Shaykh Abu Ja’far Muhammad ibn `Ali ibn Husayn ibn Musa ibn Babawayh al-Qummi, the jurist, a resident of Ray compiler of this book (may Allah, the Exalted, help him in obeying Him, and grant him success with his work, through His Contentment) said: I compiled this book because the opponents of our sect [isabah] allege that we believe in anthropomorphism and determinism [jabr]. They made these claims on the basis of traditions [akhbar] they found in their books. Since they could not explain these traditions, and they could not understand their meaning, they distorted their original sense. In fact, they failed to compare the words of these traditions with the words of the Quran. As a result of their shortcomings, they distorted the beliefs of our sects among the ignorant. They confused people about our ways, and turned people away from the religion of Allah. They induced them to deny the Proofs of Allah. Therefore, I sought the favour of Allah, may His Remembrance be Exalted, and sought His Help, through the compilation of The Book of Divine Unity which rejects anthropomorphism and determinism."
Al-Tawḥīd,The Book of Divine Unity,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Sayed Ali Raza Rizvi,"al-Tawḥīd is an esteemed work authored by the revered early Shīʿī scholar Shaykh al-Ṣadūq. This work explores an array of theological themes concerning God's nature and the relationship between God and the Creation. Rather than crafting a dialectic theological or Kalām text, Shaykh al-Ṣadūq has uniquely drawn from the Ḥadīths— the reported sayings of the Prophet (s) and the Imams (as)— to grapple with profound subjects such as God's Oneness, the conundrum of free will versus predestination, the nature of the Qurʾān, the nature of God’s attributes and the impact of revelation. This approach underscores the notable, yet often overlooked, role that the Ḥadīths of the Imams have played in shaping early Muslim theology.",Section 2,Chapter 1 | Reward for the Monotheists and Gnostics,Ḥadīth #1,1 - قال أبو جعفر محمد بن علي بن الحسين بن موسى بن بابويه القمي رضي الله عنه: حدثنا أبي - رضي الله عنه - قال: حدثنا سعد بن عبد الله، عن أحمد ابن أبي عبد الله البرقي، قال: حدثني أبو عمران العجلي، قال: حدثنا محمد بن سنان قال: حدثنا أبو العلاء الخفاف، قال: حدثنا عطية العوفي، عن أبي سعيد الخدري، قال: قال رسول الله صلى الله عليه وآله وسلم: ما قلت ولا قال القائلون قبلي مثل لا إله إلا الله.,"1. Abu Ja’far Muhammad ibn `Ali ibn ibn Husayn ibn Musa ibn Bawayh al-Qummi said: my father said, that Sa’d ibn `Abdullah informed us, on the authority of Ahmad ibn Abu `Abdullah al-Barqi said: Abu `Imran al-`Ijli said: Muhammad ibn Sinan said: Abu al-`Ala al-Khaffaf said: `Atiyyah al-`Awfi said, on the authority of Abu Sa’id al-Khudri, he said that The Messenger of Allah ﷺ said: “Neither I nor anyone before me has said anything like: `There is no god but Allah’ [La ilaha illa Allah].”"
Al-Tawḥīd,The Book of Divine Unity,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Sayed Ali Raza Rizvi,"al-Tawḥīd is an esteemed work authored by the revered early Shīʿī scholar Shaykh al-Ṣadūq. This work explores an array of theological themes concerning God's nature and the relationship between God and the Creation. Rather than crafting a dialectic theological or Kalām text, Shaykh al-Ṣadūq has uniquely drawn from the Ḥadīths— the reported sayings of the Prophet (s) and the Imams (as)— to grapple with profound subjects such as God's Oneness, the conundrum of free will versus predestination, the nature of the Qurʾān, the nature of God’s attributes and the impact of revelation. This approach underscores the notable, yet often overlooked, role that the Ḥadīths of the Imams have played in shaping early Muslim theology.",Section 2,Chapter 1 | Reward for the Monotheists and Gnostics,Ḥadīth #2,2 - حدثنا محمد بن الحسن بن أحمد بن الوليد رضي الله عنه، قال: حدثنا محمد ابن الحسن الصفار، قال: حدثنا إبراهيم بن هاشم، عن الحسين بن يزيد النوفلي عن إسماعيل بن مسلم السكوني، عن أبي عبد الله جعفر بن محمد، عن أبيه، عن آبائه عليهم السلام قال: قال رسول الله صلى الله عليه وآله وسلم: خير العبادة قول لا إله إلا الله.,"2. Muhammad ibn al-Hasan ibn Ahmed ibn al-Walid said: Muhammad ibn al-Husan al-Saffar said: Ibrahim ibn Hashim said on the authority of al-Husayn ibn Yazid al-Nawfili on the authority of Isma’il ibn Muslim al-Sakuni from Abu `Abdullah Ja’far ibn Muhammad , on the authority of his father , on the authority of his forefathers, peace be upon them, that The Messenger of Allah ﷺ said: “The best act of worship [`ibadah] is to say: `There is no god but Allah’.”"
Al-Tawḥīd,The Book of Divine Unity,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Sayed Ali Raza Rizvi,"al-Tawḥīd is an esteemed work authored by the revered early Shīʿī scholar Shaykh al-Ṣadūq. This work explores an array of theological themes concerning God's nature and the relationship between God and the Creation. Rather than crafting a dialectic theological or Kalām text, Shaykh al-Ṣadūq has uniquely drawn from the Ḥadīths— the reported sayings of the Prophet (s) and the Imams (as)— to grapple with profound subjects such as God's Oneness, the conundrum of free will versus predestination, the nature of the Qurʾān, the nature of God’s attributes and the impact of revelation. This approach underscores the notable, yet often overlooked, role that the Ḥadīths of the Imams have played in shaping early Muslim theology.",Section 2,Chapter 1 | Reward for the Monotheists and Gnostics,Ḥadīth #3,3 - حدثنا محمد بن الحسن بن أحمد بن الوليد رحمه الله، قال: حدثنا سعد بن عبد الله، عن أحمد بن هلال، عن الحسن بن علي بن فضال، عن أبي حمزة، عن أبي جعفر عليه السلام، قال: سمعته يقول: ما من شئ أعظم ثوابا من شهادة أن لا إله إلا الله لأن الله عز وجل لا يعدله شئ ولا يشركه في الأمر أحد .,"3. Muhammad ibn al-Hasan ibn Ahmad ibn al-Walid said: Sa’d ibn `Abd Allah, on the authority of Ahmad ibn Hilal on the authority of al-Hasan ibn `Ali ibn Fuddal, on the authority of Abu Hamzah that Abi Ja'far (al-Baqir) said: “There is nothing greater in reward than testifying that: 'There is no god but Allah, because nothing equals Allah, the Mighty and High, and nobody shares His Power.'"""
Al-Tawḥīd,The Book of Divine Unity,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Sayed Ali Raza Rizvi,"al-Tawḥīd is an esteemed work authored by the revered early Shīʿī scholar Shaykh al-Ṣadūq. This work explores an array of theological themes concerning God's nature and the relationship between God and the Creation. Rather than crafting a dialectic theological or Kalām text, Shaykh al-Ṣadūq has uniquely drawn from the Ḥadīths— the reported sayings of the Prophet (s) and the Imams (as)— to grapple with profound subjects such as God's Oneness, the conundrum of free will versus predestination, the nature of the Qurʾān, the nature of God’s attributes and the impact of revelation. This approach underscores the notable, yet often overlooked, role that the Ḥadīths of the Imams have played in shaping early Muslim theology.",Section 2,Chapter 1 | Reward for the Monotheists and Gnostics,Ḥadīth #4,4 - حدثنا محمد بن موسى بن المتوكل رضي الله عنه، قال: حدثنا محمد بن جعفر الأسدي، قال: حدثني موسى بن عمران النخعي، عن عمه الحسين بن يزيد النوفلي، عن محمد بن سنان، عن المفضل بن عمر، قال: قال أبو عبد الله عليه السلام: إن الله تبارك وتعالى ضمن للمؤمن ضمانا، قال: قلت: وما هو؟ قال: ضمن له - إن هو أقر له بالربوبية ولمحمد صلى الله عليه وآله وسلم بالنبوة ولعلي عليه السلام بالإمامة وأدى ما افترض عليه - أن يسكنه في جواره، قال: قلت: فهذه والله الكرامة التي لا يشبهها كرامة الآدميين قال: ثم قال أبو عبد الله عليه السلام: اعملوا قليلا تتنعموا كثيرا.,"4. Muhammad ibn Musa ibn al-Mutawakkiil said: Muhammad ibn Ja’far al-Asadi said, that Musa ibn `Imran al-Nakha`I said, on the authority of his uncle al-Husayn ibn Yazid l-Nawfili, on the authority of Muhammad ibn Sinan, on the authority of al-Mufaddal ibn Umar that abu 'Abdillah said: “Verily, Allah, Blessed and Exalted be He, has given the believer a guarantee.” I asked, “What is it?” He replied, “If a believer professes his (Allah’s) divinity, Muhammad’s ﷺ prophethood, and `Ali’s Imamate, and carriers out his duties, He guarantees him eternal life in His Presence [jiwar].” I said: “By Allah! This is a blessing with which none of the blessings bestowed upon the children of Adam can compare!” Abu 'Abdillah replied, “Do little, and you will enjoy much.”"
Al-Tawḥīd,The Book of Divine Unity,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Sayed Ali Raza Rizvi,"al-Tawḥīd is an esteemed work authored by the revered early Shīʿī scholar Shaykh al-Ṣadūq. This work explores an array of theological themes concerning God's nature and the relationship between God and the Creation. Rather than crafting a dialectic theological or Kalām text, Shaykh al-Ṣadūq has uniquely drawn from the Ḥadīths— the reported sayings of the Prophet (s) and the Imams (as)— to grapple with profound subjects such as God's Oneness, the conundrum of free will versus predestination, the nature of the Qurʾān, the nature of God’s attributes and the impact of revelation. This approach underscores the notable, yet often overlooked, role that the Ḥadīths of the Imams have played in shaping early Muslim theology.",Section 2,Chapter 1 | Reward for the Monotheists and Gnostics,Ḥadīth #5,5 - حدثنا أحمد بن زياد بن جعفر الهمداني رضي الله عنه، قال حدثنا علي ابن إبراهيم بن هاشم، عن أبيه، عن محمد بن أبي عمير، عن إبراهيم بن زياد الكرخي عن أبي عبد الله، عن أبيه، عن جده عليهم السلام، قال: قال رسول الله صلى الله عليه وآله وسلم: من مات ولا يشرك بالله شيئا أحسن أو أساء دخل الجنة.,"5. Ahmed ibn Ziyad ibn Ja’far al-Hamadani said, that `Ali ibn Ibrahim ibn Hashim, on the authority of his father, from Muhammad ibn Abu `Umayr, on the authority of Ibrahim ibn Ziyad al-Karkhi from Abu `Abdillah, from his father, from his grandfather , that The Messenger of Allah ﷺ said: “Whoever dies without ascribing a partner to Allah, will enter Heaven regardless of whether he has done good or evil.”"
Al-Tawḥīd,The Book of Divine Unity,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Sayed Ali Raza Rizvi,"al-Tawḥīd is an esteemed work authored by the revered early Shīʿī scholar Shaykh al-Ṣadūq. This work explores an array of theological themes concerning God's nature and the relationship between God and the Creation. Rather than crafting a dialectic theological or Kalām text, Shaykh al-Ṣadūq has uniquely drawn from the Ḥadīths— the reported sayings of the Prophet (s) and the Imams (as)— to grapple with profound subjects such as God's Oneness, the conundrum of free will versus predestination, the nature of the Qurʾān, the nature of God’s attributes and the impact of revelation. This approach underscores the notable, yet often overlooked, role that the Ḥadīths of the Imams have played in shaping early Muslim theology.",Section 2,Chapter 1 | Reward for the Monotheists and Gnostics,Ḥadīth #6,6 - حدثنا محمد بن الحسن بن أحمد بن الوليد رضي الله عنه، قال: حدثنا محمد ابن الحسن الصفار، قال: حدثنا محمد بن الحسين بن أبي الخطاب، عن علي بن - أسباط، عن علي بن أبي حمزة، عن أبي بصيرة، عن أبي عبد الله عليه السلام، في قول الله عز وجل: (هو أهل التقوى وأهل المغفرة) قال: قال الله تبارك وتعالى: أنا أهل أن اتقى ولا يشرك بي عبدي شيئا، وأنا أهل أن لم يشرك بي عبدي شيئا أن أدخله الجنة، وقال عليه السلام: إن الله تبارك وتعالى أقسم بعزته وجلاله أن لا يعذب أهل توحيده بالنار أبدا.,"6. Muhammad ibn al-Hasan ibn Ahmad ibn al-Walid said, that Muhammad ibn al-Hasan al-Saffar said, that Muhammd ibn al-Husayn ibn Abu al-Khattab on the authority of `Ali ibn Abu Hamzah, on the authority of Abu Basirah that Abu `Abdillah explained the Word of Allah, the Mighty and High: “He is the most entitled to be feared and the most entitled to forgive.” (74:56) He said: “Allah, Blessed and Exalted be He, said: I was the most entitled to be feared. Hence, My servant should not associate partners with Me. I am the most entitled to grant Heaven to My servant, so long as he does not associate partners with Me.“ And he said: “Verily, Allah, Blessed and Exalted be He, has taken an oath by His Dignity and Glory that He will never punish the people who believe in His Unity with Hellfire.”"
Al-Tawḥīd,The Book of Divine Unity,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Sayed Ali Raza Rizvi,"al-Tawḥīd is an esteemed work authored by the revered early Shīʿī scholar Shaykh al-Ṣadūq. This work explores an array of theological themes concerning God's nature and the relationship between God and the Creation. Rather than crafting a dialectic theological or Kalām text, Shaykh al-Ṣadūq has uniquely drawn from the Ḥadīths— the reported sayings of the Prophet (s) and the Imams (as)— to grapple with profound subjects such as God's Oneness, the conundrum of free will versus predestination, the nature of the Qurʾān, the nature of God’s attributes and the impact of revelation. This approach underscores the notable, yet often overlooked, role that the Ḥadīths of the Imams have played in shaping early Muslim theology.",Section 2,Chapter 1 | Reward for the Monotheists and Gnostics,Ḥadīth #7,7 - حدثنا محمد بن أحمد الشيباني رضي الله عنه، قال: حدثنا محمد بن أبي - عبد الله الكوفي، قال: حدثنا موسى بن عمران النخعي، عن عمه الحسين بن يزيد النوفلي، عن علي بن سالم، عن أبي بصير، قال: قال أبو عبد الله عليه السلام: إن الله تبارك وتعالى حرم أجساد الموحدين على النار.,"7. Muhammad ibn Ahmad al-Shaybani said: Muhammad ibn Abu `Abd Allah al-Kufi said, that Musa ibn `Imran al-Nakha’i on the authority of his uncle al-Husayn ibn Yazid al-Nawfali on the authority of `Ali ibn Salim, Abu `Abdillah said: “Verily, Allah, Blessed and Exalted be He, has forbidden Hellfire to the bodies of the monotheists.”"
Al-Tawḥīd,The Book of Divine Unity,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Sayed Ali Raza Rizvi,"al-Tawḥīd is an esteemed work authored by the revered early Shīʿī scholar Shaykh al-Ṣadūq. This work explores an array of theological themes concerning God's nature and the relationship between God and the Creation. Rather than crafting a dialectic theological or Kalām text, Shaykh al-Ṣadūq has uniquely drawn from the Ḥadīths— the reported sayings of the Prophet (s) and the Imams (as)— to grapple with profound subjects such as God's Oneness, the conundrum of free will versus predestination, the nature of the Qurʾān, the nature of God’s attributes and the impact of revelation. This approach underscores the notable, yet often overlooked, role that the Ḥadīths of the Imams have played in shaping early Muslim theology.",Section 2,Chapter 1 | Reward for the Monotheists and Gnostics,Ḥadīth #8,8 - حدثنا أبي رحمه الله، قال: حدثنا سعد بن عبد الله، عن أحمد بن محمد بن عيسى، عن الحسين بن سيف، عن أخيه علي، عن أبيه سيف بن عميرة، قال: حدثني الحجاج بن أرطاة، قال: حدثني أبو الزبير، عن جابر بن عبد الله، عن النبي صلى الله عليه وآله وسلم أنه قال: الموجبتان من مات يشهد أن لا إله إلا الله (وحده لا شريك له) دخل الجنة، ومن مات يشرك بالله دخل النار.,"8. My father said, that Sa’d ibn `Abdullah informed us, on the authority of Ahmad ibn Muhammad ibn `Isa, on the authority of al-Husayn ibn Sayf, on the authority of his brother Ali, on the authority of his father Sayf ibn Amirah said, that al-Hajjaj ibn Artat related to me, that Abu al-Zubayr said, on the authority of Jabir ibn `Abdullah, from the The Prophet ﷺ who said: “Two events are inevitable: The one who died witnessing that there is no god but Allah (He is One and He has no partner with Him) will enter Paradise, and the one who died associating partners with Allah will enter Hellfire.”"
Al-Tawḥīd,The Book of Divine Unity,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Sayed Ali Raza Rizvi,"al-Tawḥīd is an esteemed work authored by the revered early Shīʿī scholar Shaykh al-Ṣadūq. This work explores an array of theological themes concerning God's nature and the relationship between God and the Creation. Rather than crafting a dialectic theological or Kalām text, Shaykh al-Ṣadūq has uniquely drawn from the Ḥadīths— the reported sayings of the Prophet (s) and the Imams (as)— to grapple with profound subjects such as God's Oneness, the conundrum of free will versus predestination, the nature of the Qurʾān, the nature of God’s attributes and the impact of revelation. This approach underscores the notable, yet often overlooked, role that the Ḥadīths of the Imams have played in shaping early Muslim theology.",Section 2,Chapter 1 | Reward for the Monotheists and Gnostics,Ḥadīth #9,9 - حدثنا أبي رضي الله عنه، قال: حدثنا سعد بن عبد الله، عن أحمد بن محمد ابن عيسى، عن الحسين بن سيف، عن أخيه علي، عن أبيه سيف بن عميرة، عن الحسن بن الصباح، قال: حدثني أنس، عن النبي صلى الله عليه وآله وسلم قال: كل جبار عنيد من أبى أن يقول لا إله إلا الله.,"9. My father related to me, that Sa’d ibn `Abdullah on the authority of Ahmad ibn Muhammad ibn `Isa on the authority of al-Husayn ibn Sayf, on the authority of his brother `Ali, on the authority of his father Sayf ibn `Amirah, on the authority of al-Hasan ibn al-Sabbah, he said that Anas informed me, from The Prophet ﷺ who said: “'Every stubborn tyrant' (14:15) are those who refuse to say 'There is no god but Allah.'”"
Al-Tawḥīd,The Book of Divine Unity,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Sayed Ali Raza Rizvi,"al-Tawḥīd is an esteemed work authored by the revered early Shīʿī scholar Shaykh al-Ṣadūq. This work explores an array of theological themes concerning God's nature and the relationship between God and the Creation. Rather than crafting a dialectic theological or Kalām text, Shaykh al-Ṣadūq has uniquely drawn from the Ḥadīths— the reported sayings of the Prophet (s) and the Imams (as)— to grapple with profound subjects such as God's Oneness, the conundrum of free will versus predestination, the nature of the Qurʾān, the nature of God’s attributes and the impact of revelation. This approach underscores the notable, yet often overlooked, role that the Ḥadīths of the Imams have played in shaping early Muslim theology.",Section 2,Chapter 1 | Reward for the Monotheists and Gnostics,Ḥadīth #10,10 - حدثنا جعفر بن علي بن الحسن بن علي بن عبد الله بن المغيرة الكوفي رضي الله عنه، قال: حدثني جدي الحسن بن علي الكوفي، عن الحسين بن سيف، عن أخيه علي، عن أبيه سيف بن عميرة، عن عمرو بن شمر، عن جابر بن يزيد الجعفي، عن أبي جعفر عليه السلام قال: جاء جبرئيل إلى رسول الله صلى الله عليه وآله وسلم فقال: يا محمد طوبى لمن قال من أمتك: لا إله إلا الله وحده وحده وحده.,"10. Ja’far ibn `Ali ibn al-Hasan ibn `Ali ibn `Abdillah ibn al-Mugheerah al-Kufi said: al-Hasan, my grandfather, ibn `Ali al-Kufi on the authority of al-Husayn ibn Sayf, on the authority of his brother `Ali, on the authority of his father Sayf ibn 'Umayrah on the authority of `Amru ibn Shimr, on the authority of Jabir bin Yazid al-Ju'fi that Abi Ja’far (al-Baqir) said: Jibra’il came to Rasulullah ﷺ and said: “O Muhammad! Blessed is any member of your Ummah who professes that 'There is no god but Allah, Alone, Alone, Alone.'"""
