title,title_en,volume,author,translator,description,book,chapter,hadees_number,hadees_arabic,hadees_english
Faḍaʾil al-Shīʿa,Virtues of the Shīʿa,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Badr Shahin,"Faḍaʾil al-Shīʿa (lit. The Virtues of the Shīʿa) is a short compilation penned by the distinguished Shi'a scholar al-Shaykh al-Saduq. The book presents a collection of 45 selected hadiths from the Imams, articulating the standing of the Shīʿa community and affirming their position as the only followers who faithfully adhere to the Prophet's path of truth. These chosen sayings underscore the unique role of the Shīʿa in perpetuating the Prophet's teachings and serve as a guide for moral conduct and understanding.",Section 1,Chapter 1 | Hadith,Ḥadīth #1,حدّثنا أبي رضى الله عنه، قال: حدّثنا عبد الله بن الحسين المؤدّب، عن أحمد بن عليّ الأصفهاني، عن محمّد بن أسلم الطوسي، قال: حدّثنا أبو رجاء عن حمّاد بن زيد، عن عبد الرحمن السرّاج عن نافع، عن ابن عمر قال: سألنا النبي صلّى الله عليه وآله عن علي بن أبي طالب عليه السلام؟ فغضب صلّى الله عليه وآله ثمّ قال: ما بال أقوام يذكرون مَن منزلته مِن الله كمنزلتي? ألا ومن أحبّ عليّاً فقد أحبّني، ومن أحبّني فقد رضي الله عنه، ومن رضي الله عنه كافأه الجنّة. ألا ومن أحبّ عليّاً لا يخرج من الدنيا حتّى يشرب من الكوثر، ويأكل من طوبى، ويرى مكانه في الجنّة. ألا ومن أحبّ عليّاً قبل صلاته وصيامه وقيامه، واستجاب له دعاءه. ألا ومن أحب عليّاً استغفرت له الملائكة وفتحت له أبواب الجنّة الثمانية يدخلها من أيّ باب شاء بغير حساب. ألا ومن أحبّ عليّاً أعطاه الله كتابه بيمينه وحاسبه حساب الأنبياء. ألا ومن أحبّ عليّاً هوّن الله عليه سكرات الموت، وجعل قبره روضة من رياض الجنّة. ألا ومن أحبّ عليّاً أعطاه الله بكلّ عرق في بدنه حوراء، وشفّع في ثمانين من أهل بيته، وله بكلّ شعرة في بدنه حوراء ومدينة في الجنّة. ألا ومن أحب عليّاً بعث الله إليه ملك الموت كما يبعث إلى الأنبياء، ودفع الله عنه هول منكر ونكير، ونوّر قلبه وبيّض وجهه، وكان مع حمزة سيّد الشهداء. ألا ومن أحبّ عليّاً نجّاه الله من النار. ألا ومن أحبّ عليّاً أثبت الله في قلبه الحكمة، وأجرى على لسانه الصواب، وفتح الله عليه أبواب الرحمة. ألا ومن أحبّ عليّاً سمّي في السماوات والأرض أسير الله. ألا ومن أحبّ عليّاً ناداه ملك من تحت العرش: يا عبد الله استأنف العمل، فقد غفر الله لك الذنوب كلّها. ألا ومن أحبّ عليّاً جاء يوم القيامة ووجهه كالقمر ليلة البدر. ألا ومن أحب عليّاً وضع على رأسه تاج الملك، واُلبس حلّة الكرامة. ألا ومن أحبّ عليّاً جاز على الصراط كالبرق الخاطف. ألا ومن أحبّ عليّاً كتب له براءة من النار وجواز على الصراط وأمان من العذاب ولم ينشر له ديوان ولم ينصب له ميزان وقيل له: ادخل الجنّة بلا حساب. ألا ومن أحبّ عليّاً صافحته الملائكة وزارته الأنبياء وقضى الله له كلّ حاجة. ألا ومن أحبّ آل محمد أمِنَ من الحساب، والميزان، والصراط. ألا ومن مات على حبّ آل محمد فأنا كفيله بالجنّة مع الأنبياء. ألا ومن مات على بغض آل محمد لم يشمّ رائحة الجنّة. قال أبو رجاء: كان حمّاد بن زيد يفتخر بهذا ويقول هو الأمل.,"My father (d) related to us from Abdullah bin al-Hussein al-Mueddib from Ahmed bin Ali al-Isfahani from Mohammed bin Aslam at-Tusi from Abu Rajaa from Hemmad bin Zaid from Abdirrahman as-Sarraj from Nafii that Ibn Omar said: When we asked him about Ali bin Abi Talib, the Prophet (s) was angry and said: Why do some people mention that one whose rank in the sight of Allah is as same as mine?He who loves Ali loves me, and Allah will accept him who loves me, and whomever Allah accepts will be rewarded with Paradise. Whoever loves Ali will not depart this world before he drinks from the Divine River of Kawthar, eats from the Divine Tree of Tuba, and sees his place in Paradise. Whoever loves Ali will have his prayers, fasting, and worship accepted and will have his supplications responded. Whoever loves Ali, the angels will seek Allah’s forgiveness for him and the eight portals of Paradise will all be opened before him so that he can choose the one which takes him to Paradise with being maintained to the Judgment. Whoever loves Ali, Allah will give him his record (of deeds) in his right hand and will call him to account in the same way as He calls His prophets. Whoever loves Ali; Allah will alleviate for him the agonies of death and will change his grave into a garden of Paradise. Whoever loves Ali, Allah will give him in marriage women of Paradise as many as the arteries of his body, will grant him the right to intercede for eighty individuals from his family members, and will give him women and cities of Paradise as many as the hairs of his body. Whoever loves Ali, Allah will send the Angel of Death to him in the same way as He sends him to the prophets, will save him from the horrible interrogation of Munkar and Nakeer, will lighten his heart, will whiten his face, and will join him with Hamza; the master of the shahids. Whoever loves Ali, Allah will save him from the fire (of Hell.) Whoever loves Ali, Allah will place wisdom in his heart firmly, will make the truth slide on his tongue, and will open before him the doors to His mercy. Whoever loves Ali will be called ’the prisoner of Allah’ in the heavens and the earth. Whoever loves Ali, an angel from beneath the Divine Throne will call at him: O servant of Allah, make a new start, for Allah has forgiven all of your sins. Whoever loves Ali will attend on the Day of Resurrection with a face as bright as the full moon. Whoever loves Ali will be crowned and will be dressed the garment of honor. Whoever loves Ali will pass the Path like the swift lightning. Whoever loves Ali will be granted an acquittance from Hell, a permit to pass the Path, and a security against the punishment. Besides, no record of judgment will be opened for him, no balance (for weighing his good acts and evil acts for identifying which one is more) will be maintained for him, and it will be said to him, ’Enter Paradise without judgment.’ Whoever loves Ali, the angels will shake hands with him, the prophets will visit him, and Allah will settle all of his needs. Whoever loves the family of Mohammed will be saved from the Judgment, the Balance, and the Path. Whoever dies on the love for the family of Mohammed, I guarantee for him a place in Paradise with the prophets. Whoever dies on the hatred for the family of Mohammed will never smell the essence of Paradise. ((Abu Rajaa commented: Hemmad bin Zaid used to take pride in this, for he considered it as the only hope.))"
Faḍaʾil al-Shīʿa,Virtues of the Shīʿa,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Badr Shahin,"Faḍaʾil al-Shīʿa (lit. The Virtues of the Shīʿa) is a short compilation penned by the distinguished Shi'a scholar al-Shaykh al-Saduq. The book presents a collection of 45 selected hadiths from the Imams, articulating the standing of the Shīʿa community and affirming their position as the only followers who faithfully adhere to the Prophet's path of truth. These chosen sayings underscore the unique role of the Shīʿa in perpetuating the Prophet's teachings and serve as a guide for moral conduct and understanding.",Section 1,Chapter 2 | Hadith,Ḥadīth #2,حدّثنا الحسن بن عبد الله بن سعيد عن محمد بن أحمد بن حمدان القشيري، عن المغيرة بن محمد بن المهلّب الأزدي، عن عبد الغفار بن محمد الكلابي، عن عمرو بن ثابت، عن جابر، عن أبي جعفر، عن عليّ بن الحسين، عن أبيه عليهم السلام، قال: قال رسول الله صلّى الله عليه وآله: حبّي وحبّ أهل بيتي نافِعٌ في سبعة مواطن أهوالهُنّ عظيمة: عند الوفاة، وفي القبر، وعند النشور، وعند الكتاب، وعند الحساب، وعند الميزان، وعند الصراط.,"Al-Hasan bin Abdullah bin Saeed narrated to us from Mohammed bin Ahmed bin Hamdan al-Qushairi from al-Mugheera bin Mohammed bin al-Muhallab al-Azdi from Abdul-Ghaffar bin Mohammed al-Kelabi from Amir bin Thabit from Jabir that Abu Ja’far related on the authority of Ali bin al-Hussein from his father that the Prophet (s) said: The love for my household and me will help in seven situations whose horrors are enormous: at death, in the grave, in the Resurrection, in the Recorded Account, in the Judgment, in the Balance, and on the Path."
Faḍaʾil al-Shīʿa,Virtues of the Shīʿa,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Badr Shahin,"Faḍaʾil al-Shīʿa (lit. The Virtues of the Shīʿa) is a short compilation penned by the distinguished Shi'a scholar al-Shaykh al-Saduq. The book presents a collection of 45 selected hadiths from the Imams, articulating the standing of the Shīʿa community and affirming their position as the only followers who faithfully adhere to the Prophet's path of truth. These chosen sayings underscore the unique role of the Shīʿa in perpetuating the Prophet's teachings and serve as a guide for moral conduct and understanding.",Section 1,Chapter 3 | Hadith,Ḥadīth #3,حدّثنا جعفر بن علي بن الحسن بن علي بن عبد الله بن المغيرة عن جدّه الحسن بن علي، عن جدّه عبد الله بن المغيرة، عن إسماعيل بن مسلم الشعيري، عن الصادق جعفر بن محمّد، عن أبيه عليهم السلام قال: قال رسول الله صلّى الله عليه وآله: أثبتكم قدماً على الصراط أشدّكم حبّاً لأهل بيتي.,Ja’far bin Ali bin al-Hasan bin Ali bin Abdullah bin al-Mugheera narrated to us from his grandfather from his grandfather from Ismaeel bin Muslim ash-Shuairi from Ja’far bin Mohammed as-Sadiq that the Prophet ﷺ said: The most sure-footed of you on the Path will be the most loving for my household.
Faḍaʾil al-Shīʿa,Virtues of the Shīʿa,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Badr Shahin,"Faḍaʾil al-Shīʿa (lit. The Virtues of the Shīʿa) is a short compilation penned by the distinguished Shi'a scholar al-Shaykh al-Saduq. The book presents a collection of 45 selected hadiths from the Imams, articulating the standing of the Shīʿa community and affirming their position as the only followers who faithfully adhere to the Prophet's path of truth. These chosen sayings underscore the unique role of the Shīʿa in perpetuating the Prophet's teachings and serve as a guide for moral conduct and understanding.",Section 1,Chapter 4 | Hadith,Ḥadīth #4,حدّثنا الحسين بن إبراهيم رحمه الله عن أحمد بن يحيى، عن بكر بن عبد الله، عن محمّد بن عبيد الله، عن على بن الحكم، عن هشام، عن أبي حمزة الثمالي، عن أبي جعفر محمد بن علي، عن آبائه عليهم السلام قال: قال رسول الله صلّى الله عليه وآله لعلي عليه السلام: ما ثبت حبّك في قلب امرئ مؤمن فزلّت به قدمه على الصراط، إلاّ ثبت له قدم حتّى أدخله الله بحبّك الجنّة.,"Al-Hussein bin Ibrahim (r) narrated from Ahmed bin Yahya from Bakr bin Abdullah from Mohammed bin Ubaidullah from Ali bin al-Hakam from Husham from Abu Hamza ath-Themali that Abu Ja’far Mohammed bin Ali relates on the authority of his fathers that the Prophet (s) said to Ali: For any believer who has the love for you fixed in his heart, if one of his feet slips on the Path, the other will be firm so that Allah will take him to Paradise for his love to you."
Faḍaʾil al-Shīʿa,Virtues of the Shīʿa,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Badr Shahin,"Faḍaʾil al-Shīʿa (lit. The Virtues of the Shīʿa) is a short compilation penned by the distinguished Shi'a scholar al-Shaykh al-Saduq. The book presents a collection of 45 selected hadiths from the Imams, articulating the standing of the Shīʿa community and affirming their position as the only followers who faithfully adhere to the Prophet's path of truth. These chosen sayings underscore the unique role of the Shīʿa in perpetuating the Prophet's teachings and serve as a guide for moral conduct and understanding.",Section 1,Chapter 5 | Hadith,Ḥadīth #5,حدّثنا عليّ بن محمّد بن الحسن القزويني أبو الحسن المعروف بابن مقبرة عن محمد بن عبد الله بن عامر عن عصام بن يوسف .. ..عن محمد بن أيّوب الكلابي، عن عمرو بن سليمان، عن عبد الله بن عمران، عن عليّ بن زيد، عن سعيد بن المسيّب، عن زيد بن ثابت، قال: قال رسول الله صلّى الله عليه وآله : مَن أحبّ عليّاً في حياته وبعد موته كتب الله عزّ وجلّ له الأمن والايمان ما طلعت شمس أو غربت، ومَن أبغضه في حياته وبعد موته، مات ميتة جاهليّة وحوسب بما عمل.,"Ali bin Mohammed bin al-Hasan al-Qizwini (Abu al-Hasan Ibn Maqbara) narrated to us from Mohammed bin Abdullah bin Aamir from Essam bin Yousuf… …from Mohammed bin Ayyoub al-Kelabi from Amr bin Sulaiman from Abdullah bin Imran from Ali bin Zaid from Saeed bin al-Musayyab from Zaid bin Thabit that the Prophet (s) said: For anyone who loves Ali in his lifetime and after his death, Allah will grant him security and faith as long as the sun rises and sets. Anyone who hates Ali in his lifetime and after his death will die as if he has never been Muslim and will be called to account for his deeds."
Faḍaʾil al-Shīʿa,Virtues of the Shīʿa,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Badr Shahin,"Faḍaʾil al-Shīʿa (lit. The Virtues of the Shīʿa) is a short compilation penned by the distinguished Shi'a scholar al-Shaykh al-Saduq. The book presents a collection of 45 selected hadiths from the Imams, articulating the standing of the Shīʿa community and affirming their position as the only followers who faithfully adhere to the Prophet's path of truth. These chosen sayings underscore the unique role of the Shīʿa in perpetuating the Prophet's teachings and serve as a guide for moral conduct and understanding.",Section 1,Chapter 6 | Hadith,Ḥadīth #6,حدّثنا محمد بن أحمد بن عليّ الأسدي المعروف بابن جرادة البردعي قال حدّثتنا رقيّة بنت إسحاق بن موسى بن جعفر بن محمد بن عليّ بن الحسين بن عليّ بن أبي طالب عليهم السلام قالت حدّثني أبي اسحاق قال حدّثني أبي موسى عن أبيه جعفر عن أبيه محمد عن أبيه عليّ عن أبيه الحسين عن أبيه أمير المؤمنين عليّ بن أبي طالب عليه السلام قال: قال رسول الله صلّى الله عليه وآله: لا تزول قدما عبد يوم القيامة حتى يسأل عن أربعة أشياء: عن شبابه فيما أبلاه، وعن عمره فيما أفناه، وعن ماله من أين اكتسبه وفيما أنفقه، وعن حبّنا أهل البيت.,"Mohammed bin Ahmed bin Ali al-Asadi (Ibn Jurada al-Barda’i) narrated to us from Ruqayya bint Ishaq bin Musa bin Ja’far bin Mohammed bin Ali bin al-Hussein bin Ali bin Abi Talib related on the authority of her fathers that the Prophet said: On the Day of Resurrection, a servant’s feet will not move before he is asked about four matters: He will be asked how he had spent the age of his youth, how he had finished his age, what earnings he had got and where from he had got them and how he had spent them, and he will be also asked about his affection to us; the Prophet’s family."
Faḍaʾil al-Shīʿa,Virtues of the Shīʿa,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Badr Shahin,"Faḍaʾil al-Shīʿa (lit. The Virtues of the Shīʿa) is a short compilation penned by the distinguished Shi'a scholar al-Shaykh al-Saduq. The book presents a collection of 45 selected hadiths from the Imams, articulating the standing of the Shīʿa community and affirming their position as the only followers who faithfully adhere to the Prophet's path of truth. These chosen sayings underscore the unique role of the Shīʿa in perpetuating the Prophet's teachings and serve as a guide for moral conduct and understanding.",Section 1,Chapter 7 | Hadith,Ḥadīth #7,حدّثنا عبد الله بن محمد بن عبد الوهاب عن أبي الحسن محمد بن أحمد القواريري، عن أبي الحسين محمد بن عمّار، عن إسماعيل بن توبة، عن زياد بن عبد الله البكائي، عن سليمان بن الأعمش، عن أبي سعيد الخدري، قال: كنّا جلوساً مع رسول الله صلّى الله عليه وآله إذ أقبل إليه رجل فقال: يا رسول الله، أخبرني عن قول الله عزّ وجلّ لابليس: (أَسْتَكْبَرْتَ أمْ كُنْتَ مِنَ الْعَالِينَ) فمَن هم يا رسول الله الّذين هم أعلى من الملائكة؟ قال رسول الله صلّى الله عليه وآله: أنا وعليّ وفاطمة والحسن والحسين، كنّا في سرادق العرش نسبّح الله وتسبّح الملائكة بتسبيحنا قبل أن يخلق الله عزّ وجلّ آدم بألفي عام. فلمّا خلق الله عزّ وجلّ آدم، أمر الملائكة أن يسجدوا له، ولم يأمرنا بالسجود فسجدت الملائكة كلّهم إلاّ إبليس فانّه أبى ولم يسجد. فقال الله تبارك وتعالى: (أَسْتَكْبَرْتَ أمْ كُنْتَ مِنَ الْعَالِينَ) عنى من هؤلاء الخمسة المكتوبة أسماؤهم في سرادق العرش. فنحن باب الله الّذي يؤتى منه بنا يهتدي المهتدون فمن أحبّنا أحبّه الله وأسكنه جنّته ومن أبغضنا أبغضه الله وأسكنه نار ولا يحبّنا إلاّ من طاب مولده.,"Abdullah bin Mohammed bin Abdul-Wahab narrated to us from Abu alHasan Mohammed bin Ahmed al-Qawariri from Abu al-Hussein Mohammed bin Ammar from Ismaeel bin Tawba from Ziyad bin Abdullah al-Bukaai from Sulaiman bin al-Amish that Abu Saeed al-Khidri related: We were sitting with the Prophet (s) when a man came and asked him: ""O Allah’s Messenger, Allah says: ’Eblis, what prevented you from prostrating before what I have created with My own hands? Was it because of your pride or are you one of those who are exalted?’ (38:75) Who are those exalted ones whose ranks are higher than the angels’?"" The Prophet (s) answered: Those are Ali, Fatima, al-Hasan, al-Hussein, and I. We were in the pavilion of the Divine Throne praising Allah. The angels were imitating us. That was two thousand years before the creation of Adam. When He created Adam, Allah, Powerful and Exalted is He, ordered the angels to prostrate themselves before him. Allah did not include us in this order. All of the angels therefore prostrated except Eblis who rejected to prostrate. Referring to the five individuals whose names are recorded on the pavilion of the Divine Throne, Allah said to Eblis, ’Was it because of your pride or are you one of those who are exalted?’ Thus, we are the doors that take to Allah. We guide the followers of the right path. For him whoever loves us, Allah will love him and house him in His Paradise. For him who hates us, Allah will hate him and house him in Hell. Only do the legitimate sons love us."
Faḍaʾil al-Shīʿa,Virtues of the Shīʿa,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Badr Shahin,"Faḍaʾil al-Shīʿa (lit. The Virtues of the Shīʿa) is a short compilation penned by the distinguished Shi'a scholar al-Shaykh al-Saduq. The book presents a collection of 45 selected hadiths from the Imams, articulating the standing of the Shīʿa community and affirming their position as the only followers who faithfully adhere to the Prophet's path of truth. These chosen sayings underscore the unique role of the Shīʿa in perpetuating the Prophet's teachings and serve as a guide for moral conduct and understanding.",Section 1,Chapter 8 | Hadith,Ḥadīth #8,حدّثنا عبد الله بن محمد بن عبد الوهّاب بإسناد يرفعه قال حدّثنا محمد بن حمران عن أبيه عن أبي عبد الله جعفر بن محمّد الصادق عليه السلام قال: خرجت أنا وأبي ذات يوم إلى المسجد فإذا هو باُناس من أصحابه بين القبر والمنبر قال: فدنا منهم وسلّم عليهم وقال: إنّي والله لاحبّ ريحكم وأرواحكم فأعينونا على ذلك بورع واجتهاد واعلموا أنّ ولايتنا لا تنال إلاّ بالورع والاجتهاد. من ائتمّ منكم بقوم فليعمل بعملهم، أنتم شيعة الله، وأنتم أنصار الله، وأنتم السابقون الأوّلون، والسابقون الآخرون، والسابقون في الدنيا إلى محبّتنا، والسابقون في الآخرة إلى الجنّة. ضمنت لكم الجنّة بضمان الله عزّ وجلّ، وضمان النبيّ صلّى الله عليه وآله، وأنتم الطيّبون ونساؤكم الطيبّات، كلّ مؤمنة حوراء، وكلّ مؤمن صدّيق. كم من مرّة قال أمير المؤمنين عليه السلام لقنبر: أبشروا، وبشّروا لقد مات رسول الله صلّى الله عليه وآله وهو ساخط على اُمّته إلاّ الشيعة. ألا وإنّ لكلّ شيء عروة، وعروة الدين الشيعة. ألا وإن لكلّ شيء شرفاً، وشرف الدين الشيعة. ألا وإنّ لكلّ شيء سيّداً، وسيّد المجالس مجالس الشيعة. ألا وإنّ لكلّ شيء إماماً، وإمام الأرض أرض تسكنها الشيعة. ألا وإنّ لكلّ شيء شهوة، وإنّ شهوة الدنيا سكنى شيعتنا فيها. والله لولا ما في الأرض منكم ما استكمل أهل خلافكم طيّبات مالهم وما لهم في الآخرة من نصيب، كلّ ناصب وإن تعبّد واجتهد منسوب إلى هذه الآية: (عَامِلَةٌ نَاصِبَةٌ * تَصْلَى نَاراً حَامِيَةً). ومن دعا لكم مخالفاً فاجابة دعائه لكم. ومن طلب منكم إلى الله تبارك وتعالى اسمه حاجة، فله مائة ومن سأل منكم مسألة فله مائة. ومن دعا دعوة فله مائة، ومن عمل حسنة فلا يحصى تضاعفاً، ومن أساء سيئة فمحمد رسول الله صلّى الله عليه وآله حجّته على تبعتها. والله إنّ صائمكم ليرتع في رياض الجنّة تدعو له الملائكة بالفوز حتى يفطر، وإنّ حاجّكم ومعتمركم لخاصّة الله عزّ وجلّ، وإنّكم جميعاً لأهل دعوة الله وأهل ولايته لا خوف عليكم ولا حزن، كلّكم في الجنّة فتنافسوا في الصالحات. والله ما أحد أقرب من عرش الله عزّ وجلّ بعدنا يوم القيامة من شيعتنا، ما أحسن صنع الله إليهم. لولا أن تفشلوا ويشمت بكم عدوّكم، ويعظّم الناس ذلك لسلّمت عليكم الملائكة قبلاً. قال أمير المؤمنين عليه السلام: يخرج أهل ولايتنا من قبورهم يوم القيامة مشرقة وجوههم قرّت أعينهم قد اُعطوا الأمان. يخاف الناس وهم لا يخافون ويحزن الناس وهم لا يحزنون. قال: وقد حدّثني محمد بن الحسن بن الوليد رحمه الله بهذا الحديث عن الحسين بن الحسن بن أبان، عن الحسين بن سعيد، عن محمد بن أبي عمير، عن علي بن أبي حمزة عن أبي بصير، عن أبي عبد الله عليه السلام (مثله) إلاّ أنّ حديثه لم يكن بهذا الطول و في هذا زيادة ليست في ذلك، والمعاني متقاربة.,"Abdullah bin Mohammed bin Abdul-Wahab narrated to us from… Mohammed bin Hamran from his father that Abu Abdullah Ja’far bin Mohammed as-Sadiq related: One day, my father and I went out to the mosque. We met some people who were taking the place between the tomb and the mimbar. My father approached and greeted them. He then said: I, by Allah, love you as well as your smells and souls. Hence, help us keep on so by means of your piety and diligence. You should know that the loyalty to us cannot be obtained except by means of piety and diligence. He who follows someone should imitate his deeds. You are the Shia of Allah, you are the supporters of Allah, and you are the foremost forerunners, the last forerunners, the foremost to the love for us in this world, and the foremost to win Paradise on the Last Day. I have guaranteed Paradise for you, for the guarantee that is granted by Allah, Powerful and Majestic is He, and the Prophet (s). You are the highborn and your women are the highborn. Each believing female will be woman of Paradise, and each believing male will be veracious. More than once, Amir ul-Mu’minin said to Qanbar, ’Be happy and announce this good news. When the Prophet (s) died, he was discontent with all of the individuals of his umma except the Shia. Everything has a handle. The handle of the religion is the Shia. Everything has its honor. The honor of the religion is the Shia. Everything has a master. The master of the sessions is the sessions of the Shia. Everything has a leader. The leader of this earth is the land on which the Shia live. Everything has desire. The desire of this world is our Shia’ living in it. By Allah I swear, had it not been for your existence on this earth, your dissidents would not have enjoyed the pleasures of their fortunes. Nevertheless, they will not have anything in the world to come. Any Nasibi, no matter how diligently he worships and works, is included in this Verse: ""On that day, the faces of some people will be humbly cast down, troubled and tired as a result of their deeds in the past. They will suffer the heat of the blazing fire."" (26:2-3) The response of the prayer of your dissidents is yours. Anyone of you who asks one request from Allah will have one hundred requests settled. Anyone of you who asks one question will have one hundred questions answered. Anyone of you who supplicates to Allah once will have the reward of one hundred supplications. Anyone of you who acts one good deed will have it doubled many times. As for anyone of you who commits an evil act, Mohammed (s) will be his advocate. By Allah I swear, the fasting ones among you will luxuriate in the gardens of Paradise and the angles keep on praying for them to win (Paradise) until they break their fasting. You all are surely the people of the advocacy and the loyalty to Allah. You will not have fear and will not be grieved. You all will be in Paradise; hence, compete with each other in doing good acts. After us, no one will be nearer to the Divine Throne of Allah than you will on the Day of Resurrection. Allah’s reward to you will be excellently great. Were it not for that you might fail, suffer your enemies’ gloating over you, and people might not accept it for you, the angels would greet you in groups. Amir ul-Mu’minin said: On the Day of Resurrection, the people of our divine leadership will leave their graves with bight faces and delighted eyes. They will be granted security. While all people will be fearful, they -the Shia- will not be fearful. While all people will be grieved, they will not be grieved. O Mohammed bin al-Hasan bin al-Waleed (r) reported to me this narration after he had related it to al-Hussein bin al-Hasan bin Eban, al-Hussein bin Saeed, Mohammed bin Abi Umair, Ali bin Abi Hamza, and Abu Bassir respectively. Although the contents are nearly the same, this narration includes some paragraphs, which were not in the other one."
Faḍaʾil al-Shīʿa,Virtues of the Shīʿa,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Badr Shahin,"Faḍaʾil al-Shīʿa (lit. The Virtues of the Shīʿa) is a short compilation penned by the distinguished Shi'a scholar al-Shaykh al-Saduq. The book presents a collection of 45 selected hadiths from the Imams, articulating the standing of the Shīʿa community and affirming their position as the only followers who faithfully adhere to the Prophet's path of truth. These chosen sayings underscore the unique role of the Shīʿa in perpetuating the Prophet's teachings and serve as a guide for moral conduct and understanding.",Section 1,Chapter 9 | Hadith,Ḥadīth #9,عن أبي ذر رضي الله عنه، قال: رأيت رسول الله صلّى الله عليه وآله وقد ضرب كتف عليّ بن أبي طالب عليه السلام بيده وقال: يا عليّ، من أحبّنا فهو العربيّ، ومن أبغضنا فهو العِلْج، فشيعتنا أهل البيوتات والمعادن والشرف، ومن كان مولده صحيحاً. وما على ملّة إبراهيم عليه السلام إلاّ نحن وشيعتنا وسائر الناس منها براء، إن الله وملائكته يهدمون سيّئات شيعتنا كما يهدم القوم البنيان.,"Abu Tharr (d) related: I saw the Prophet (s) strike on the shoulder of Ali bin Abi Talib and say: O Ali, he who loves us is the true Arab and he who hates us is the infidel. Our Shia are the masters, the highborn, the honorable, and the legitimate. Only are our Shia and we following the religion of Abraham . The remaining people are all out of it -i.e. the religion of Abraham-. Allah and His angels are surely destroying the evil deeds of our Shia in the same way as an axe destroys the building."
Faḍaʾil al-Shīʿa,Virtues of the Shīʿa,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Badr Shahin,"Faḍaʾil al-Shīʿa (lit. The Virtues of the Shīʿa) is a short compilation penned by the distinguished Shi'a scholar al-Shaykh al-Saduq. The book presents a collection of 45 selected hadiths from the Imams, articulating the standing of the Shīʿa community and affirming their position as the only followers who faithfully adhere to the Prophet's path of truth. These chosen sayings underscore the unique role of the Shīʿa in perpetuating the Prophet's teachings and serve as a guide for moral conduct and understanding.",Section 1,Chapter 10 | Hadith,Ḥadīth #10,حدّثنا عبد الله بن محمّد بن عبد الوهاب، قال: حدّثنا حمّاد بن يزيد، عن أيّوب عن عطاء، عن ابن عبّاس، قال: قال رسول الله صلّى الله عليه وآله: حبّ عليّ بن أبي طالب يأكل السيّئات كما تأكل النار الحطب.,Abdullah bin Mohammed bin Abdul-Wahab narrated to us from Hemmad bin Yazid from Ayyoub from Attaa from Ibn Abbas that the Prophet (s) said: The love for Ali bin Abi Talib consumes the evil deeds in the same way as fire consumes wood.
