title,title_en,volume,author,translator,description,book,chapter,hadees_number,hadees_arabic,hadees_english
Kitāb al-Muʾmin,The Book of the Believer,,Ḥusayn b. Saʿīd al-Ahwāzī,Muhajir b. Ali,"Kitab al-Muʾmin authored by the distinguished 3rd century Shīʿī scholar and narrator, al-Ḥusayn b. Saʿīd al-Ahwāzī, is an influential text within Shīʿī literature. Comprising 201 traditions, this book offers detailed insights into the nature of Belief (Īmān) and the Believers (Muʾminūn), drawing upon the teachings and traditions of the Ahl al-Bayt (as). The most significant feature of this work is its earliness, considering the fact that al-Ḥusayn b. Saʿīd was from amongst the companions of the Imams al-Riḍā, al-Jawād and al-Hādī (as). The central themes the book explores include the understanding of the afflictions a believer endures, the unique honours that Allah bestows upon the believers, and the special bond that exists among the faithful. Furthermore, it discusses the rights that believers hold over each other and the spiritual rewards that accompany acts of kindness towards fellow believers. It also emphasises the importance of social interaction among believers, such as paying visits during illness or in a social context, and the virtues of helping a believer in need, be it by providing food, clothing, or assistance with debts. In summary, Kitab al-Muʾmin is a vital resource for understanding the principles of Iman, the characteristics of a believer (Muʾmin), and the intricacies of interactions within the Muslim community based on the traditions of the Ahl al-Bayt (as).",Section 1,Chapter 1 | The Severity of a Believer’s Afflictions,Ḥadīth #1,1 - عن زرارة قال: سمعت أبا جعفر عليه السلام يقول: في قضاء الله عز وجل كل خير للمؤمن,"1. It has been narrated that Zurarah said “I heard Abu Jafar say “In the decree of Allah ﷻ , there is nothing but good for a believer”"
Kitāb al-Muʾmin,The Book of the Believer,,Ḥusayn b. Saʿīd al-Ahwāzī,Muhajir b. Ali,"Kitab al-Muʾmin authored by the distinguished 3rd century Shīʿī scholar and narrator, al-Ḥusayn b. Saʿīd al-Ahwāzī, is an influential text within Shīʿī literature. Comprising 201 traditions, this book offers detailed insights into the nature of Belief (Īmān) and the Believers (Muʾminūn), drawing upon the teachings and traditions of the Ahl al-Bayt (as). The most significant feature of this work is its earliness, considering the fact that al-Ḥusayn b. Saʿīd was from amongst the companions of the Imams al-Riḍā, al-Jawād and al-Hādī (as). The central themes the book explores include the understanding of the afflictions a believer endures, the unique honours that Allah bestows upon the believers, and the special bond that exists among the faithful. Furthermore, it discusses the rights that believers hold over each other and the spiritual rewards that accompany acts of kindness towards fellow believers. It also emphasises the importance of social interaction among believers, such as paying visits during illness or in a social context, and the virtues of helping a believer in need, be it by providing food, clothing, or assistance with debts. In summary, Kitab al-Muʾmin is a vital resource for understanding the principles of Iman, the characteristics of a believer (Muʾmin), and the intricacies of interactions within the Muslim community based on the traditions of the Ahl al-Bayt (as).",Section 1,Chapter 1 | The Severity of a Believer’s Afflictions,Ḥadīth #2,"2 - وعن الصادق عليه السلام: إن المسلم لا يقضي الله عز وجل قضاء إلا كان خيرا له، وإن ملك مشارق الأرض ومغاربها كان خيرا له ثم تلا هذه الآية: "" فوقاه الله سيئات ما مكروا "" ، ثم قال: أما والله لقد تسلطوا عليه وقتلوه، فأما ما وقاه الله فوقاه الله أن يعتو في دينه","2. It has been narrated that Al-Sadiq said “For a muslim, whatever Allah ﷻ has decreed is good, and if he comes to possess all that is in the East and West,it will be good for him.” Then, he recited this verse “So, Allah protected him from the evil of their plot” [40:45]. Then he (al-Sadiq) said “By Allah, they overpowered him (i.e. the one intended in the previous Holy Verse) and killed him but what Allah protected him from was being overcome in his faith.”"
Kitāb al-Muʾmin,The Book of the Believer,,Ḥusayn b. Saʿīd al-Ahwāzī,Muhajir b. Ali,"Kitab al-Muʾmin authored by the distinguished 3rd century Shīʿī scholar and narrator, al-Ḥusayn b. Saʿīd al-Ahwāzī, is an influential text within Shīʿī literature. Comprising 201 traditions, this book offers detailed insights into the nature of Belief (Īmān) and the Believers (Muʾminūn), drawing upon the teachings and traditions of the Ahl al-Bayt (as). The most significant feature of this work is its earliness, considering the fact that al-Ḥusayn b. Saʿīd was from amongst the companions of the Imams al-Riḍā, al-Jawād and al-Hādī (as). The central themes the book explores include the understanding of the afflictions a believer endures, the unique honours that Allah bestows upon the believers, and the special bond that exists among the faithful. Furthermore, it discusses the rights that believers hold over each other and the spiritual rewards that accompany acts of kindness towards fellow believers. It also emphasises the importance of social interaction among believers, such as paying visits during illness or in a social context, and the virtues of helping a believer in need, be it by providing food, clothing, or assistance with debts. In summary, Kitab al-Muʾmin is a vital resource for understanding the principles of Iman, the characteristics of a believer (Muʾmin), and the intricacies of interactions within the Muslim community based on the traditions of the Ahl al-Bayt (as).",Section 1,Chapter 1 | The Severity of a Believer’s Afflictions,Ḥadīth #3,3 - وعن الصادق عليه السلام قال: لو يعلم المؤمن ما له في المصائب من الاجر، لتمنى أن يقرض بالمقاريض,"3. It has been narrated that al-Sadiq said “If a believer knew what reward lies for him in suffering tribulations, he would wish he could be cut into pieces with a scissor.”"
Kitāb al-Muʾmin,The Book of the Believer,,Ḥusayn b. Saʿīd al-Ahwāzī,Muhajir b. Ali,"Kitab al-Muʾmin authored by the distinguished 3rd century Shīʿī scholar and narrator, al-Ḥusayn b. Saʿīd al-Ahwāzī, is an influential text within Shīʿī literature. Comprising 201 traditions, this book offers detailed insights into the nature of Belief (Īmān) and the Believers (Muʾminūn), drawing upon the teachings and traditions of the Ahl al-Bayt (as). The most significant feature of this work is its earliness, considering the fact that al-Ḥusayn b. Saʿīd was from amongst the companions of the Imams al-Riḍā, al-Jawād and al-Hādī (as). The central themes the book explores include the understanding of the afflictions a believer endures, the unique honours that Allah bestows upon the believers, and the special bond that exists among the faithful. Furthermore, it discusses the rights that believers hold over each other and the spiritual rewards that accompany acts of kindness towards fellow believers. It also emphasises the importance of social interaction among believers, such as paying visits during illness or in a social context, and the virtues of helping a believer in need, be it by providing food, clothing, or assistance with debts. In summary, Kitab al-Muʾmin is a vital resource for understanding the principles of Iman, the characteristics of a believer (Muʾmin), and the intricacies of interactions within the Muslim community based on the traditions of the Ahl al-Bayt (as).",Section 1,Chapter 1 | The Severity of a Believer’s Afflictions,Ḥadīth #4,4 - عن سعد بن طريف قال: كنتُ عند أبي جعفر (ع) فجاء جميل الأزرق فدخل عليه، قال: فذكروا بلايا الشيعة وما يصيبهم، فقال أبو جعفر (ع): إنّ أُناسا أتوا عليَّ بنَ الحسين (ع) وعبد الله بن عباس فذكروا لهما نحواً مما ذكرتم، قال: فأتيا الحسين بن علي (ع) فذكرا له ذلك، فقال الحسين (ع) واللهِ، البَلاءُ والفَقرُ والقَتلُ أسْرَعُ إلى مَن أحَبَّنا مِن رَكضِ البَراذينِ وَمِن السَّيلِ إلى صَمر. قلت: وما الصّمر؟ قال مُنتَهاهُ، ولَولا أنْ تكونوا كَذلكَ لَرأينا أنَّكُم لَستُم منّا,"4. It has been narrated that Sa'd ibn Tarif said: I was with Abu Ja'far when Jamil al-Azraq came by to visit. They began talking about the afflictions of the Shi'ah and their tribulations; and Abu Ja'far said: A group of people came to 'Ali ibn Al-Husayn and 'Abd Allah ibn 'Abbas and asked them some questions similar to what you have put forth. So, they came to Al-Husayn ibn 'Ali and asked him about the matter. Al-Husayn said: 'By Allah (I swear), afflictions, poverty and being killed comes more swiftly to those who love us than racing horses or a torrential stream (rushing) to its end. And if that were not the case, we would deem you as not being one of us’."
Kitāb al-Muʾmin,The Book of the Believer,,Ḥusayn b. Saʿīd al-Ahwāzī,Muhajir b. Ali,"Kitab al-Muʾmin authored by the distinguished 3rd century Shīʿī scholar and narrator, al-Ḥusayn b. Saʿīd al-Ahwāzī, is an influential text within Shīʿī literature. Comprising 201 traditions, this book offers detailed insights into the nature of Belief (Īmān) and the Believers (Muʾminūn), drawing upon the teachings and traditions of the Ahl al-Bayt (as). The most significant feature of this work is its earliness, considering the fact that al-Ḥusayn b. Saʿīd was from amongst the companions of the Imams al-Riḍā, al-Jawād and al-Hādī (as). The central themes the book explores include the understanding of the afflictions a believer endures, the unique honours that Allah bestows upon the believers, and the special bond that exists among the faithful. Furthermore, it discusses the rights that believers hold over each other and the spiritual rewards that accompany acts of kindness towards fellow believers. It also emphasises the importance of social interaction among believers, such as paying visits during illness or in a social context, and the virtues of helping a believer in need, be it by providing food, clothing, or assistance with debts. In summary, Kitab al-Muʾmin is a vital resource for understanding the principles of Iman, the characteristics of a believer (Muʾmin), and the intricacies of interactions within the Muslim community based on the traditions of the Ahl al-Bayt (as).",Section 1,Chapter 1 | The Severity of a Believer’s Afflictions,Ḥadīth #5,5 - وعن الأصبغ بن نباتة قال: كنت عند أمير المؤمنين (ع) قاعداً، فجاء رجل فقال: يا أمير المؤمنين والله إني لأحبك [في الله]، فقال صدقتَ، إن طينتَنا مخزونة أخَذَ اللهُ ميثاقَها من صُلب آدمَ. فاتخذْ للفَقرِ جلباباً، فإني سمعتُ رسولَ الله (ص) يقول: واللهِ يا عليّ، إن الفقرً لأسرعُ إلى محبّيك من السّيل إلى بطن الوادي,"5. It has been narrated that al-Asbagh ibn Nubatah said: I was seated with the Commander of the Faithful when a man came to him and said: “By Allah, I love you (for the sake of Allah).” “You have spoken the truth”, 'Ali replied, “our essence is a treasure that Allah took a promise of from the progeny of Adam; therefore, be prepared to clothe yourself with poverty, for I heard the Messenger of Allah saying: 'Ali: by Allah (I swear), poverty comes faster to those who love you than a river flowing to the bottom of a valley.”"
Kitāb al-Muʾmin,The Book of the Believer,,Ḥusayn b. Saʿīd al-Ahwāzī,Muhajir b. Ali,"Kitab al-Muʾmin authored by the distinguished 3rd century Shīʿī scholar and narrator, al-Ḥusayn b. Saʿīd al-Ahwāzī, is an influential text within Shīʿī literature. Comprising 201 traditions, this book offers detailed insights into the nature of Belief (Īmān) and the Believers (Muʾminūn), drawing upon the teachings and traditions of the Ahl al-Bayt (as). The most significant feature of this work is its earliness, considering the fact that al-Ḥusayn b. Saʿīd was from amongst the companions of the Imams al-Riḍā, al-Jawād and al-Hādī (as). The central themes the book explores include the understanding of the afflictions a believer endures, the unique honours that Allah bestows upon the believers, and the special bond that exists among the faithful. Furthermore, it discusses the rights that believers hold over each other and the spiritual rewards that accompany acts of kindness towards fellow believers. It also emphasises the importance of social interaction among believers, such as paying visits during illness or in a social context, and the virtues of helping a believer in need, be it by providing food, clothing, or assistance with debts. In summary, Kitab al-Muʾmin is a vital resource for understanding the principles of Iman, the characteristics of a believer (Muʾmin), and the intricacies of interactions within the Muslim community based on the traditions of the Ahl al-Bayt (as).",Section 1,Chapter 1 | The Severity of a Believer’s Afflictions,Ḥadīth #6,6 - عن الفضيل بن يسار قال: سمعت أبا عبد الله (ع) يقول إنّ الشياطين أكثرُ على المؤمن من الزّنابير على اللّحم,6. It has been narrated that al-Fuďayl ibn Yasar said: I heard Abu 'Abd Allah (al-Sadiq) saying: “There are more devils on a believer (trying to misguide him) than flies on a piece of meat.”
Kitāb al-Muʾmin,The Book of the Believer,,Ḥusayn b. Saʿīd al-Ahwāzī,Muhajir b. Ali,"Kitab al-Muʾmin authored by the distinguished 3rd century Shīʿī scholar and narrator, al-Ḥusayn b. Saʿīd al-Ahwāzī, is an influential text within Shīʿī literature. Comprising 201 traditions, this book offers detailed insights into the nature of Belief (Īmān) and the Believers (Muʾminūn), drawing upon the teachings and traditions of the Ahl al-Bayt (as). The most significant feature of this work is its earliness, considering the fact that al-Ḥusayn b. Saʿīd was from amongst the companions of the Imams al-Riḍā, al-Jawād and al-Hādī (as). The central themes the book explores include the understanding of the afflictions a believer endures, the unique honours that Allah bestows upon the believers, and the special bond that exists among the faithful. Furthermore, it discusses the rights that believers hold over each other and the spiritual rewards that accompany acts of kindness towards fellow believers. It also emphasises the importance of social interaction among believers, such as paying visits during illness or in a social context, and the virtues of helping a believer in need, be it by providing food, clothing, or assistance with debts. In summary, Kitab al-Muʾmin is a vital resource for understanding the principles of Iman, the characteristics of a believer (Muʾmin), and the intricacies of interactions within the Muslim community based on the traditions of the Ahl al-Bayt (as).",Section 1,Chapter 1 | The Severity of a Believer’s Afflictions,Ḥadīth #7,7 - عن أحدهما (ع) قال: ما مِن عبدٍ مسلم ابتلاه الله (جلّ جلاله) بمكروهٍ وصَبر إلاّ كتبَ اللهُ له أجرَ ألفِ شهيدٍ,"7. It has been narrated that one of the two (al-Baqir or al-Sadiq) said: “Any Muslim servant, who is tried by Allah with a misfortune and bears patience, will receive the reward of one thousand martyrs.”"
Kitāb al-Muʾmin,The Book of the Believer,,Ḥusayn b. Saʿīd al-Ahwāzī,Muhajir b. Ali,"Kitab al-Muʾmin authored by the distinguished 3rd century Shīʿī scholar and narrator, al-Ḥusayn b. Saʿīd al-Ahwāzī, is an influential text within Shīʿī literature. Comprising 201 traditions, this book offers detailed insights into the nature of Belief (Īmān) and the Believers (Muʾminūn), drawing upon the teachings and traditions of the Ahl al-Bayt (as). The most significant feature of this work is its earliness, considering the fact that al-Ḥusayn b. Saʿīd was from amongst the companions of the Imams al-Riḍā, al-Jawād and al-Hādī (as). The central themes the book explores include the understanding of the afflictions a believer endures, the unique honours that Allah bestows upon the believers, and the special bond that exists among the faithful. Furthermore, it discusses the rights that believers hold over each other and the spiritual rewards that accompany acts of kindness towards fellow believers. It also emphasises the importance of social interaction among believers, such as paying visits during illness or in a social context, and the virtues of helping a believer in need, be it by providing food, clothing, or assistance with debts. In summary, Kitab al-Muʾmin is a vital resource for understanding the principles of Iman, the characteristics of a believer (Muʾmin), and the intricacies of interactions within the Muslim community based on the traditions of the Ahl al-Bayt (as).",Section 1,Chapter 1 | The Severity of a Believer’s Afflictions,Ḥadīth #8,8 - وعن أبي الحسن (ع) قال: ما أحدٌ من شيعتِنا يبتَليه الله (جلّ جلاله) بِبَلِيّةٍ فيصبر عليها إلاّ كان له أجرُ ألفِ شهيد,8. It has been narrated that Abu al-Hasan said: “Anyone of our Shi'ah who is afflicted by Allah with a trial and bears it with patience shall have the reward of one thousand martyrs.”
Kitāb al-Muʾmin,The Book of the Believer,,Ḥusayn b. Saʿīd al-Ahwāzī,Muhajir b. Ali,"Kitab al-Muʾmin authored by the distinguished 3rd century Shīʿī scholar and narrator, al-Ḥusayn b. Saʿīd al-Ahwāzī, is an influential text within Shīʿī literature. Comprising 201 traditions, this book offers detailed insights into the nature of Belief (Īmān) and the Believers (Muʾminūn), drawing upon the teachings and traditions of the Ahl al-Bayt (as). The most significant feature of this work is its earliness, considering the fact that al-Ḥusayn b. Saʿīd was from amongst the companions of the Imams al-Riḍā, al-Jawād and al-Hādī (as). The central themes the book explores include the understanding of the afflictions a believer endures, the unique honours that Allah bestows upon the believers, and the special bond that exists among the faithful. Furthermore, it discusses the rights that believers hold over each other and the spiritual rewards that accompany acts of kindness towards fellow believers. It also emphasises the importance of social interaction among believers, such as paying visits during illness or in a social context, and the virtues of helping a believer in need, be it by providing food, clothing, or assistance with debts. In summary, Kitab al-Muʾmin is a vital resource for understanding the principles of Iman, the characteristics of a believer (Muʾmin), and the intricacies of interactions within the Muslim community based on the traditions of the Ahl al-Bayt (as).",Section 1,Chapter 1 | The Severity of a Believer’s Afflictions,Ḥadīth #9,9 - عن أبي عبد الله (ع) قال: فيما أوحى الله إلى موسى (ع) أن: يا موسى، ما خَلقتُ خلقاً أحبّ اليّ من عبديَ المؤمن، وإني انمّا أبتَليه لما هو خَير له وأُعطيه لما هو خير له وأزوي عنه لما هو خير له، وأنا أعلمُ بما يصلح عليه عبدي؛ فليصبر على بلائي وليرضَ بقضائي وليشكُر نعمائي، أكتُبْه في الصدّيقين عندي إذا عمل برضائي وأطاع أمري,"9. It has been narrated that Abu 'Abd Allah said: Out of what Allah revealed to Musa (Prophet Moses) is the following: O Musa! I have not created a creation more beloved to Me than My believing servant. For verily I try him with what is good for him, I bestow on him what is good for him and I remove from him what is good for him. For I know better what is more proper for My servant. Therefore, let him be patient over My trials, be pleased with My decrees and give thanks for My blessings. I shall record him amongst the truthful ones with Me when he acts according to My pleasure and obeys My command."
Kitāb al-Muʾmin,The Book of the Believer,,Ḥusayn b. Saʿīd al-Ahwāzī,Muhajir b. Ali,"Kitab al-Muʾmin authored by the distinguished 3rd century Shīʿī scholar and narrator, al-Ḥusayn b. Saʿīd al-Ahwāzī, is an influential text within Shīʿī literature. Comprising 201 traditions, this book offers detailed insights into the nature of Belief (Īmān) and the Believers (Muʾminūn), drawing upon the teachings and traditions of the Ahl al-Bayt (as). The most significant feature of this work is its earliness, considering the fact that al-Ḥusayn b. Saʿīd was from amongst the companions of the Imams al-Riḍā, al-Jawād and al-Hādī (as). The central themes the book explores include the understanding of the afflictions a believer endures, the unique honours that Allah bestows upon the believers, and the special bond that exists among the faithful. Furthermore, it discusses the rights that believers hold over each other and the spiritual rewards that accompany acts of kindness towards fellow believers. It also emphasises the importance of social interaction among believers, such as paying visits during illness or in a social context, and the virtues of helping a believer in need, be it by providing food, clothing, or assistance with debts. In summary, Kitab al-Muʾmin is a vital resource for understanding the principles of Iman, the characteristics of a believer (Muʾmin), and the intricacies of interactions within the Muslim community based on the traditions of the Ahl al-Bayt (as).",Section 1,Chapter 1 | The Severity of a Believer’s Afflictions,Ḥadīth #10,10 - وعن أبي عبد الله (ع) قال: كان لموسى بن عمران أخٌ في الله، وكان موسى يُكرمه ويحبه ويُعظمه، فأتاه رجلٌ فقال: أني أحِبّ أن تُكلم لي هذا الجبار، وكان الجبار ملكاً من ملوك بني إسرائيل، فقال: والله ما أعرِفُه ولا سألته حاجةً قط، قال: وما عليك من هذا! لعل الله (جلّ جلاله) يقضي حاجتي على يدك. فرَقَّ له وذهب معه من غير علم موسى، فأتاه ودخل عليه، فلما رآه الجبار أدناه وعظّمه، فسأله حاجةَ الرجل فقضاها له، فلم يلبث ذلك الجبار أن طُعن فمات، فحشد في جنازته أهل مملكته، وغُلّقت لموته أبواب الأسواق لحضور جنازته. وقضي من القضاء أن الشابّ المؤمِنَ أخا موسى مات يوم مات ذلك الجبار وكان أخو موسى إذا دخل منـزِله أغلق عليه بابه فلا يصلُ إليه أحد، وكان موسى إذا أراده فتح البابَ عنه ودخل عليه، وإنّ موسى نسيه ثلاثاً، فلما كان اليوم الرابع ذكره موسى، فقال: قد تركتُ أخي منذ ثلاثٍ فلم آتهِ. ففتح عنه الباب ودخل عليه، فإذا الرجل ميتٌ! وإذا دواب الأرض دبّت عليه فتناولت من محاسن وجهه، فلما رآه موسى عند ذلك، قال: يا ربّ! عدوّك حشرت له الناس، ووليّك أمتَّهُ فسلّطت عليه دوابَّ الأرض تناولَتْ من محاسن وجهه؟ فقال الله (جلّ جلاله): يا موسى، إن وليّي سأل هذا الجبارَ حاجة فقضاها له، فحشدتُ له أهلَ مملكته للصّلاة عليه لأكافئَه عن المؤمن بقضاء حاجته، ليخرُج من الدنيا وليس له عندي حسنة أُكافئه عليها، وإنّ هذا المؤمن سلَّطتُ عليه دواب الأرض لتتناول من محاسن وجهِه لسؤالهِ ذلك الجبّار، وكان لي غير رضىً ليخرُج من الدنيا وما له عندي ذنب.,"10. It has been narrated that Abu 'Abd Allah recounted: Prophet Musa , son of 'Imran, had a brother-in-faith whom he cared for, loved and respected. A man once came to this friend of Musa and asked him to intercede on his behalf with a tyrant who happened to be a king of the Israelites. 'By Allah, I do not know him and have never asked him for a favor,' friend of Musa replied. 'What have you to lose,' the man persisted, 'Perhaps; Allah will fulfill my need through you.' So, he went off with the man without Musa's knowledge and approached the tyrannical king. When the tyrant saw him, he drew him close and showed him utmost respect. The latter asked the king for the man's favor and it was granted. Shortly thereafter, the king died. The people of his kingdom gathered in large numbers for his funeral and the marketplaces were shut. It so happened that on the very same day, Musa's brother-in-faith passed away, too. He had a tendency to keep his house door shut and whenever Musa wanted to pay him a visit; he would simply let himself in. Now it came to pass that Musa forgot the man for three days. On the fourth day, he said to himself, 'I have neglected my brother for three days. I must visit him.' When he opened the door to let himself in, Musa found his friend dead and the creatures of the earth were feeding on his face. 'O Lord,' Musa called out, 'Your enemy died and You brought forth a multitude for his funeral, but when You caused Your friend to die, You let the creatures eat him up?' 'O Musa,' the Lord [M.G] replied, 'My friend begged this tyrant for a favor and he granted it; so, I gathered the people of his kingdom for his funeral (to honor him) as a reward for his having granted a believer's request and that he may go forth from the world whilst I owe him no reward. And as for this believer, I allowed the creatures of the earth to feed on him because of his having asked a tyrant for a favor; and it was not pleasing to Me that he should leave this world without any sin.'"
