title,title_en,volume,author,translator,description,book,chapter,hadees_number,hadees_arabic,hadees_english
Ṣifāt al-Shīʿa,Attributes of the Shīʿa,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Badr Shahin,"Ṣifāt al-Shīʿa by Shaykh al-Ṣadūq explores the ethical and behavioural attributes that Shīʿī individuals should embody through the lens of narrations attributed to the Ahl al-Bayt (as). This book comprises 71 Ḥadīths and covers a range of topics such as: Characteristics of the Shīʿa, Submission to the Imams' commands, Attributes of the Pious, Attributes of the Believer, Guidelines for Social Interaction, Strength in Religion, Allying with Others for the sake of God, Dissociation for the sake of God, Nobility of Character. These topics are not only emphasised within, but the manner in which they can be manifested are explained from time to time.",Section 1,Chapter 1 | Hadith,Ḥadīth #1,قَالَ حَدَّثَنِي مُحَمَّدُ بْنُ مُوسَى بْنِ اَلْمُتَوَكِّلِ رَحِمَهُ اَللَّهُ قَالَ حَدَّثَنَا مُحَمَّدُ بْنُ يَحْيَى اَلْعَطَّارُ اَلْكُوفِيُّ عَنْ أَبِيهِ عَنْ مُوسَى بْنِ عِمْرَانَ اَلنَّخَعِيِّ عَنْ عَمِّهِ اَلْحُسَيْنِ بْنِ زَيْدٍ اَلنَّوْفَلِيِّ عَنْ عَلِيِّ بْنِ سَالِمٍ عَنْ أَبِيهِ عَنْ أَبِي بَصِيرٍ قَالَ قَالَ اَلصَّادِقُ ع شِيعَتُنَا أَهْلُ اَلْوَرَعِ وَ اَلاِجْتِهَادِ وَ أَهْلُ اَلْوَفَاءِ وَ اَلْأَمَانَةِ وَ أَهْلُ اَلزُّهْدِ وَ اَلْعِبَادَةِ أَصْحَابُ إِحْدَى وَ خَمْسِينَ رَكْعَةً فِي اَلْيَوْمِ وَ اَللَّيْلَةِ اَلْقَائِمُونَ بِاللَّيْلِ اَلصَّائِمُونَ بِالنَّهَارِ يُزَكُّونَ أَمْوَالَهُمْ وَ يَحُجُّونَ اَلْبَيْتَ وَ يَجْتَنِبُونَ كُلَّ مُحَرَّمٍ.,"Mohammed bin Musa bin al-Mutawakkil, Allah have mercy upon him, narrated to me from Mohammed bin Yahya al-Attar al-Kufi from Musa bin Imran an-Nakh’i from his uncle al-Hussein bin Yazid an-Nawfali from Ali bin Salem from his father from Abu Bassir that Imam as-Sadiq said: Our Shia are the people of piety and diligence, loyalty and honesty, and asceticism and worship. They perform fifty-one rak’as in a single day and night. They pass their nights with worship and their days with fasting. They defray the zakat from their wealth, perform the hajj, and refrain from committing any forbidden thing."
Ṣifāt al-Shīʿa,Attributes of the Shīʿa,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Badr Shahin,"Ṣifāt al-Shīʿa by Shaykh al-Ṣadūq explores the ethical and behavioural attributes that Shīʿī individuals should embody through the lens of narrations attributed to the Ahl al-Bayt (as). This book comprises 71 Ḥadīths and covers a range of topics such as: Characteristics of the Shīʿa, Submission to the Imams' commands, Attributes of the Pious, Attributes of the Believer, Guidelines for Social Interaction, Strength in Religion, Allying with Others for the sake of God, Dissociation for the sake of God, Nobility of Character. These topics are not only emphasised within, but the manner in which they can be manifested are explained from time to time.",Section 1,Chapter 2 | Hadith,Ḥadīth #2,حَدَّثَنَا أَبِي رَضِيَ اَللَّهُ عَنْهُ قَالَ حَدَّثَنَا عَلِيُّ بْنُ إِبْرَاهِيمَ عَنْ أَبِيهِ عَنْ عَلِيِّ بْنِ مَعْبَدٍ عَنِ اَلْحُسَيْنِ بْنِ خَالِدٍ عَنْ أَبِي اَلْحَسَنِ اَلرِّضَا ع قَالَ : شِيعَتُنَا اَلْمُسَلِّمُونَ لِأَمْرِنَا اَلْآخِذُونَ بِقَوْلِنَا اَلْمُخَالِفُونَ لِأَعْدَائِنَا فَمَنْ لَمْ يَكُنْ كَذَلِكَ فَلَيْسَ مِنَّا.,"My father, Allah have mercy upon him, related to us from Ali bin Ibrahim from his father from Ali bin Ma'bad from al-Hussein bin Khalid that Abu al-Hasan ar-Rida said: Our (true) Shia are those who submit to our orders, carry out our directives, and dissent from our enemies. He who is not as such is not one of us."
Ṣifāt al-Shīʿa,Attributes of the Shīʿa,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Badr Shahin,"Ṣifāt al-Shīʿa by Shaykh al-Ṣadūq explores the ethical and behavioural attributes that Shīʿī individuals should embody through the lens of narrations attributed to the Ahl al-Bayt (as). This book comprises 71 Ḥadīths and covers a range of topics such as: Characteristics of the Shīʿa, Submission to the Imams' commands, Attributes of the Pious, Attributes of the Believer, Guidelines for Social Interaction, Strength in Religion, Allying with Others for the sake of God, Dissociation for the sake of God, Nobility of Character. These topics are not only emphasised within, but the manner in which they can be manifested are explained from time to time.",Section 1,Chapter 3 | Hadith,Ḥadīth #3,حَدَّثَنَا جَعْفَرُ بْنُ مُحَمَّدِ بْنِ مَسْرُورٍ رَحِمَهُ اَللَّهُ قَالَ حَدَّثَنَا اَلْحُسَيْنُ بْنُ مُحَمَّدِ بْنِ عَامِرٍ عَنْ عَمِّهِ عَبْدِ اَللَّهِ بْنِ عَامِرٍ عَنْ مُحَمَّدِ بْنِ أَبِي عُمَيْرٍ عَنْ أَبَانِ بْنِ عُثْمَانَ عَنِ اَلصَّادِقِ جَعْفَرِ بْنِ مُحَمَّدٍ ع أَنَّهُ قَالَ : لاَ دِينَ لِمَنْ لاَ تَقِيَّةَ لَهُ وَ لاَ إِيمَانَ لِمَنْ لاَ وَرَعَ لَهُ.,"Ja’far bin Mohammed bin Masrour narrated to us from al-Hussein bin Mohammed bin Aamir from his uncle Abdullah bin Aamir from Mohammed bin Abi Umair from Eban bin Othman that Ja’far bin Mohammed as-Sadiq said: The religion of those who deny taqiyah is null and the faith of those who lack piety is null, too."
Ṣifāt al-Shīʿa,Attributes of the Shīʿa,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Badr Shahin,"Ṣifāt al-Shīʿa by Shaykh al-Ṣadūq explores the ethical and behavioural attributes that Shīʿī individuals should embody through the lens of narrations attributed to the Ahl al-Bayt (as). This book comprises 71 Ḥadīths and covers a range of topics such as: Characteristics of the Shīʿa, Submission to the Imams' commands, Attributes of the Pious, Attributes of the Believer, Guidelines for Social Interaction, Strength in Religion, Allying with Others for the sake of God, Dissociation for the sake of God, Nobility of Character. These topics are not only emphasised within, but the manner in which they can be manifested are explained from time to time.",Section 1,Chapter 4 | Hadith,Ḥadīth #4,حَدَّثَنَا مُحَمَّدُ بْنُ عَلِيٍّ مَاجِيلَوَيْهِ رَحْمَةُ اَللَّهِ عَلَيْهِ قَالَ حَدَّثَنِي عَمِّي مُحَمَّدُ بْنُ أَبِي اَلْقَاسِمِ عَنْ مُحَمَّدِ بْنِ عَلِيٍّ اَلْكُوفِيِّ عَنْ مُحَمَّدِ بْنِ سِنَانٍ عَنِ اَلْمُفَضَّلِ بْنِ عُمَرَ قَالَ قَالَ اَلصَّادِقُ ع كَذَبَ مَنْ زَعَمَ أَنَّهُ مِنْ شِيعَتِنَا وَ هُوَ مُتَمَسِّكٌ بِعُرْوَةِ غَيْرِنَا.,"4. Mohammed bin Ali Majilwayh, May Allah have mercy upon him, narrated to us from his uncle Mohammed bin Abi al-Qasim from Mohammed bin Ali al-Kufi from Mohammed bin Sinan from al-Mufaddhal bin Umar that Imam as-Sadiq said: ""He who claims being one of our Shia while adhering to the rope of others has lied."""
Ṣifāt al-Shīʿa,Attributes of the Shīʿa,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Badr Shahin,"Ṣifāt al-Shīʿa by Shaykh al-Ṣadūq explores the ethical and behavioural attributes that Shīʿī individuals should embody through the lens of narrations attributed to the Ahl al-Bayt (as). This book comprises 71 Ḥadīths and covers a range of topics such as: Characteristics of the Shīʿa, Submission to the Imams' commands, Attributes of the Pious, Attributes of the Believer, Guidelines for Social Interaction, Strength in Religion, Allying with Others for the sake of God, Dissociation for the sake of God, Nobility of Character. These topics are not only emphasised within, but the manner in which they can be manifested are explained from time to time.",Section 1,Chapter 5 | Hadith,Ḥadīth #5,أَبِي رَحِمَهُ اَللَّهُ قَالَ حَدَّثَنِي عَبْدُ اَللَّهِ بْنُ جَعْفَرٍ عَنْ أَحْمَدَ بْنِ مُحَمَّدٍ عَنِ اِبْنِ أَبِي نَجْرَانَ قَالَ سَمِعْتُ أَبَا اَلْحَسَنِ ع يَقُولُ مَنْ عَادَى شِيعَتَنَا فَقَدْ عَادَانَا وَ مَنْ وَالاَهُمْ فَقَدْ وَالاَنَا لِأَنَّهُمْ مِنَّا خُلِقُوا مِنْ طِينَتِنَا مَنْ أَحَبَّهُمْ فَهُوَ مِنَّا وَ مَنْ‌ أَبْغَضَهُمْ فَلَيْسَ مِنَّا شِيعَتُنَا يَنْظُرُونَ بِنُورِ اَللَّهِ وَ يَتَقَلَّبُونَ فِي رَحْمَةِ اَللَّهِ وَ يَفُوزُونَ بِكَرَامَةِ اَللَّهِ مَا مِنْ أَحَدٍ مِنْ شِيعَتِنَا يَمْرَضُ إِلاَّ مَرِضْنَا لِمَرَضِهِ وَ لاَ اِغْتَمَّ إِلاَّ اِغْتَمَمْنَا لِغَمِّهِ وَ لاَ يَفْرَحُ إِلاَّ فَرِحْنَا لِفَرَحِهِ وَ لاَ يَغِيبُ عَنَّا أَحَدٌ مِنْ شِيعَتِنَا أَيْنَ كَانَ فِي شَرْقِ اَلْأَرْضِ أَوْ غَرْبِهَا وَ مَنْ تَرَكَ مِنْ شِيعَتِنَا دَيْناً فَهُوَ عَلَيْنَا وَ مَنْ تَرَكَ مِنْهُمْ مَالاً فَهُوَ لِوَرَثَتِهِ شِيعَتُنَا اَلَّذِينَ يُقِيمُونَ اَلصَّلاََةَ وَ يُؤْتُونَ اَلزَّكََاةَ وَ يَحُجُّونَ اَلْبَيْتَ اَلْحَرَامَ وَ يَصُومُونَ‌ شَهْرَ رَمَضَانَ وَ يُوَالُونَ أَهْلَ اَلْبَيْتِ وَ يَتَبَرَّءُونَ مِنْ أَعْدَائِهِمْ‌[مِنْ أَعْدَائِنَا] أُولَئِكَ أَهْلُ اَلْإِيمَانِ وَ اَلتُّقَى وَ أَهْلُ اَلْوَرَعِ وَ اَلتَّقْوَى وَ مَنْ رَدَّ عَلَيْهِمْ فَقَدْ رَدَّ عَلَى اَللَّهِ وَ مَنْ طَعَنَ عَلَيْهِمْ فَقَدْ طَعَنَ عَلَى اَللَّهِ لِأَنَّهُمْ عِبَادُ اَللَّهِ حَقّاً وَ أَوْلِيَاؤُهُ صِدْقاً وَ اَللَّهِ إِنَّ أَحَدَهُمْ لَيَشْفَعُ فِي مِثْلِ رَبِيعَةَ وَ مُضَرَ فَيُشَفِّعُهُ اَللَّهُ تَعَالَى فِيهِمْ لِكَرَامَتِهِ عَلَى اَللَّهِ عَزَّ وَ جَلَّ.,"My father, Allah may have mercy upon him, narrated to us from Abdullah bin Ja’far from Ahmed bin Mohammed from Ibn Abi Najran that he heard Abu al-Hasan (Imam ar-Ridha) saying: He who antagonizes our Shia is antagonizing us and whoever follows them is following us, because they are part of us. They were created from the same clay from which we were created. He who loves them is one of us, and whoever hates them is not with us. Our Shia see through the light of Allah, move about in the mercy of Allah, and will win the dignity of Allah. We feel the same pains that any of our Shia feels during ailment, we become grieved whenever any of our Shia becomes grieved, and we feel happy whenever any of our Shia feels happy. No one of our Shia can be out of our auspices, whether he was in the east or the west of the earth. The debt that is left by any of our Shia is in our responsibility while the estate is his heirs’. Our Shia are those who offer the prayers, defray the zakat, perform the hajj to the Holy House of Allah, fast during the month of Ramadan, declare their loyalty to the Prophet’s household, and declare their disavowal of the enemies of the Prophet’s household. Those are the people of faith, God-fearing, piety, and devoutness. He whoever rejects them is rejecting Allah, because they are the true servants and the genuine disciples of Allah. By Allah I swear, each individual of them will be granted (on the Day of Resurrection) the right to intercede for people as many as the individuals of the tribes of Rabeea and Madhar, out of Allah’s honor to them."
Ṣifāt al-Shīʿa,Attributes of the Shīʿa,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Badr Shahin,"Ṣifāt al-Shīʿa by Shaykh al-Ṣadūq explores the ethical and behavioural attributes that Shīʿī individuals should embody through the lens of narrations attributed to the Ahl al-Bayt (as). This book comprises 71 Ḥadīths and covers a range of topics such as: Characteristics of the Shīʿa, Submission to the Imams' commands, Attributes of the Pious, Attributes of the Believer, Guidelines for Social Interaction, Strength in Religion, Allying with Others for the sake of God, Dissociation for the sake of God, Nobility of Character. These topics are not only emphasised within, but the manner in which they can be manifested are explained from time to time.",Section 1,Chapter 6 | Hadith,Ḥadīth #6,حَدَّثَنَا أَبِي رَحِمَهُ اَللَّهُ قَالَ حَدَّثَنَا سَعْدُ بْنُ عَبْدِ اَللَّهِ عَنْ يَعْقُوبَ بْنِ يَزِيدَ عَنْ مُحَمَّدِ بْنِ أَبِي عُمَيْرٍ عَنْ مُحَمَّدِ بْنِ عِمْرَانَ عَنْ أَبِي عَبْدِ اَللَّهِ a.sُ قَالَ : مَنْ قَالَ لاَ إِلَهَ إِلاَّ اَللَّهُ مُخْلِصاً دَخَلَ اَلْجَنَّةَ وَ إِخْلاَصُهُ بِهَا أَنْ يَحْجُبَهُ [أَنْ يَحْجُزَهُ] لاَ إِلَهَ إِلاَّ اَللَّهُ عَمَّا حَرَّمَ اَللَّهُ تَعَالَى.,"My father, Allah may have mercy upon him, narrated to us from Sa’d bin Abdullah from Ya’qoub bin Yazid from Mohammed bin Abi Umair from Mohammed bin Hamran that Abu Abdullah said: He whoever says ‘La ilaha illa (A)llah’ –there is no god but Allah- sincerely will be in Paradise. Sincerity, here, means that this saying should prevent him from violating the things that Allah forbids."
Ṣifāt al-Shīʿa,Attributes of the Shīʿa,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Badr Shahin,"Ṣifāt al-Shīʿa by Shaykh al-Ṣadūq explores the ethical and behavioural attributes that Shīʿī individuals should embody through the lens of narrations attributed to the Ahl al-Bayt (as). This book comprises 71 Ḥadīths and covers a range of topics such as: Characteristics of the Shīʿa, Submission to the Imams' commands, Attributes of the Pious, Attributes of the Believer, Guidelines for Social Interaction, Strength in Religion, Allying with Others for the sake of God, Dissociation for the sake of God, Nobility of Character. These topics are not only emphasised within, but the manner in which they can be manifested are explained from time to time.",Section 1,Chapter 7 | Hadith,Ḥadīth #7,حَدَّثَنَا أَبِي رَحِمَهُ اَللَّهُ قَالَ حَدَّثَنَا سَعْدُ بْنُ عَبْدِ اَللَّهِ عَنْ أَحْمَدَ بْنِ مُحَمَّدٍ وَ اَلْحَسَنِ بْنِ عَلِيٍّ اَلْكُوفِيِّ وَ إِبْرَاهِيمَ بْنِ هَاشِمٍ كُلُّهُمْ عَنِ اَلْحُسَيْنِ بْنِ يُوسُفَ عَنْ سُلَيْمَانَ بْنِ عَمْرٍو عَنْ مُهَاجِرِ بْنِ اَلْحُسَيْنِ عَنْ زَيْدِ بْنِ أَرْقَمَ عَنِ اَلنَّبِيِّ ص قَالَ : مَنْ قَالَ‌لاَ إِلَهَ إِلاَّ اَللَّهُمُخْلِصاً دَخَلَ اَلْجَنَّةَ وَ إِخْلاَصُهُ بِهَا أَنْ يَحْجُزَهُ‌لاَ إِلَهَ إِلاَّ اَللَّهُعَمَّا حَرَّمَ اَللَّهُ.,"My father, Allah may have mercy upon him, narrated to us from Sa’d bin Abdullah from Ahmed bin Mohammed, al-Hasan bin Ali al-Kufi, and al-Hussein bin Saif from Sulaiman bin Amr from Muhajir Abu al-Hasan from Zaid bin Arqam that the Prophet (s) said: He who says ‘La ilaha illa (A)llah’ –there is no god but Allah- sincerely will be in Paradise. Sincerity, here, means that this saying should prevent him from violating the things that Allah forbids."
Ṣifāt al-Shīʿa,Attributes of the Shīʿa,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Badr Shahin,"Ṣifāt al-Shīʿa by Shaykh al-Ṣadūq explores the ethical and behavioural attributes that Shīʿī individuals should embody through the lens of narrations attributed to the Ahl al-Bayt (as). This book comprises 71 Ḥadīths and covers a range of topics such as: Characteristics of the Shīʿa, Submission to the Imams' commands, Attributes of the Pious, Attributes of the Believer, Guidelines for Social Interaction, Strength in Religion, Allying with Others for the sake of God, Dissociation for the sake of God, Nobility of Character. These topics are not only emphasised within, but the manner in which they can be manifested are explained from time to time.",Section 1,Chapter 8 | Hadith,Ḥadīth #8,حَدَّثَنَا مُحَمَّدُ بْنُ مُوسَى بْنِ اَلْمُتَوَكِّلِ رَحِمَهُ اَللَّهُ قَالَ حَدَّثَنَا مُحَمَّدُ بْنُ جَعْفَرٍ اَلْحِمْيَرِيُّ عَنْ أَحْمَدَ بْنِ مُحَمَّدِ بْنِ عَلِيٍّ عَنِ اَلْحَسَنِ بْنِ مَحْبُوبٍ عَنْ عَلِيِّ بْنِ رِئَابٍ عَنْ أَبِي عُبَيْدَةَ اَلْحَذَّاءِ قَالَ سَمِعْتُ أَبَا عَبْدِ اَللَّهِ ع يَقُولُ لَمَّا فَتَحَ رَسُولُ اَللَّهِ ص مَكَّةَ قَامَ عَلَى اَلصَّفَا فَقَالَ يَا بَنِي هَاشِمٍ يَا بَنِي عَبْدِ اَلْمُطَّلِبِ إِنِّي رَسُولُ اَللَّهِ إِلَيْكُمْ وَ إِنِّي شَفِيقٌ عَلَيْكُمْ لاَ تَقُولُوا إِنَّ مُحَمَّداً مِنَّا فَوَ اَللَّهِ مَا أَوْلِيَائِي مِنْكُمْ وَ لاَ مِنْ غَيْرِكُمْ‌ إِلاَّ اَلْمُتَّقُونَ أَلاَ فَلاَ أَعْرِفُكُمْ تَأْتُونِي يَوْمَ اَلْقِيَامَةِ تَحْمِلُونَ اَلدُّنْيَا عَلَى رِقَابِكُمْ وَ يَأْتِي اَلنَّاسُ يَحْمِلُونَ اَلْآخِرَةَ أَلاَ وَ إِنِّي قَدْ أَعْذَرْتُ فِيمَا بَيْنِي وَ بَيْنَكُمْ وَ فِيمَا بَيْنَ اَللَّهِ عَزَّ وَ جَلَّ وَ بَيْنَكُمْ وَ إِنَ‌ لِي عَمَلِي وَ لَكُمْ عَمَلُكُمْ .,"Mohammed bin Musa bin al-Mutawakkil, Allah may have mercy upon him, narrated to us from Abdullah bin Ja’far al-Himyari from Ahmed bin Mohammed bin Easa from al-Hasan bin Mahboub from Ali bin Riaab from Abu Ubaida al-Hetthaa that Abu Abdullah related that when the Prophet (s) conquered Mecca, he stood in Safa and said: O sons of Hashim and sons of Abdul-Muttalib, I am the messenger of Allah to all of you. I feel pity for you. Do not depend on the fact that Mohammed is from you. By Allah I swear, my followers, whether they are from your clan or any other clan, are only the God-fearing. I will not admit you on the Day of Resurrection if you come to me burdened with the worldly disadvantages while others come with the advantages of the world to come. I am excused regarding my mission to you and the commandments of Allah for you. I have my own deeds and you will have your own deeds."
Ṣifāt al-Shīʿa,Attributes of the Shīʿa,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Badr Shahin,"Ṣifāt al-Shīʿa by Shaykh al-Ṣadūq explores the ethical and behavioural attributes that Shīʿī individuals should embody through the lens of narrations attributed to the Ahl al-Bayt (as). This book comprises 71 Ḥadīths and covers a range of topics such as: Characteristics of the Shīʿa, Submission to the Imams' commands, Attributes of the Pious, Attributes of the Believer, Guidelines for Social Interaction, Strength in Religion, Allying with Others for the sake of God, Dissociation for the sake of God, Nobility of Character. These topics are not only emphasised within, but the manner in which they can be manifested are explained from time to time.",Section 1,Chapter 9 | Hadith,Ḥadīth #9,", حَدَّثَنَا أَحْمَدُ بْنُ مُحَمَّدِ بْنِ يَحْيَى اَلْعَطَّارُ رَحِمَهُ اَللَّهُ قَالَ حَدَّثَنَا سَعْدُ بْنُ عَبْدِ اَللَّهِ عَنْ إِبْرَاهِيمَ بْنِ هَاشِمٍ عَنِ اِبْنِ أَبِي نَجْرَانَ عَنْ عَاصِمِ بْنِ حُمَيْدٍ عَنْ مُحَمَّدِ بْنِ قَيْسٍ عَنْ أَبِي جَعْفَرٍ مُحَمَّدِ بْنِ عَلِيٍّ اَلْبَاقِرِ عَنْ أَبِيهِ عَنْ جَدِّهِ ع قَالَ قَالَ أَمِيرُ اَلْمُؤْمِنِينَ ع مُجَالَسَةُ اَلْأَشْرَارِ تُورِثُ سُوءَ اَلظَّنِّ بِالْأَخْيَارِ وَ مُجَالَسَةُ اَلْأَخْيَارِ تُلْحِقُ اَلْأَشْرَارَ بِالْأَخْيَارِ وَ مُجَالَسَةُ اَلْفُجَّارِ لِلْأَبْرَارِ تُلْحِقُ اَلْفُجَّارَ بِالْأَبْرَارِ فَمَنِ اِشْتَبَهَ عَلَيْكُمْ أَمْرُهُ وَ لَمْ تَعْرِفُوا دِينَهُ فَانْظُرُوا إِلَى خُلَطَائِهِ فَإِنْ كَانُوا أَهْلَ دِينِ اَللَّهِ فَهُوَ عَلَى دِينِ اَللَّهِ وَ إِنْ كَانُوا عَلَى غَيْرِ دِينِ اَللَّهِ فَلاَ حَظَّ لَهُ فِي دِينِ اَللَّهِ-إِنَّ رَسُولَ اَللَّهِ ص كَانَ يَقُولُ‌ مَنْ كَانَ يُؤْمِنُ بِاللَّهِ وَ اَلْيَوْمِ اَلْآخِرِ فَلاَ يُؤَاخِيَنَّ كَافِراً وَ لاَ يُخَالِطَنَّ فَاجِراً- وَ مَنْ آخَى كَافِراً أَوْ خَالَطَ فَاجِراً كَانَ كَافِراً فَاجِراً.","Ahmed Bin Mohammed bin Yahya al-Attar, Allah may have mercy upon him, narrated to us from Sa’d bin Abdullah from Ibrahim bin Hashim from Ibn Abi Nejran from Aassim bin Hamid from Mohammed bin Qays that Abu Ja’far Mohammed bin Ali al-Baqir related on the authority of his fathers that Amir ul-Mu’minin said: To sit with the evils causes mistrust in the good. To sit with the good attaches the evils to the good. The sinful ones’ sitting with the good ones attaches the sinful ones to the good ones. If you cannot discern the belief of somebody, you should investigate his associates. If they are following the right creed, he will inevitably be on the right creed. If they are not, he then has no share in the religion of Allah. The Prophet ﷺ used to say: He who believes in Allah and the Final Day should not fraternize with any disbeliever or associate with any sinful. He whoever fraternizes with a disbeliever or associates with a sinful one is certainly regarded as disbeliever and sinful."
Ṣifāt al-Shīʿa,Attributes of the Shīʿa,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Badr Shahin,"Ṣifāt al-Shīʿa by Shaykh al-Ṣadūq explores the ethical and behavioural attributes that Shīʿī individuals should embody through the lens of narrations attributed to the Ahl al-Bayt (as). This book comprises 71 Ḥadīths and covers a range of topics such as: Characteristics of the Shīʿa, Submission to the Imams' commands, Attributes of the Pious, Attributes of the Believer, Guidelines for Social Interaction, Strength in Religion, Allying with Others for the sake of God, Dissociation for the sake of God, Nobility of Character. These topics are not only emphasised within, but the manner in which they can be manifested are explained from time to time.",Section 1,Chapter 10 | Hadith,Ḥadīth #10,حَدَّثَنَا مُحَمَّدُ بْنُ اَلْحَسَنِ بْنِ اَلْوَلِيدِ عَنْ مُحَمَّدِ بْنِ اَلْحَسَنِ اَلصَّفَّارِ عَنْ مُحَمَّدِ بْنِ عِيسَى بْنِ عُبَيْدٍ عَنِ اِبْنِ فَضَّالٍ قَالَ سَمِعْتُ اَلرِّضَا ع يَقُولُ مَنْ وَاصَلَ لَنَا قَاطِعاً أَوْ قَطَعَ لَنَا وَاصِلاً أَوْ مَدَحَ لَنَا عَائِباً أَوْ أَكْرَمَ لَنَا مُخَالِفاً فَلَيْسَ مِنَّا وَ لَسْنَا مِنْهُ.,"Mohammed bin al-Hasan bin al-Waleed related to us from Mohammed bin al-Hasan as-Saffar from Mohammed bin Easa bin Ubaid from Ibn Faddhal that Imam ar-Ridha said: As for anyone who builds relations with somebody who disregards us, disregards somebody who builds good relations with us, praises somebody who reviles at us, or honors somebody who dissents from us, he is surely not one us and we are surely not from him."
