title,title_en,volume,author,translator,description,book,chapter,hadees_number,hadees_arabic,hadees_english
Thawāb al-Aʿmāl wa ʿiqāb al-Aʿmāl,The Rewards & Punishments of Deeds,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Sayed Athar Husain Rizvi & Sayed Maqsood Athar,"Thawāb al-Aʿmāl wa ʿIqāb al-Aʿmāl is a remarkable collection of Ḥadīths collected by al-Shaykh al-Ṣadūq, a preeminent Shīʿa scholar of the 4th/10th century. Thawāb al-Aʿmāl wa ʿIqāb al-Aʿmāl delineates virtuous and sinful deeds, elucidating their spiritual consequences which lead to either reward or punishment. It has long served as an invaluable resource for both Shīʿa scholars and the general Shīʿa population and is celebrated as one of the most notable Shīʿa Ḥadīth collections. The author's motivation for writing this book was rooted in the prophetic hadith: ""The one who leads people to good deeds is as their doer."" Shaykh al-Ṣadūq emphasised that his primary goal in authoring the book was to seek the reward and satisfaction of God. The book is structured into two primary parts. The first part, ""Thawāb al-Aʿmāl,"" encompasses 788 Ḥadīths arranged under 389 titles, detailing the spiritual rewards for performing righteous actions. The second part, ""ʿIqāb al-Aʿmāl,"" includes 331 Ḥadīths distributed under 131 titles, focusing on the punitive consequences of committing sinful actions.",1 | Introduction,Chapter 1 | Introduction,Ḥadīth #1,بِسْمِ اللّهِ الرَّحْمنِ الرَّحِيمِ الحمد لله الواحد القديم الأزلي الذي لا يوصف بحد و لا نهاية و لا تَأْخُذُهُ سِنَةٌ وَ لا نَوْمٌ الذي لا ابتداء لكونه و لا غاية لبقائه الدال على وجوده بخلقه و بإحداث خلقه على أزليته و بأشباههم على أن لا شبه له المستشهد بآياته على قدرته الممتنعة من الصفات ذاته و من الأبصار رؤيته و من الأوهام الإحاطة به الذي لَيْسَ كَمِثْلِهِ شَيْءٌ وَ هُوَ السَّمِيعُ الْبَصِيرُ العليم و أشهد أن لا إله إلا الله وحده لا شريك له الذي وعد على طاعته ثوابه و على معصيته عقابه و أشهد أن محمدا عبده و رسوله أرسله بكتاب فصله و حكمة فأيده- لا يَأْتِيهِ الْباطِلُ مِنْ بَيْنِ يَدَيْهِ وَ لا مِنْ خَلْفِهِ تَنْزِيلٌ مِنْ حَكِيمٍ حَمِيدٍ و أشهد أن أمير المؤمنين علي بن أبي طالب و الأئمة الطاهرين من ولده حجج الله على خلقه بعد انقضاء وحيه و أشهد أن شيعتهم و مواليهم المتبعين لسنتهم و طريقتهم على صراط مستقيم و أنهم الْمُؤْمِنُونَ حَقًّا و أن الذين خالفوهم و حادوا عن طريقتهم و تركوا أمرهم و لم يستنوا بسنتهم- عَنِ الصِّراطِ لَناكِبُونَ و قد ظلوا السبيل أسأل الله أن يثبتنا على دينهم و موالاتهم و محبتهم و أن لا يزيغ قلوبنا بعد إذ هدانا و أن يهب لنا من لدنه رحمة إنه هو الوهاب قال محمد بن علي بن الحسين بن موسى بن بابويه القمي (رحمه الله) إن الذي دعاني إلى تأليف كتابي هذا- - مَا رُوِيَ عَنِ النَّبِيِّ (ص) أَنَّهُ قَالَ الدَّالُّ عَلَى الْخَيْرِ كَفَاعِلِهِ و سميته كتاب ثواب الأعمال و أرجو أن لا يحرمني الله ثواب ذلك فما أردت من تصنيفه إلا الرغبة في ثواب الله و ابتغاء مرضاته سبحانه و لا أردت بما تكلفته غير ذلك و لا حول و لا قوة إلا بالله و هو حسبنا وَ نِعْمَ الْوَكِيلُ,"1. In the name of God, most Gracious, most Compassionate Praise be to Allah the One, the Eternal and the Ever living. One Whose limits and ends could not be imagined. Neither slumber overtakes Him nor sleep, the One Whose existence has no beginning and no end. He proves His existence for His creatures and for the birth of His creatures upon His eternal nature and He is needful of comparison with something in order that the creatures may be guided to Him. His signs are witnesses for His power. His being cannot be described and visions cannot perceive Him and thoughts cannot reach upto His being. He is such that nothing is like him and He is the hearer and seer. And I testify that there is no God except Allah the One without any partner. He has promised His rewards for His obedience and His punishment for His disobedience. And I testify that Muhammad (s.a.w.s) is His servant and His Messenger. He sent him with the illuminated and clear book and assured that falsehood will not approach it from front or back. It is the revelation of the Wise and the Praised Lord. And I testify that Amirul Momineen Ali Ibne Abi Talib and the Purified Imams from his progeny are the Proofs of Allah upon His creatures after the conclusion of revelations. And I testify that their partisans (Shias) and their devotees who follow their practice and manners are on the straight path and they are the true believers and one who opposes them and leaves their path and abandons their commands and does not follow their practice has deviated from the straight path and gone astray from the way. I beseech Allah that He makes us firm on their religion, their devotion and their love and not make our hearts deviated after being guided. And that He bestows us with His bestowals, indeed He is the best of the Givers. Says Ash-Shaykh Abu Ja’far Muhammad bin Ali bin alHusain bin Musa bin Babawahy al-Qummi (r.a): That which led me to write this book was the saying of the Holy Prophet (s.a.w.s): “One who reminds (people) to do good deeds is like one who performs them himself.” I have titled this book as “Thawaabul A’amaal” and I implore the Almighty not to keep me deprived of its rewards. I have not desired anything by writing it except rewards of Almighty and to achieve His pleasure, glorified be He. And I do not intend by it anything else. And there is no power and strength except for Allah. And He is sufficient for us and the best of the trustees."
Thawāb al-Aʿmāl wa ʿiqāb al-Aʿmāl,The Rewards & Punishments of Deeds,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Sayed Athar Husain Rizvi & Sayed Maqsood Athar,"Thawāb al-Aʿmāl wa ʿIqāb al-Aʿmāl is a remarkable collection of Ḥadīths collected by al-Shaykh al-Ṣadūq, a preeminent Shīʿa scholar of the 4th/10th century. Thawāb al-Aʿmāl wa ʿIqāb al-Aʿmāl delineates virtuous and sinful deeds, elucidating their spiritual consequences which lead to either reward or punishment. It has long served as an invaluable resource for both Shīʿa scholars and the general Shīʿa population and is celebrated as one of the most notable Shīʿa Ḥadīth collections. The author's motivation for writing this book was rooted in the prophetic hadith: ""The one who leads people to good deeds is as their doer."" Shaykh al-Ṣadūq emphasised that his primary goal in authoring the book was to seek the reward and satisfaction of God. The book is structured into two primary parts. The first part, ""Thawāb al-Aʿmāl,"" encompasses 788 Ḥadīths arranged under 389 titles, detailing the spiritual rewards for performing righteous actions. The second part, ""ʿIqāb al-Aʿmāl,"" includes 331 Ḥadīths distributed under 131 titles, focusing on the punitive consequences of committing sinful actions.",2 | Rewards,Chapter 1 | Reward for saying: There is no God except Allah (Laa ilaaha illallaah),Ḥadīth #1,حَدَّثَنَا مُحَمَّدُ بْنُ عَلِیِّ بْنِ الْحُسَیْنِ بْنِ مُوسَی بْنِ بَابَوَیْهِ الْقُمِّیُّ الْفَقِیهُ مُصَنِّفُ هَذَا الْکِتَابِ رَضِیَ اللَّهُ عَنْهُ قَالَ حَدَّثَنِی أَبِی قَالَ حَدَّثَنِی سَعْدُ بْنُ عَبْدِ اللَّهِ قَالَ حَدَّثَنِی أَحْمَدُ بْنُ هِلَالٍ عَنْ أَحْمَدَ بْنِ صَالِحٍ عَنْ عِیسَی بْنِ عَبْدِ اللَّهِ مِنْ وُلْدِ عُمَرَ بْنِ عَلِیٍّ عَنْ أَبِیهِ عَنْ أَبِی سَعِیدٍ الْخُدْرِیِّ عَنِ النَّبِیِّ ﷺ قَالَ قَالَ اللَّهُ جَلَّ جَلَالُهُ لِمُوسَی بْنِ عِمْرَانَ یَا مُوسَی لَوْ أَنَّ السَّمَوَاتِ وَ عَامِرِیهِنَّ عِنْدِی وَ الْأَرَضِینَ السَّبْعَ فِی كِفَّةٍ وَ لَا إِلَهَ إِلَّا اللَّهُ فِی كِفَّةٍ مَالَتْ بِهِنَّ لَا إِلَهَ إِلَّا اللَّهُ.,"1. Muhammad bin Ali bin al-Husayn bin Musa bin Babawayh al-Qummi, the scholar and compiler of this book said: my father informed me, he said that Sa'd bin Abdullah said, Ahmad bin Hilal said, from Ahmad bin Salih, from 'Isa bin Abdullah from the descendance of Umar bin Ali, from his father, from Abi Sa'eed al-Khudri, from The Prophet ﷺ who said: ""Allah, the Mighty and Sublime told Musa Ibn Imran: O Musa, if the heavens and their inhabitants and the seven Earths were in one side of the scale, and 'Laa ilaaha illallah' (There is no god but Allah) was in the other, 'Laa ilaaha illallah' would outweigh them all."""
Thawāb al-Aʿmāl wa ʿiqāb al-Aʿmāl,The Rewards & Punishments of Deeds,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Sayed Athar Husain Rizvi & Sayed Maqsood Athar,"Thawāb al-Aʿmāl wa ʿIqāb al-Aʿmāl is a remarkable collection of Ḥadīths collected by al-Shaykh al-Ṣadūq, a preeminent Shīʿa scholar of the 4th/10th century. Thawāb al-Aʿmāl wa ʿIqāb al-Aʿmāl delineates virtuous and sinful deeds, elucidating their spiritual consequences which lead to either reward or punishment. It has long served as an invaluable resource for both Shīʿa scholars and the general Shīʿa population and is celebrated as one of the most notable Shīʿa Ḥadīth collections. The author's motivation for writing this book was rooted in the prophetic hadith: ""The one who leads people to good deeds is as their doer."" Shaykh al-Ṣadūq emphasised that his primary goal in authoring the book was to seek the reward and satisfaction of God. The book is structured into two primary parts. The first part, ""Thawāb al-Aʿmāl,"" encompasses 788 Ḥadīths arranged under 389 titles, detailing the spiritual rewards for performing righteous actions. The second part, ""ʿIqāb al-Aʿmāl,"" includes 331 Ḥadīths distributed under 131 titles, focusing on the punitive consequences of committing sinful actions.",2 | Rewards,Chapter 1 | Reward for saying: There is no God except Allah (Laa ilaaha illallaah),Ḥadīth #2,أَبِی ره قَالَ حَدَّثَنِی سَعْدُ بْنُ عَبْدِ اللَّهِ عَنْ أَحْمَدَ بْنِ مُحَمَّدِ بْنِ عِیسَی عَنِ الْحُسَیْنِ بْنِ سَیْفٍ عَنْ أَخِیهِ الْحَسَنِ عَنْ أَخِیهِ عَلِیٍّ عَنْ أَبِیهِ قَالَ حَدَّثَنِی الْحَجَّاجُ بْنُ أَرْطَاهَ قَالَ حَدَّثَنِی أَبُو الزُّبَیْرِ عَنْ جَابِرِ بْنِ عَبْدِ اللَّهِ عَنِ النَّبِیِّ ص قَالَ: الْمُوجِبَتَانِ قَالَ مَنْ مَاتَ یَشْهَدُ أَنْ لَا إِلَهَ إِلَّا اللَّهُ دَخَلَ الْجَنَّهَ وَ مَنْ مَاتَ یُشْرِکُ بِاللَّهِ دَخَلَ النَّارَ.,2. My father said: it was narrated to me by Sa’d b. Abdillah from Ahmad b. Muhammad b. Isa from al-Hussain b. Sayf from his brother al-Hassan from his brother Ali from his father who said it was narrated to me by al-Hajjaj b. Artah who said it was narrated to me by Abu al-Zubayr from Jabir b. Abdillah from The Prophet (s.a.w.s.) who said: Two things are causes of two others. One who dies testifying that there is no God except Allah shall enter Paradise and one who dies associating someone or something with Allah shall enter Fire (of Hell).
Thawāb al-Aʿmāl wa ʿiqāb al-Aʿmāl,The Rewards & Punishments of Deeds,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Sayed Athar Husain Rizvi & Sayed Maqsood Athar,"Thawāb al-Aʿmāl wa ʿIqāb al-Aʿmāl is a remarkable collection of Ḥadīths collected by al-Shaykh al-Ṣadūq, a preeminent Shīʿa scholar of the 4th/10th century. Thawāb al-Aʿmāl wa ʿIqāb al-Aʿmāl delineates virtuous and sinful deeds, elucidating their spiritual consequences which lead to either reward or punishment. It has long served as an invaluable resource for both Shīʿa scholars and the general Shīʿa population and is celebrated as one of the most notable Shīʿa Ḥadīth collections. The author's motivation for writing this book was rooted in the prophetic hadith: ""The one who leads people to good deeds is as their doer."" Shaykh al-Ṣadūq emphasised that his primary goal in authoring the book was to seek the reward and satisfaction of God. The book is structured into two primary parts. The first part, ""Thawāb al-Aʿmāl,"" encompasses 788 Ḥadīths arranged under 389 titles, detailing the spiritual rewards for performing righteous actions. The second part, ""ʿIqāb al-Aʿmāl,"" includes 331 Ḥadīths distributed under 131 titles, focusing on the punitive consequences of committing sinful actions.",2 | Rewards,Chapter 1 | Reward for saying: There is no God except Allah (Laa ilaaha illallaah),Ḥadīth #3,وَ بِهَذَا الْإِسْنَادِ عَنِ الْحُسَیْنِ بْنِ سَیْفٍ عَنْ أَبِیهِ عَنْ عُمَرَ بْنِ شِمْرٍ عَنْ جَابِرٍ عَنْ أَبِی جَعْفَرٍ ع قَالَ قَالَ رَسُولُ اللَّهِ ص لَقِّنُوا مَوْتَاکُمْ لَا إِلَهَ إِلَّا اللَّهُ فَإِنَّهَا تَهْدِمُ الذُّنُوبَ فَقَالُوا یَا رَسُولَ اللَّهِ فَمَنْ قَالَ فِی صِحَّتِهِ فَقَالَ ذَاکَ أَهْدَمُ وَ أَهْدَمُ إِنَّ لَا إِلَهَ إِلَّا اللَّهُ أُنْسٌ لِلْمُؤْمِنِ فِی حَیَاتِهِ وَ عِنْدَ مَوْتِهِ وَ حِینَ یُبْعَثُ.,"3. The Messenger of Allah (s.a.w.s.) said: Prompt your departed ones to say: ‘There is no god except Allah’ for it erases the sins. So they asked: O Messenger of Allah (s.a.w.s.), what if one recites this when one is healthy (alive)? The Holy Prophet (s.a.w.s.) replied, “This (utterance) destroys the sins and finishes them off in any condition. Indeed “There is no God except Allah” is a friend and helper of man in life in death and in raising after death. The Messenger of Allah (s.a.w.s.) also said: Jibraeel said: O Muhammad! You shall see them when they are raised with shining countenances those who used to chant: There is no God except Allah and Allah is the greatest.” And those shall be black faced who used to say: “Woe be to you, you are ruined!”"
Thawāb al-Aʿmāl wa ʿiqāb al-Aʿmāl,The Rewards & Punishments of Deeds,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Sayed Athar Husain Rizvi & Sayed Maqsood Athar,"Thawāb al-Aʿmāl wa ʿIqāb al-Aʿmāl is a remarkable collection of Ḥadīths collected by al-Shaykh al-Ṣadūq, a preeminent Shīʿa scholar of the 4th/10th century. Thawāb al-Aʿmāl wa ʿIqāb al-Aʿmāl delineates virtuous and sinful deeds, elucidating their spiritual consequences which lead to either reward or punishment. It has long served as an invaluable resource for both Shīʿa scholars and the general Shīʿa population and is celebrated as one of the most notable Shīʿa Ḥadīth collections. The author's motivation for writing this book was rooted in the prophetic hadith: ""The one who leads people to good deeds is as their doer."" Shaykh al-Ṣadūq emphasised that his primary goal in authoring the book was to seek the reward and satisfaction of God. The book is structured into two primary parts. The first part, ""Thawāb al-Aʿmāl,"" encompasses 788 Ḥadīths arranged under 389 titles, detailing the spiritual rewards for performing righteous actions. The second part, ""ʿIqāb al-Aʿmāl,"" includes 331 Ḥadīths distributed under 131 titles, focusing on the punitive consequences of committing sinful actions.",2 | Rewards,Chapter 1 | Reward for saying: There is no God except Allah (Laa ilaaha illallaah),Ḥadīth #4,وَ بِهَذَا الْإِسْنَادِ عَنِ الْحُسَیْنِ بْنِ سَیْفٍ عَنْ أَبِیهِ عَنْ عَمْرِو بْنِ جُمَیْعٍ رَفَعَهُ إِلَی النَّبِیِّ ص قَالَ: ثَمَنُ الْجَنَّهِ لَا إِلَهَ إِلَّا اللَّهُ.,4. And from the previous chain from al-Hussain b. Sayf from his father from ’Amru b. Jamee’ who raised it to The Prophet (s.a.w.s.) who said: The price of Paradise is Laa ilaaha illallaah (there is no God except Allah).
Thawāb al-Aʿmāl wa ʿiqāb al-Aʿmāl,The Rewards & Punishments of Deeds,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Sayed Athar Husain Rizvi & Sayed Maqsood Athar,"Thawāb al-Aʿmāl wa ʿIqāb al-Aʿmāl is a remarkable collection of Ḥadīths collected by al-Shaykh al-Ṣadūq, a preeminent Shīʿa scholar of the 4th/10th century. Thawāb al-Aʿmāl wa ʿIqāb al-Aʿmāl delineates virtuous and sinful deeds, elucidating their spiritual consequences which lead to either reward or punishment. It has long served as an invaluable resource for both Shīʿa scholars and the general Shīʿa population and is celebrated as one of the most notable Shīʿa Ḥadīth collections. The author's motivation for writing this book was rooted in the prophetic hadith: ""The one who leads people to good deeds is as their doer."" Shaykh al-Ṣadūq emphasised that his primary goal in authoring the book was to seek the reward and satisfaction of God. The book is structured into two primary parts. The first part, ""Thawāb al-Aʿmāl,"" encompasses 788 Ḥadīths arranged under 389 titles, detailing the spiritual rewards for performing righteous actions. The second part, ""ʿIqāb al-Aʿmāl,"" includes 331 Ḥadīths distributed under 131 titles, focusing on the punitive consequences of committing sinful actions.",2 | Rewards,Chapter 1 | Reward for saying: There is no God except Allah (Laa ilaaha illallaah),Ḥadīth #5,أَبِی ره قَالَ حَدَّثَنِی سَعْدُ بْنُ عَبْدِ اللَّهِ عَنْ أَحْمَدَ بْنِ هِلَالٍ عَنِ الْفَضْلِ بْنِ عَبْدِ الْوَهَّابِ عَنْ إِسْحَاقَ بْنِ عَبْدِ اللَّهِ عَنْ عَبْدِ اللَّهِ بْنِ الْوَلِیدِ رَفَعَهُ قَالَ قَالَ النَّبِیُّ ص مَنْ قَالَ لَا إِلَهَ إِلَّا اللَّهُ غُرِسَتْ لَهُ شَجَرَهٌ فِی الْجَنَّهِ مِنْ یَاقُوتَهٍ حَمْرَاءَ مَنْبِتُهَا فِی مِسْکٍ أَبْیَضَ أَحْلَی مِنَ الْعَسَلِ وَ أَشَدَّ بَیَاضاً مِنَ الثَّلْجِ وَ أَطْیَبَ رِیحاً مِنَ الْمِسْکِ فِیهَا ثِمَارٌ أَمْثَالُ أَثْدَاءِ الْأَبْکَارِ تَفْلِقُ عَنْ سَبْعِینَ حُلَّهً.,"5. The Messenger of Allah (s.a.w.s.) said: One who says ‘There is no god except Allah,’ for him a tree of rubies is planted in Paradise which is sweeter than honey, whiter than snow and more fragrant than Musk. And its fruits are like breasts of virgins which are prominent even from beneath seventy veils.."
Thawāb al-Aʿmāl wa ʿiqāb al-Aʿmāl,The Rewards & Punishments of Deeds,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Sayed Athar Husain Rizvi & Sayed Maqsood Athar,"Thawāb al-Aʿmāl wa ʿIqāb al-Aʿmāl is a remarkable collection of Ḥadīths collected by al-Shaykh al-Ṣadūq, a preeminent Shīʿa scholar of the 4th/10th century. Thawāb al-Aʿmāl wa ʿIqāb al-Aʿmāl delineates virtuous and sinful deeds, elucidating their spiritual consequences which lead to either reward or punishment. It has long served as an invaluable resource for both Shīʿa scholars and the general Shīʿa population and is celebrated as one of the most notable Shīʿa Ḥadīth collections. The author's motivation for writing this book was rooted in the prophetic hadith: ""The one who leads people to good deeds is as their doer."" Shaykh al-Ṣadūq emphasised that his primary goal in authoring the book was to seek the reward and satisfaction of God. The book is structured into two primary parts. The first part, ""Thawāb al-Aʿmāl,"" encompasses 788 Ḥadīths arranged under 389 titles, detailing the spiritual rewards for performing righteous actions. The second part, ""ʿIqāb al-Aʿmāl,"" includes 331 Ḥadīths distributed under 131 titles, focusing on the punitive consequences of committing sinful actions.",2 | Rewards,Chapter 1 | Reward for saying: There is no God except Allah (Laa ilaaha illallaah),Ḥadīth #6,أَبِی ره قَالَ حَدَّثَنِی سَعْدُ بْنُ عَبْدِ اللَّهِ قَالَ حَدَّثَنَا أَحْمَدُ بْنُ مُحَمَّدِ بْنِ عِیسَی وَ إِبْرَاهِیمُ بْنُ هَاشِمٍ وَ الْحَسَنُ بْنُ عَلِیٍّ الْکُوفِیُّ عَنِ الْحُسَیْنِ بْنِ سَیْفٍ عَنْ عُمَرَ بْنِ شِمْرٍ عَنْ جَابِرِ بْنِ یَزِیدَ الْجُعْفِیِّ عَنْ أَبِی جَعْفَرٍ ع قَالَ قَالَ رَسُولُ اللَّهِ ص لَیْسَ شَیْ ءٌ إِلَّا وَ لَهُ شَیْ ءٌ یَعْدِلُهُ إِلَّا اللَّهَ عَزَّ وَ جَلَّ فَإِنَّهُ لَا یَعْدِلُهُ شَیْ ءٌ وَ لَا إِلَهَ إِلَّا اللَّهُ فَإِنَّهُ لَا یَعْدِلُهَا شَیْ ءٌ وَ دَمْعَهٌ مِنْ خَوْفِ اللَّهِ فَإِنَّهُ لَیْسَ لَهَا مِثَالٌ فَإِنْ سَالَتْ عَلَی وَجْهِهِ لَمْ یَرْهَقْهُ قَتَرٌ وَ لا ذِلَّهٌ بَعْدَهَا أَبَداً.,"6. Imam Muhammad Baqir says that the Messenger of Allah (s.a.w.s.) said: There is nothing which is not equal in weight to something else. Except for Allah, as nothing is equal to Him and nothing is equal to ‘There is no god except Allah’ also. And there is no measure for tears that flow in fear of Allah. Even if a single tear flows on the face of a person, he or she would never be helpless and humiliated."
Thawāb al-Aʿmāl wa ʿiqāb al-Aʿmāl,The Rewards & Punishments of Deeds,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Sayed Athar Husain Rizvi & Sayed Maqsood Athar,"Thawāb al-Aʿmāl wa ʿIqāb al-Aʿmāl is a remarkable collection of Ḥadīths collected by al-Shaykh al-Ṣadūq, a preeminent Shīʿa scholar of the 4th/10th century. Thawāb al-Aʿmāl wa ʿIqāb al-Aʿmāl delineates virtuous and sinful deeds, elucidating their spiritual consequences which lead to either reward or punishment. It has long served as an invaluable resource for both Shīʿa scholars and the general Shīʿa population and is celebrated as one of the most notable Shīʿa Ḥadīth collections. The author's motivation for writing this book was rooted in the prophetic hadith: ""The one who leads people to good deeds is as their doer."" Shaykh al-Ṣadūq emphasised that his primary goal in authoring the book was to seek the reward and satisfaction of God. The book is structured into two primary parts. The first part, ""Thawāb al-Aʿmāl,"" encompasses 788 Ḥadīths arranged under 389 titles, detailing the spiritual rewards for performing righteous actions. The second part, ""ʿIqāb al-Aʿmāl,"" includes 331 Ḥadīths distributed under 131 titles, focusing on the punitive consequences of committing sinful actions.",2 | Rewards,Chapter 1 | Reward for saying: There is no God except Allah (Laa ilaaha illallaah),Ḥadīth #7,وَ بِهَذَا الْإِسْنَادِ عَنْ جَابِرٍ عَنْ أَبِی الطُّفَیْلِ عَنْ عَلِیٍّ صَلَوَاتُ اللَّهِ عَلَیْهِ قَالَ: مَا مِنْ عَبْدٍ مُسْلِمٍ یَقُولُ لَا إِلَهَ إِلَّا اللَّهُ إِلَّا صَعِدَتْ تَخْرِقُ کُلَّ سَقْفٍ لَا تَمُرُّ بِشَیْ ءٍ مِنْ سَیِّئَاتِهِ إِلَّا طَلَسَتْهَا حَتَّی تَنْتَهِیَ إِلَی مِثْلِهَا مِنَ الْحَسَنَاتِ فَتَقِفَ.,7. And from the previous chain from Jabir from Abi al-Tufayl from Ali who said: ‘There is no God except Allah’ and his or her grades are not elevated. He or she will continue to scale all heights. None of his (or her) sins shall be questioned. And for each of his sins equal number of good deeds would be given and he would be satisfied.
Thawāb al-Aʿmāl wa ʿiqāb al-Aʿmāl,The Rewards & Punishments of Deeds,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Sayed Athar Husain Rizvi & Sayed Maqsood Athar,"Thawāb al-Aʿmāl wa ʿIqāb al-Aʿmāl is a remarkable collection of Ḥadīths collected by al-Shaykh al-Ṣadūq, a preeminent Shīʿa scholar of the 4th/10th century. Thawāb al-Aʿmāl wa ʿIqāb al-Aʿmāl delineates virtuous and sinful deeds, elucidating their spiritual consequences which lead to either reward or punishment. It has long served as an invaluable resource for both Shīʿa scholars and the general Shīʿa population and is celebrated as one of the most notable Shīʿa Ḥadīth collections. The author's motivation for writing this book was rooted in the prophetic hadith: ""The one who leads people to good deeds is as their doer."" Shaykh al-Ṣadūq emphasised that his primary goal in authoring the book was to seek the reward and satisfaction of God. The book is structured into two primary parts. The first part, ""Thawāb al-Aʿmāl,"" encompasses 788 Ḥadīths arranged under 389 titles, detailing the spiritual rewards for performing righteous actions. The second part, ""ʿIqāb al-Aʿmāl,"" includes 331 Ḥadīths distributed under 131 titles, focusing on the punitive consequences of committing sinful actions.",2 | Rewards,Chapter 1 | Reward for saying: There is no God except Allah (Laa ilaaha illallaah),Ḥadīth #8,حَدَّثَنِی مُحَمَّدُ بْنُ الْحَسَنِ قَالَ حَدَّثَنِی سَعْدُ بْنُ عَبْدِ اللَّهِ عَنْ أَحْمَدَ بْنِ هِلَالٍ عَنِ ابْنِ فَضَّالٍ عَنْ أَبِی حَمْزَهَ قَالَ سَمِعْتُ أَبَا جَعْفَرٍ ع یَقُولُ مَا مِنْ شَیْ ءٍ أَعْظَمَ ثَوَاباً مِنْ شَهَادَهِ أَنْ لَا إِلَهَ إِلَّا اللَّهُ لِأَنَّ اللَّهَ تَعَالَی لَا یَعْدِلُهُ شَیْ ءٌ وَ لَا یَشْرَکُهُ فِی الْأَمْرِ أَحَدٌ.,8. Imam Muhammad Baqir says: There is nothing more rewarding than the testimony of ‘There is no God except Allah’ because Allah has not appointed anything equal to it and there is no partner of Allah in this matter.
Thawāb al-Aʿmāl wa ʿiqāb al-Aʿmāl,The Rewards & Punishments of Deeds,,Shaykh Muḥammad b. ʿAlī al-Ṣaduq,Sayed Athar Husain Rizvi & Sayed Maqsood Athar,"Thawāb al-Aʿmāl wa ʿIqāb al-Aʿmāl is a remarkable collection of Ḥadīths collected by al-Shaykh al-Ṣadūq, a preeminent Shīʿa scholar of the 4th/10th century. Thawāb al-Aʿmāl wa ʿIqāb al-Aʿmāl delineates virtuous and sinful deeds, elucidating their spiritual consequences which lead to either reward or punishment. It has long served as an invaluable resource for both Shīʿa scholars and the general Shīʿa population and is celebrated as one of the most notable Shīʿa Ḥadīth collections. The author's motivation for writing this book was rooted in the prophetic hadith: ""The one who leads people to good deeds is as their doer."" Shaykh al-Ṣadūq emphasised that his primary goal in authoring the book was to seek the reward and satisfaction of God. The book is structured into two primary parts. The first part, ""Thawāb al-Aʿmāl,"" encompasses 788 Ḥadīths arranged under 389 titles, detailing the spiritual rewards for performing righteous actions. The second part, ""ʿIqāb al-Aʿmāl,"" includes 331 Ḥadīths distributed under 131 titles, focusing on the punitive consequences of committing sinful actions.",2 | Rewards,Chapter 1 | Reward for saying: There is no God except Allah (Laa ilaaha illallaah),Ḥadīth #9,أَبِی ره قَالَ حَدَّثَنِی سَعْدُ بْنُ عَبْدِ اللَّهِ عَنْ أَحْمَدَ بْنِ أَبِی عَبْدِ اللَّهِ قَالَ حَدَّثَنِی أَبُو عِمْرَانَ الْعِجْلِیُّ قَالَ حَدَّثَنَا مُحَمَّدُ بْنُ سِنَانٍ قَالَ حَدَّثَنَا أَبُو الْعَلَاءِ الْخَفَّافُ قَالَ حَدَّثَنَا عَطِیَّهُ الْعَوْفِیُّ عَنْ أَبِی سَعِیدٍ الْخُدْرِیِّ قَالَ قَالَ رَسُولُ اللَّهِ ص مَا قُلْتُ وَ لَا قَالَ الْقَائِلُونَ قَبْلِی مِثْلَ لَا إِلَهَ إِلَّا اللَّهُ.,"9. The Messenger of Allah (s.a.w.s.) says: Till date, I and those who preceded me never said anything equal to ‘There is no God except Allah’."
