,lemma,buckwalter,frequency,part_of_speech
0,مِن,min,3226,Preposition
1,ٱللَّه,{ll~ah,2699,Proper noun
2,فِى,fiY,1701,Preposition
3,إِنّ,<in~,1682,Accusative particle
4,عَلَىٰ,EalaY`,1445,Preposition
5,ٱلَّذِى,{l~a*iY,1442,Relative pronoun
6,لَا,laA,1364,Negative particle
7,مَا,maA,1266,Relative pronoun
8,رَبّ,rab~,975,Noun
9,إِلَىٰ,<ilaY`,742,Preposition
10,مَا,maA,704,Negative particle
11,مَن,man,606,Relative pronoun
12,إِن,<in,578,Conditional particle
13,أَن,>an,578,Subordinating conjunction
14,إِلَّا,<il~aA,558,Restriction particle
15,ذَٰلِك,*a`lik,520,Demonstrative pronoun
16,عَن,Ean,465,Preposition
17,أَرْض,>aroD,461,Noun
18,قَد,qad,406,Particle of certainty
19,إِذَا,<i*aA,405,Time adverb
20,قَوْم,qawom,383,Noun
21,ءَايَة,'aAyap,382,Noun
22,أَنّ,>an~,362,Accusative particle
23,كُلّ,kul~,358,Noun
24,لَم,lam,353,Negative particle
25,ثُمّ,vum~,338,Coordinating conjunction
26,رَسُول,rasuwl,332,Noun
27,لَا,laA,327,Prohibition particle
28,يَوْم,yawom,325,Noun
29,عَذَاب,Ea*aAb,322,Noun
30,هَٰذَا,ha`*aA,317,Demonstrative pronoun
31,سَمَآء,samaA^',310,Noun
32,نَفْس,nafos,295,Noun
33,شَىْء,$aYo',283,Noun
34,أَو,>aw,280,Coordinating conjunction
35,كِتَٰب,kita`b,260,Noun
36,بَيْن,bayon,243,Location adverb
37,حَقّ,Haq~,242,Noun
38,نَّاس,n~aAs,241,Noun
39,إِذ,<i*,239,Time adverb
40,أُولَٰٓئِك,>uwla`^}ik,204,Demonstrative pronoun
41,قَبْل,qabol,197,Noun
42,مُؤْمِن,mu&omin,195,Noun
43,لَو,law,184,Conditional particle
44,مَن,man,184,Conditional particle
45,سَبِيل,sabiyl,176,Noun
46,أَمْر,>amor,166,Noun
47,عِند,Eind,160,Location adverb
48,مَع,maE,159,Location adverb
49,بَعْض,baEoD,157,Noun
50,لَمَّا,lam~aA,156,Time adverb
51,أَيُّهَا,>ay~uhaA,153,Noun
52,خَيْر,xayor,148,Noun
53,إِلَٰه,<ila`h,147,Noun
54,نَار,naAr,145,Noun
55,غَيْر,gayor,144,Noun
56,أَم,>am,137,Coordinating conjunction
