,lemma,buckwalter,frequency,part_of_speech
0,مِن,min,3226,Preposition
1,ٱللَّه,{ll~ah,2699,Proper noun
2,مَا,maA,2177,"Relative pronoun (1266), Negative particle (704), Interogative particle (92), Subordinating conjunction (79), Conditional particle (23), Supplemental particle (13)"
3,فِى,fiY,1701,Preposition
4,لَا,laA,1691,"Negative particle (1364), Prohibition particle (327)"
5,إِنّ,<in~,1682,Accusative particle
6,ٱلَّذِى,{l~a*iY,1464,"Relative pronoun (1442), Conditional particle (22)"
7,عَلَىٰ,EalaY`,1445,Preposition
8,رَبّ,rab~,975,Noun
9,مَن,man,824,"Relative pronoun (606), Conditional particle (184), Interogative particle (34)"
10,إِلَىٰ,<ilaY`,742,Preposition
11,إِن,<in,697,"Conditional particle (578), Negative particle (114), Particle of certainty (5)"
12,إِلَّا,<il~aA,663,"Restriction particle (558), Exceptive particle (102), Particle of certainty (3)"
13,أَن,>an,625,"Subordinating conjunction (578), Particle of interpretation (47)"
14,ذَٰلِك,*a`lik,520,Demonstrative pronoun
15,عَن,Ean,465,Preposition
16,أَرْض,>aroD,461,Noun
17,إِذَا,<i*aA,409,"Time adverb (405), Surprise particle (3), Conditional particle (1)"
18,قَد,qad,406,Particle of certainty
19,يَوْم,yawom,405,"Noun (325), Time adverb (80)"
20,قَوْم,qawom,383,Noun
21,ءَايَة,'aAyap,382,Noun
22,أَنّ,>an~,362,Accusative particle
23,كُلّ,kul~,359,"Noun (358), Time adverb (1)"
24,لَم,lam,353,Negative particle
25,ثُمّ,vum~,338,Coordinating conjunction
26,رَسُول,rasuwl,332,Noun
27,عَذَاب,Ea*aAb,322,Noun
28,هَٰذَا,ha`*aA,318,"Demonstrative pronoun (317), Relative pronoun (1)"
29,سَمَآء,samaA^',310,Noun
30,نَفْس,nafos,295,Noun
31,شَىْء,$aYo',283,Noun
32,أَو,>aw,280,Coordinating conjunction
33,بَيْن,bayon,266,"Location adverb (243), Noun (23)"
34,كِتَٰب,kita`b,260,Noun
35,حَقّ,Haq~,247,"Noun (242), Adjective (5)"
36,قَبْل,qabol,242,"Noun (197), Time adverb (45)"
37,نَّاس,n~aAs,241,Noun
38,إِذ,<i*,239,Time adverb
39,أُولَٰٓئِك,>uwla`^}ik,204,Demonstrative pronoun
40,مُؤْمِن,mu&omin,202,"Noun (195), Adjective (7)"
