SurahNumber,EnglishTitle,ArabicTitle,RomanTitle,NumberOfVerses,NumberOfRukus,PlaceOfRevelation
1,Al-Fatihah,ٱلْفَاتِحَة,al-Ḥamd,7,1,Makkah
2,Al-Baqarah,ٱلْبَقَرَة,al-Baq̈arah,286,40,Madinah
3,Aali 'Imran,آلِ عِمْرَان,ʾĀli ʿImrān,200,20,Madinah
4,An-Nisa,ٱلنِّسَاء,an-Nisāʾ,176,24,Madinah
5,Al-Ma'idah,ٱلْمَائِدَة,al-Māʾidah,120,16,Madinah
6,Al-An'am,ٱلْأَنْعَام,al-ʾAnʿām,165,20,Makkah
7,Al-A'raf,ٱلْأَعْرَاف,al-ʾAʿrāf,206,24,Makkah
8,Al-Anfal,ٱلْأَنْفَال,al-ʾAnfāl,75,10,Madinah
9,At-Tawbah,ٱلتَّوْبَة,at-Tawbah,129,16,Madinah
10,Yunus,يُونُس,Yūnus,109,11,Makkah
11,Hud,هُود,Hūd,123,10,Makkah
12,Yusuf,يُوسُف,Yūsuf,111,12,Makkah
13,Ar-Ra'd,ٱلرَّعْد,ar-Raʿd,43,6,Madinah
14,Ibrahim,إِبْرَاهِيم,ʾIbrāhīm,52,7,Makkah
15,Al-Hijr,ٱلْحِجْر,al-Ḥijr,99,6,Makkah
16,An-Nahl,ٱلنَّحْل,an-Naḥl,128,16,Makkah
17,Al-Isra,ٱلْإِسْرَاء,al-ʾIsrāʾ,111,12,Makkah
18,Al-Kahf,ٱلْكَهْف,al-Kahf,110,12,Makkah
19,Maryam,مَرْيَم,Maryam,98,6,Makkah
20,Ta-Ha,طه,Ṭāʾ Hāʾ,135,8,Makkah
21,Al-Anbiya,ٱلْأَنْبِيَاء,al-ʾAnbiyāʾ,112,7,Makkah
22,Al-Hajj,ٱلْحَجّ,al-Ḥajj,78,10,Madinah
23,Al-Mu'minun,ٱلْمُؤْمِنُون,al-Muʾminūn,118,6,Makkah
24,An-Nur,ٱلنُّور,an-Nūr,64,9,Madinah
25,Al-Furqan,ٱلْفُرْقَان,al-Furq̈ān,77,6,Makkah
26,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,227,11,Makkah
27,An-Naml,ٱلنَّمْل,an-Naml,93,7,Makkah
28,Al-Qasas,ٱلْقَصَص,al-Q̈aṣaṣ,88,9,Makkah
29,Al-Ankabut,ٱلْعَنْكَبُوت,al-ʿAnkabūt,69,7,Makkah
30,Ar-Rum,ٱلرُّوم,ar-Rūm,60,6,Makkah
31,Luqmaan,لُقْمَان,Luq̈mān,34,4,Makkah
32,As-Sajdah,ٱلسَّجْدَة,as-Sajdah,30,3,Makkah
33,Al-Ahzaab,ٱلْأَحْزَاب,al-ʾAḥzāb,73,9,Madinah
34,Saba (surah),سَبَأ,Sabaʾ,54,6,Makkah
35,Faatir,فَاطِر,Fāṭir,45,5,Makkah
36,Ya-Sin,يس,Yāʾ Sīn,83,5,Makkah
37,As-Saaffaat,ٱلصَّافَّات,aṣ-Ṣāffāt,182,5,Makkah
38,Saad,ص,Ṣād,88,5,Makkah
39,Az-Zumar,ٱلزُّمَر,az-Zumar,75,8,Makkah
40,Ghafir,غَافِر,Ghafir,85,9,Makkah
41,Fussilat,فُصِّلَت,Fuṣṣilat,54,6,Makkah
42,Ash-Shura,ٱلشُّورىٰ,aš-Šūrā,53,5,Makkah
43,Az-Zukhruf,ٱلْزُّخْرُف,az-Zukhruf,89,7,Makkah
44,Ad-Dukhaan,ٱلدُّخَان,ad-Dukhān,59,3,Makkah
45,Al-Jaathiyah,ٱلْجَاثِيَة,al-Jāthiyah,37,4,Makkah
46,Al-Ahqaaf,ٱلْأَحْقَاف,al-ʾAḥq̈āf,35,4,Makkah
47,Muhammad,مُحَمَّد,Muḥammad,38,4,Madinah
48,Al-Fath,ٱلْفَتْح,al-Fatḥ,29,4,Madinah
49,Al-Hujuraat,ٱلْحُجُرَات,al-Ḥujurāt,18,2,Madinah
50,Qaaf,ق,Q̈āf,45,3,Makkah
