Arabic,Tafseer
بِسمِ ٱلله الرَّحْمٰنِ الرَّحِيـمِ,In the Name of God the Compassionate the Merciful The bāÌ in bismillāh [“in the name of God”] is a grammatical particle of implication. That is to say “by means of God” bi-Llāh new things become manifest and by means of Him created things exist. There is nothing from any newly created thing ḥādith makhlūq or sequence of events ḥāṣil mansūq; or from any perceived thing ʿayn or trace left by a thing athar etc.; or anything else from rocks or clay grass or trees any impression left on the ground rasm or ruins left standing Ṭalal or any determination ḥukm or causes ʿilal [of things or events] that has existence wujūd except by means of the Real. The Real is its sovereign. Its beginning is from the Real and its return is to the Real. Through Him the one who declares the unity [of God] finds bihi wajada man waḥḥada and through Him the rejecter abandons faith wa-bihi jahada man alḥada. Through Him the one who acknowledges comes to know bihi ʿarafa man iʿtarafa and through Him the one who commits [harmful acts] remains behind wa-bihi takhallafa man iqtarafa. He said “In the name of God” rather than “In God.” According to some people this is a way of seeking blessing through the mention of His name. According to others it is because of the difference between this [wording] and oaths. According to scholars it is because the name ism is the thing that is named musammā. In the view of the people of deep knowledge ahl al-ʿirfān [the wording is such] in order to seek the purification of hearts from attachments li-istiṣfāÌ al-qulūb min al-ʿalāÌiq and the liberation of the innermost selves from obstacles li-istikhlāṣ al-asrār ʿan al-ʿawāÌiq so that the word “God” may enter into a clean heart qalb munaqqā and purified innermost self sirr muṣaffa. Upon the mention of this verse some people are reminded by the [let- ter] bāÌ of His beneficence birr with His friends and by the [letter] sīn of His secret sirr with his chosen ones and by the [letter] mīm of His grace minna to the people of [His] friendship ahl al-walāya. They know that by His beneficence they come to know His secret and by His grace to them they preserve His command and by Him سبحانه وتعالى they recognize His measure.
ٱلْحَمْدُ للَّهِ رَبِّ ٱلْعَالَمِينَ,The real meaning of praise ḥamd is extolling the One who is praiseworthy maḥmūd by mentioning His sublime attributes and beautiful acts. The [letter] lām here [from the particle al in al-ḥamdu li-Llāh] indicates an all- comprehensive category since all praiseworthy acts are God's سبحانه either by attribution waṣf or creation khalq. Praise belongs to Him because of the manifestation of His sovereign power and gratitude belongs to Him because of the abundance of His goodness. Praise belongs to God because of what He is due from His sublimity and His beauty and gratitude belongs to God because of the plentitude of His favors and the preciousness of His gifts. The praise for Him سبحانه which is from Him is from the attributes of His speech and word and the praise of Him which is from His creation is by virtue of His favors and His might. His sublimity and His beauty are His due because of the attributes of grandeur. They are His entitlement because of [His] qualities of exaltedness and loftiness. Eternal existence belongs to Him. Noble generosity belongs to Him. Unique permanence belongs to Him as do everlasting being eternal remaining endless splendor and perpetual praise. Hearing and seeing belong to Him as do divine decree and measure speech might and power mercy and generosity entity ʿayn and existence wujūd the beautiful face al-wajhu dhū l-jamāl and the sublime measure al-qadru dhū l-jalāl. He is the One most high. His grandeur is His garment His loftiness is His brilliance His magnificence is His exaltedness His being is His essence His eternity without beginning is His everlasting eternity His timelessness is His endless eternity His truth is His self and His permanence is His entity. His perpetuity is His remaining His decree is His measure His sublimity is His beauty His prohibition is His command His wrath is His mercy and His desire is His will. He is the King by His invincibility jabarūt and the One in His dominion malakūt. God the blessed and glorified! Glory be to Him how weighty is His affair! The Real سبحانه وتعالى knows the intensity of the spiritual desire irāda of His friends to praise and extol Him and their inability to perform the praise due to Him in accordance with His exaltedness and radiance.
ٱلرَّحْمـٰنِ ٱلرَّحِيمِ,The Compassionate the Merciful Both names are derived from [the word] mercy raḥma. Mercy is an eternal attribute and it is the [divine] desire for blessing irādat al-niʿma. According to the [scholarly] experts ahl al-taḥqīq these are two nouns denoting intensification with no distinction between the two [in terms of the recipients of the mercy]. [Others have] said the Compassionate al-raḥmān is the more emphatic and more complete in expressiveness. Nothing other than the Real سبحانه is called raḥmān without restriction whereas the Merciful al-raḥīm can be used to describe others. By means of His mercy the servant comes to know that He is the Compassionate. If not for His mercy no one would know that He is the Compassionate. Whether mercy is the desire for blessing or the blessing itself as some would have it the blessings themselves are varied and their degrees are different for one blessing is a blessing for bodily forms and outward circumstances al-ashbāḥ wa-l-ẓawāhir and the other blessing is a blessing for spirits and inner secrets of the heart al-arwāḥ wa-l-sarāÌir. In the system of those who distinguish between the two the compassion- ate raḥmān is a specific term with a general meaning while the merciful raḥīm is a general term with a specific meaning. As the Compassionate He provides comfort for all people in the circumstances of their exter- nal lives ẓawāhir whereas the Merciful grants success to the believers for the life found in the inner secrets of their hearts sarāÌir. He is the Compassionate by that which He gives in comfort rawwaḥa and the Merciful by that which He gives in glimmers lawwaḥa. Giving com- fort tarwīḥ is through acts of beneficence mabārr and the giving of glimmers talwīḥ is through lights anwār. [He is] the Compassionate through the unveiling of His manifestation tajallī and the Merciful through the kindness of His being a friend and protector tawallī. [He is] the Compassionate through what He gives in faith īmān and the Merciful through what He confers in deep knowledge ʿirfān. Or [He is] the Compassionate through what He grants in deeper knowledge ʿirfān and the Merciful through what He undertakes in forgiveness ghufrān. Or [He is] the Compassionate through what He gives in blessing in forgive- ness ghufrān and the Merciful through what He bestows in good pleasure riḌwān.
مَـٰلِكِ يَوْمِ ٱلدِّينِ,Master of the Day of Judgment The master mālik is the one who has sovereignty mulk. The sovereignty of the Real سبحانه وتعالى is His power over creating ibdāʿ. King malik is a more intensive form than master mālik-He سبحانه is both King and Master and sovereignty is His. Just as there is no god but He there is none with the power to create except Him. He is alone in His divinity and singular in His sovereignty. He rules the souls of His worshipers nufūs al-ʿābidīn for He has granted agency to them ṣarrafahā in His service. He rules the hearts of those with deeper knowledge qulūb al-ʿārifīn for He hon- ors them sharrafahā with knowledge of Him. He rules the souls of the seekers nufūs al-qāṣidīn for He holds them in his thrall tayyamahā. He rules the hearts of the ecstatics qulūb al-wājidīn for He bewilders them hayyamahā. He rules the bodily forms ashbāḥ of those who worship Him and He is kind to them with his gifts and favors. He rules the spirits arwāḥ of those whom He loves and He unveils the attribute of His majesty to them and the quality of His beauty. He holds the reins of the masters who profess [His] unity: He turns them about wherever He wills as He wills and He grants them success wherever He wills as He wills. He does not entrust them to themselves for even a moment. He does not transfer power to them in their affair for even the shortest period of time. He is for them in place of themselves and He has annihilated them from themselves to Him. His beneficence rules the hearts of the worshipers and they desire His gifts. His authority rules the hearts of those who declare unity and they are content with His abiding. He teaches the masters who profess [His] unity that He is their Master mālik and their own choosing ikhtiyār drops away from them. They come to know that the servant has no ownership. The one who has no ownership has no power of decision ḥukm and the one who has no power of decision has no free choice. For them there is no turning away iʿrāḌ from obedience to Him no resistance iʿtirāḌ to His decision no working against muʿāraḌa His choosing and no move to taʿarruḌ oppose Him.
إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,You [alone] we worship and You [alone] we ask for help Its meaning is “we worship You and we ask for help through You” but beginning with the mention of the object of worship is better than begin- ning with the mention of the servant's attribute which is his worship and seeking help. This is a more eloquent wording and more pleasing to the ears. Worship is bringing the utmost humility in harmony muwāfaqa with the command standing wherever the law stands and asking for help in seeking the assistance of the Real. Worship ʿibāda refers to the exertion of effort and strength while asking for help istiʿāna indicates the search to attract power and grace. So in worship the honor of the servant becomes manifest and in asking for help kindness comes to the servant. In worship he finds his honor and in asking for help he is granted security from harm. The outward aspect of worship is humbling oneself tadhallul but its inward truth is becoming powerful taʿazzuz and beautiful tajammul: When necks are brought low dhallalat in being brought near between us their glory ʿizz is in their humility dhull. Its meaning is: As soon as you caused me to submit to dhāl and lām you met me in ʿayn and zāÌ. Worship is the promenade of the seekers qāṣidūn the recreation of the aspirants murīdūn the meadow of intimacy for the lovers muḥibbūn and the pasture of delight for those with deeper knowledge ʿārifūn. Their eyes are cooled by [worship] their hearts find joy in it and their spirits have rest from it. [The Prophet] ﷺ alluded to this in saying “Give us rest O Bilāl.” One created being said about another created being: O people my blood revenge belongs to my AsmāÌ. Anyone near and far knows it. Do not call upon me except by “O servant of her” For that is the most truthful of my names. To ask for help is to alight in the environs of His generosity to put your burden down in the courtyard of His munificence and to submit your burden to the hand of His rule. So you seek Him full of hope take long strides toward Him hope in Him with powerful anticipation have faith in His eternal generosity trust in what has already been chosen ikhtiyār sābiq and cling to the strong rope of His liberality.
ٱهْدِنَا ٱلصِّرَاطَ ٱلْمُسْتَقِيمَ,Guide us to the straight path Guidance hidāya is direction irshād and its basic meaning is to influence someone's inclinations. The one who is guided is one who is aware of the Real سبحانه and prefers His good pleasure and has faith in Him. The com- mand in this verse is elided for the meaning is “Say: Guide us.” The believers are already being rightly guided in the present moment so the meaning is to petition for ongoing and ever increasing [guidance]. The straight path is the true path upon which are the people who declare God's oneness. The meaning of guide us is “cause us to incline to You” “take us as Yours” “be our guide dalīl to You” “facilitate our way to You” “arouse our aspira- tion for You” and “bring our concerns together through You.” “Prevent our innermost selves from witnessing all others aghyār. Show in our hearts the rising of lights anwār. Keep our seeking of You from the blemish of traces or effects āthār.65 And cause us to rise from the waystations of studying and reasoning to gather jamʿ [together] on the plains of nearness and communion.” “Take away our comfort with simulacra amthāl and outward appear- ances ashkāl through the intimate kindnesses and secrets you share with us [as we] find communion and witness the sublime and beautiful.” “Direct us to the Real so that we will not put our trust in the intermediar- ies of [our] deeds and so that the dust of vain opinions and suppositions will not fall upon the intent to profess divine unity.” Guide us to the straight path that is “Remove from us the darkness of our states so that we may be illuminated by the lights of Your holiness from the shadows of our own seeking. And lift from us the shadow of our effort so that we may gain insight by the stars of Your liberality and find You through You.” “Guide us to the straight path so that no associate from Satan's insinua- tions and whisperings and no friend from the inclinations and murmurings of the lower selves become our companions. Let not any stay in the familiar territories of blind following taqlīd keep us from the communion [of lovers]. Do not let reliance on routine instruction come between us and insight.
صِرَاطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِم وَلاَ ٱلضَّآلِّينَ,the path of those whom You have favored It means “the way Ṭarīq of those whom You have favored with guid- ance to the straight path”-these are the friends awliyāÌ and chosen ones aṣfiyāÌ. It is said that it is “the way of those whom You have annihilated from themselves and raised up through You for You. They do not stop along the way and the secrets of the divine ruse makr do not keep them from You.” It is said that it is “the path of those whom You have favored with upholding Your rights ḥuqūq without detours seeking to attract their worldly portions ḥuẓūẓ.” It is said that it is “the path of those whom You have purified from their [human] traces āthār so that they reach You through You.” It is said that it is “the path of those whom You have favored to the point that they are wary of66 the tricks of Satan the errors of the lower selves and the imaginings of opinions and conjectures about arriving before the mortal human traces āthār al-bashariyya are extinguished.” It is said that it is “the path of those whom You have favored with reflec- tive thought naẓar [those who] seek help through You declare them- selves free of power and strength witness the felicity that has already been determined for them and have knowledge through the affirmation of Your unity of that which will come to pass [thus] causing happiness and harm.” It is said that it is “the path of those whom You have favored with being mindful of refined behavior adab at the times of service and [with] being filled with the quality of awe hayba.” It is said that it is “the path of those whom You have favored by causing them to be mindful of the refined behaviors ādāb and precepts aḥkām of the law [even while they are] under the sway of the unexpected intu- itions of realities bawādih al-ḥaqāÌiq so that they do not go beyond the limit of knowledge ʿilm and do not violate any of the precepts of the law sharīʿa.” It is said that it is “the path of those whom You have favored so that the suns of what they have come to know will not extinguish the lights of their scrupulousness waraʿ and they will not neglect any one of the precepts of servanthood ʿubūdiyya at the time of the manifestation of the authority of reality sulṬān al-ḥaqīqa.
الۤـمۤ,Alif lām mīm According to some people these isolated letters at the beginning of the sūra are among the ambiguous [verses] the interpretation taÌwīl of which is known only to God. They say every book has a mystery and the mystery of God in the QurÌān is these isolated letters. According to other people they are acronyms for His names: the alif is from the name “Allah” the lām indicates His name al-LaṬīf “the Subtle” and the mīm indicates His names al-Majīd “the Glorious” and al-Malik “the King”. It is said that God made an oath by means of these letters an honor they hold because they are the basic elements of His names and His speech. It is said that they are the names of sūras [of the QurÌān]. It is said that the alif indicates the name Allāh the lām indicates the name Jibrīl Gabriel and the mīm indicates the name Muḥammad ﷺ since this Book descended from God on the tongue of Gabriel to Muḥammad ﷺ. Among the [Arabic] letters alif is independent infaradat in its form because it does not connect to other letters in writing; all but a few of the letters connect. By contemplating this quality the servant becomes aware of the need of all creation for Him and His self-sufficiency from all. It is said that the sincere servant remembers from the status of the alif the absolute freedom of the Real سبحانه وتعالى from being particularized by place. All of the letters have a place in the throat the lip or the tongue etc. for articulation except alif. It is His “He-ness” huwiyyaand is not ascribed to any place. It is said that the allusion in [the alif] is to the servant's standing alone infirād for the sake of God سبحانه وتعالى so that he would be like the alif which is not connected to any letter and [he] would not abandon the state of standing straight and upright before Him. It is said that by His address alif the servant is called in his innermost self to withdraw infirād [his] heart to God most high. At His address lām he is asked to yield līn to Him in considering His due. On hearing the mīm he is asked to conform muwāfaqa to His command regarding that which has been entrusted to him.
ذَلِكَ ٱلْكِتَابُ لاَ رَيْبَ فِيهِ هُدًى لِّلْمُتَّقِينَ,That Book in it there is no doubt It is said that that Book means “this Book.” It is said that [that Book] is an allusion to that which preceded its revela- tion in the [divine] speech. It is said [that it means] “that Book whose revelation I promised to you on the Day of the Covenant.” In it there is no doubt for this is the time of its revelation. It is said “that Book within which I prescribed mercy on Myself for your commu- nity-there is no uncertainty [regarding that] for it has been verified by what I have said.” It is said that “[that Book is] the Book that is My predetermination sābiq ḥukmī and My eternal decree qadīm qaḌāÌī because in it there is no doubt regarding those for whom I have ruled happiness or those whom I have sealed with wretchedness.” It is said that [it means] “My determination ḥukm is what I have said: without doubt My mercy precedes My wrath.” It is said that [it is] an allusion to the faith knowledge love and good- ness that is written in the hearts of His friends. Surely the Book of the lovers is something cherished by the lovers especially when deprived of meeting. In the Book of the lovers [they find] their consolation and intimacy their healing and refreshment. With respect to this they recite: Your writing is all around me it does not leave my bed. There is healing in it for that which I conceal. They also recite: The book brought what is most cooling to our eyes a healing for hearts; thereby the utmost limits of desires are granted. People divided happiness into portions among themselves. The most fortunate of them was I. A guidance for the God-fearing That is [it is] an explanation and proof a light and a highway for those whom the Real سبحانه وتعالى has protected from the darknesses of ignorance and given insight with the lights of the intellect and selected for the realities of connecting waṣl. For the friends awliyāÌ this Book is a healing shifāÌ and for the enemies aʿdāÌ [it is] blindness and affliction balāÌ. The one who is God-fearing muttaqin is one who fears ittaqā looking to his own fear of God taqwā; he does not rely on it nor does he consider that he can be saved except through the grace of his Protector.
ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلٰوةَ وَممَّا رَزَقْنَاهُمْ يُنْفِقُونَ,Who believe in the unseen and maintain the prayer The true meaning of belief īmān is affirmation taṣdīq and then actu- alization taḥqīq both of which are brought about by God's granting of success tawfīq. The affirmation is in the pledge ʿaqd and actualization is through the exertion of effort jahd in preserving the pact ʿahd and observing the limit ḥadd. The believers are those who affirm ṣaddaqū their commitment iʿtiqād and then are sincere ṣadaqū in their effort ijtihād. As for the unseen what the servant knows of it is limited to what is necessary. The servant understands each religious matter by a kind of reasoning istidlāl a mode of mental examination fikr and calling forth of evidence istishhād. So the belief is invisible ghaybī within it. The Lord سبحانه وتعالى is unseen ghayb and what the Real speaks about with regard to the gathering and the resurrection the reward and the place of return and the reckoning and punishment is unseen. It is said that only someone who has the lamp of the unseen with him believes. Those who are supported by the demonstrative proof of intellects burhān al-ʿuqūl believe through the corroboration of knowledge dalālat al-ʿilm and what points to certainty ishārat al-yaqīn. The veracity of rea- soning ṣidqu al-istidlāl brings them to the courtyards of seeking insight istibṣār and what is correct in the evidence they call forth istishhād carries them to the elevated observation points of stillness. Their faith in the unseen comes through the types of knowledge ʿulūm they possess crowding out the causes of doubt. [Others] receive deeper instruction taʿrīf through curtains of lights He has lowered down over them. Through the glimmers of clear evidence bayān He has freed them from the need for any reflection fikr and vision ruÌya any seeking of pure intuitions khawāṬir zakiyya or rejection of ignoble urgings dawāʿin radiyya. The suns of their innermost selves rise and they no longer have any need for the lamps of their reasoning istidlāl. Regarding this they have recited: From your face my night has become the sun of the bright morning. The darkness in the air is elsewhere. People are in the twilight of darkness. While we from your face are in the bright morning light. They also recite: The sun of the one who loves you has appeared at night.
