Arabic,Tafseer
بِسمِ ٱلله الرَّحْمٰنِ الرَّحِيـمِ,"In the Name of God: the name of a thing is that by which it can be known. The Names of God, exalted be He, are the [arche]typal forms (ṣuwar nawʿiyya) whose specificities and ipseities (hūwiyya) indicate the attributes of God and His essence, and [which indicate] by their very existence His countenance, and by their individuation His oneness. For, these are the outward manifestations through which He can be known; Allāh is a name for the divine essence qua essence absolutely, without taking into consideration that it may be qualified by the attributes or indeed taking into consideration that it may not be [so] qualified; the Compassionate, is the one who causes existence and perfection to flow upon all [things] in the measure that [divine] wisdom requires and to the capacity of the receiving entities (qawābil) from the outset [of their creation]; the Merciful: (al-Raḥīm) is the one who bestows the spiritual perfection (kamāl maʿnawī) that has been earmarked for the human species in the end [sc. in the Hereafter]. It is for this reason that they say O [You Who are the] Compassionate One of this world and of the Hereafter (yā raḥmān al-dunyā wa'l-ākhira), but [say] O Merciful One of the Hereafter (raḥīm al-ākhira): the meaning then is, in the perfect human all-encompassing form, general and specific mercy, which is the locus of manifestation of the divine essence and the greatest truth with the totality of attributes, I commence and I recite. It [Allāh] is the Greatest Name [of God]. It is to this meaning that the Prophet's (ṣlʿm) alluded when he said, 'I have been given the sum of all [excellent] speech [sc. The QurÌān] and have been sent to complete the noble character traits (makārim al-akhlāq). For words constitute the realities (ḥaqāÌiq) of existents (mawjūdāt) and their concrete substances (aʿyān), just as Jesus, peace be upon him, was called a Word from God [cf. 3:39,45]. The noble character traits are the perfections [of these existents] and [represent] their specifities, constituting the sources of their [the existents'] actions in their entirety, contained as they are in the comprehensive human microcosm (kawn insānī). Herein lies a subtlety (laṭīfa), namely that the prophets, peace be upon them, have made the letters of the alphabet analogous to the ranks of existents (marātib al-mawjūdāt)."
ٱلْحَمْدُ للَّهِ رَبِّ ٱلْعَالَمِينَ,"Praise be to God; Lord of all Worlds, to the end of the sūra: 'praise' in actions and utterances of the moment (lisān al-ḥāl) is the manifestation (ẓuhūr) of perfections and the actualisation (ḥuṣūl) of the ends (ghāyāt) of things, since these are opening laudations and marvelous eulogies by the one granting them in accordance with what is due to that [object of eulogy]. For all existents, on account of their specificity and specific qualities and orientation towards their end-goals, and by the bringing forth of their perfections [sc. perfected states] from the space of potentiality into actuality, are proclaimers of [His] glory and praisers, as God, exalted be He, says: and there is not a thing but proclaims His praise [Q. 17:44]. Their proclamation of His glory is the declaration that He is above the need for any associate, [exalted above] the attributes of deficiency (naqṣ) and incapacity, [and this] by their very dependence on Him and their being indicators of His Oneness and His power. As for their praise [of Him], this is the manifesting of their derivative perfections and their being the loci of the manifestation of those attributes of majesty and beauty. His Essence is singled out [for praise] on account of His being the principle (mabdaÌ) of all things, and [on account of] His preservation and management of these, which constitute the very signification of [His] lordship of all worlds. In other words [praise be] to every knowable of the knowledge of God [being that] by which He is known, as in the case of the seal and what it seals and the mould and what is moulded in it. The construction [of ʿālam] is in the sound plural [ʿālamīn] because it subsumes the signification of 'knowledge' (ʿilm), or on account of the prevalence [of cognizant beings in these worlds]. In the face of [His] bestowing of good generally and specifically, that is, outward graces such as health and provision, and inner [graces] such as gnosis (maʿrifa) and knowledge (ʿilm); and on account of His being the ultimate end [of all things], which is the [true] signification of [His being] master of [all] things on the Day of Judgement, since in reality the only one who will requite will be the worshipped One, to whom all mastership returns at the time of requital either through the rewarding of everlasting grace in place of ephemeral [grace] upon the disengagement from this [latter] by means of renunciation and the self-disclosures of actions upon the servant's wrenching himself away from his actions and the replacement of his attributes with His attributes upon effacement (maḥw) and his subsistence (baqāÌ) through His Essence, and His gift to him of veridical [divine] existence (wujūd ḥaqqānī), upon his annihilation (fanāÌ)."
,
,
,
ٱهْدِنَا ٱلصِّرَاطَ ٱلْمُسْتَقِيمَ,"Guide us to the straight path, in other words, fix us upon [the path of] guidance and empower us to remain upright along the path of oneness, that is, the path of those favoured [by You] with the special favour pertaining to [Your] Mercifulness (raḥīmiyya), which is gnosis, love and guidance, such as the prophets, the martyrs, the truthful and the friends (awliyāÌ) who have witnessed Him as the First and the Last, and as the Manifest and the Hidden, and who through the witnessing of the rise of His abiding countenance, became absent from the existence of ephemeral shadow."
صِرَاطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِم وَلاَ ٱلضَّآلِّينَ,"not [the path] of those against whom there is wrath, those who stop at the outward [aspects], concealing themselves behind the veil of the Compassionate One's favour and that of corporeal bliss and physical taste, [stopping] short of the spiritual realities and the bliss of the heart and the tasting through the intellect, such as the Jews. For their call was one to outward things, such as the Gardens, the [paradisiacal] maidens and palaces, which is why He was wrathful with them, for wrath requires banishment and distance. To [be content to] stop at the outward aspects [of things], which are the veils of darkness, is the ultimate in distance [from God]; nor of those who are astray, those who stand [content] with the inner aspects, which are the luminous veils (ḥujub nūrāniyya), and have concealed themselves behind the favour pertaining to [His] Mercifulness to the exclusion of the favour emanating from [Him as] the Compassionate One. They are unmindful of the manifest nature of the Truth and have erred from the even path, and have thus been denied the witnessing of the beauty of the Beloved in all things, as is the case with the Christians. For their call was to inner things and to the lights of the world of the Holy, whereas the call of the Muhammadans, the proclaimers of [God's] oneness, was to both [the inner and the outer] aspects, combining love for the beauty of [His] Essence with [love of His] most beautiful attributes as attested [in the QurÌān]: hasten to forgiveness from your Lord and a Garden…; be wary of God and believe in His Messenger and He will give you two portions from His mercy and He will make for you a light by which you may walk; worship God and do not associate anything with Him. They [the Muslims] thus heeded all three calls, as is mentioned in support of: they hope for His mercy but fear His chastisement, and they say, 'O our Lord, complete for us our light; they say our lord is God and then are upright and are thus rewarded with union, according to what God, exalted be He, has informed: their reward with their Lord shall be gardens of Eden. They will have their wage and their light; whithersoever they turn, there is the face of God; for those who have been virtuous, theirs shall be the fairest reward and more [Q. 10:26]."
الۤـمۤ  *  ذَلِكَ ٱلْكِتَابُ لاَ رَيْبَ فِيهِ هُدًى لِّلْمُتَّقِينَ,"Alif lām mīm. That Book: these three letters constitute an allusion to the entirety of existence qua totality, because alif alludes to the essence of the one who is the first of existence, as has been mentioned; lām [alludes] to the active intellect, called Gabriel, who is the middle of existence receiving emanation from the principle [of existence] and overflowing upon the end [of existence]; mīm [alludes] to Muḥammad who is the last of existence with whom the cycle [of existence] comes full circle and [its last] is joined to its first, which is why he [Muḥammad] is the seal. He said, 'Verily time has come full circle back to its form on the day when God created the heavens and the earth'. According to one of the [pious] predecessors, 'The lām is made up of two alifs', in other words, analogous to the Essence together with its attribute of knowledge, which together constitute two of the three divine realms we have alluded to. It is thus one of God's Names, for each Name is made up of the Essence together with some [particular] attribute. As for mīm, this is an allusion to the Essence together with all of the attributes and the acts that have been veiled therein in the Muḥammadan form, which is God's Greatest Name, so that none knows this [Name] except the one who knows it. Do you not know how mīm, which is the form of the Essence, is veiled by Itḍ Mīm has a yāÌ and the yāÌ has an alif. The mysterious aspect of the letters of the alphabet is that there is no letter that does not contain an alif. This [explanation] is similar to the statement that the meaning [of these letters] constitutes an oath by God, the Knowing, the Wise. For Gabriel is the locus of manifestation of knowledge and is thus His Name the Knowing, while Muḥammad is the locus of manifestation of wisdom and is thus His Name the Wise. From this becomes manifest the meaning of the statement, 'In every one of His Names there are an infinite number of names. In the realm of wisdom, which is the realm of cause and effect, knowledge is not complete and is not perfected unless it is combined with the act whereupon it becomes a wisdom."
الۤـمۤ  *  ذَلِكَ ٱلْكِتَابُ لاَ رَيْبَ فِيهِ هُدًى لِّلْمُتَّقِينَ,"Alif lām mīm. That Book: these three letters constitute an allusion to the entirety of existence qua totality, because alif alludes to the essence of the one who is the first of existence, as has been mentioned; lām [alludes] to the active intellect, called Gabriel, who is the middle of existence receiving emanation from the principle [of existence] and overflowing upon the end [of existence]; mīm [alludes] to Muḥammad who is the last of existence with whom the cycle [of existence] comes full circle and [its last] is joined to its first, which is why he [Muḥammad] is the seal. He said, 'Verily time has come full circle back to its form on the day when God created the heavens and the earth'. According to one of the [pious] predecessors, 'The lām is made up of two alifs', in other words, analogous to the Essence together with its attribute of knowledge, which together constitute two of the three divine realms we have alluded to. It is thus one of God's Names, for each Name is made up of the Essence together with some [particular] attribute. As for mīm, this is an allusion to the Essence together with all of the attributes and the acts that have been veiled therein in the Muḥammadan form, which is God's Greatest Name, so that none knows this [Name] except the one who knows it. Do you not know how mīm, which is the form of the Essence, is veiled by Itḍ Mīm has a yāÌ and the yāÌ has an alif. The mysterious aspect of the letters of the alphabet is that there is no letter that does not contain an alif. This [explanation] is similar to the statement that the meaning [of these letters] constitutes an oath by God, the Knowing, the Wise. For Gabriel is the locus of manifestation of knowledge and is thus His Name the Knowing, while Muḥammad is the locus of manifestation of wisdom and is thus His Name the Wise. From this becomes manifest the meaning of the statement, 'In every one of His Names there are an infinite number of names. In the realm of wisdom, which is the realm of cause and effect, knowledge is not complete and is not perfected unless it is combined with the act whereupon it becomes a wisdom."
ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلٰوةَ وَممَّا رَزَقْنَاهُمْ يُنْفِقُونَ,"[those] who believe in the Unseen, and maintain the prayer: that is, [they believe] in what is absent to them in terms of the faith of following authority (taqlīdī), or that [faith] of the verification of knowledge. For faith is in two parts, that of following authority and that of verification. That of verification is [itself] divided into two, [verification] by reasoning (istidlāl) or by unveiling (kashfī), both of which [are] either [of the type that] stand at the limit of knowledge and of the unseen, or [of the type that] do not stand there. The former is to know [something] for certain, what is called the knowledge of certainty (ʿilm al-yaqīn); the second is either of the eye, namely, the witnessing (mushāhada) called the eye of certainty (ʿayn al-yaqīn), or of the reality, namely, the vision of self-disclosure, called the reality of certainty (ḥaqq al-yaqīn). The last two types do not belong to [the category of] belief in the Unseen. For belief in the Unseen requires works of the heart, namely, [self-]purification (tazkiya), which is the purification of the heart against becoming inclined to the exterior bodily fortunes that distract [one] from attaining abiding happiness. For happiness is of three kinds: that of the heart, that of the body and that which surrounds it. That [happiness] of the heart consists of gnostic sciences (maʿārif) and wisdoms, perfections of knowledge and practical perfections of character. As for [the happiness of] the body, this consists of physical well-being and strength, corporeal pleasures and natural passions. As for that [happiness] which surrounds [the body], this consists of wealth and means, just as the commander of the believers [ʿAlī b. Abī Ṭālib], peace be upon him: 'Verily, ample wealth is a grace, but more excellent than ample wealth is the well-being of the body and a God-mindful heart'. It is necessary to guard against [concerning oneself with] these former two in order to obtain this desired last by means of renunciation and worship. For to perform prayers is to abandon the comforts of the body and to tire the physical limbs, [prayer] being the mother of all [acts of] worship which when it is forthcoming the remainder follow, truly prayer prohibits lewd acts and indecency [Q. 45:29], since it is a burden and a great hardship upon both body and soul; while to expend of [one's] wealth [in charity] is to turn away from outward happiness beloved to the soul, what is called renunciation (zuhd)."
