Arabic,Tafseer
بِسمِ ٱلله الرَّحْمٰنِ الرَّحِيـمِ,"In the name of Allah, the Beneficent, the Merciful."
ٱلْحَمْدُ للَّهِ رَبِّ ٱلْعَالَمِينَ,"And on his authority it is related that Ibn 'Abbas said, regarding the saying of Allah, Exalted is He, (Praise be to Allah): 'He says: laudation is Allah's in that He is kind towards His created beings and, hence, they praise Him. It is also said that laudation is Allah's because of His excessive blessings upon His servants whom He has guided to believe in Him. It is also said: laudation, absolute unity and godhood all belong to Allah Who has neither progeny, partner, helper nor an assistant. (Lord of the worlds): Lord of any that has a spirit and walks about on the face of the earth and also of the dwellers of heaven. It is also said that this means: the Master of the jinn and human beings. It is also said that (Lord of the worlds) means the Creator of all created beings, their Provider and the One Who changes them from one state into another."
ٱلرَّحْمـٰنِ ٱلرَّحِيمِ,(The Beneficent) the Gentle. (The Merciful) the Gentle.
مَـٰلِكِ يَوْمِ ٱلدِّينِ,"(Owner of the Day of Judgement) the Arbitrator on the Day of Judgement which is the Day of Reckoning and settlement of disputes between created beings, i.e. the Day when people are judged according to their deeds; there is no judge save Him."
إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,"(Thee (alone) we worship), we turn to you as the only One God and we obey you; ((Thee alone) we ask for help), we ask for your help in worshipping You and from You we obtain confidence in obeying You."
ٱهْدِنَا ٱلصِّرَاطَ ٱلْمُسْتَقِيمَ,"(Guide us to the straight path) guide us to the established Religion that You are pleased with, i.e. Islam. It is also said that this means: make us firm in holding fast to it. It is also said that the straight path refers to Allah's Book, and guidance to this means guidance to that which it prescribes as lawful or unlawful and to the exposition of its content."
صِرَاطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِم وَلاَ ٱلضَّآلِّينَ,"(The path of those whom Thou hast favoured), the Religion of those whom You have blessed with the Religion and who are the followers of Moses, before the blessings of Allah deserted them, in that He shaded them with a white cloud and sent down on them honey and quails when they were in the wilderness. It is also said that (the path of those whom Thou hast favoured) refers to the prophets. (Not of those who earn Thine anger), not the religion of the Jews who earned Your anger, whom You forsook and whose hearts You did not protect until they became complaisant. (Nor of those who go astray), nor the religion of the Christians who erred from Islam. Amen: thus shall be its custodians; it is also said that Amen means let it be so. It is also said that it means: O our Lord! Do with us as we have requested You. And Allah knows best'."
الۤـمۤ,"And on his authority>'Abdullah ibn al-Mubarak>'Ali Ibn Ishaq al-Samarqandi>Muhammad Ibn Marwan>al-Kalbi>Abu Salih that Ibn 'Abbas said, concerning Allah's saying, Exalted is He, (Alif. Lam. Mim): 'Alif stands for Allah, Lam for the Archangel Gabriel (Jibril) and Mim for Muhammad. It is also said Alif stands for Allah's blessings (ala'uh), Lam for His kindness (lutfuh) and Mim for His dominion (mulkuh). It is also said that Alif stands for the beginning of the Name Allah, Lam for the beginning of His Name the Kind (al-Latif) and Mim for the beginning of His Name the Glorious (al-Majid). It is also said that only Allah knows the meaning of these disjointed letters; while some maintain that it is an oath that He made."
ذَلِكَ ٱلْكِتَابُ لاَ رَيْبَ فِيهِ هُدًى لِّلْمُتَّقِينَ,"(This is the Scripture), i.e. this is the Book that Muhammad (pbuh) is reciting to you; (whereof there is no doubt). There is no doubt that it has come from Me; if you believe in it, I shall guide you, but if you do not believe in it, I will torment you. It is also said that (This is the Scripture) refers to the Guarded Tablet. It is also said that this means: This is the Book that I promised to reveal to you on the Day of the Covenant (yawm al-mithaq). It is also said (this is the Scripture whereof there is no doubt) means there is no doubt that the description and traits of Muhammad are found in the Torah and Gospel. (A guidance unto those who ward off (evil)), means that the Qur'an is an exposition for those who ward off disbelief, associating partners with Allah and indecencies. It is also said that it means: it is a favour to the believers; or that it means it is a mercy unto those who ward off evil from among the community of Muhammad (pbuh)."
ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلٰوةَ وَممَّا رَزَقْنَاهُمْ يُنْفِقُونَ,"(Who believe in the unseen), that which is hidden from them such as Paradise, hell, the Bridge over hell, the Scale, the Resurrection, the Reckoning, etc. It is also said that this means: that they believe in the unseen which is revealed in the Qur'an and also in that which is not revealed therein. It is also said that the unseen is Allah Himself. (And establish worship), they perform to completion the five prescribed prayers, including the ablution that precedes them, the bowing and prostrations which are parts of them and also what is obligated in these prayers in terms of appointed timing. (And spend of that We have bestowed upon them), and of that which We have given them of wealth they give to charity. It is also said that this means: they give the poor-due (Zakat) from their wealth. The reference here is to Abu Bakr and his companions."
وٱلَّذِينَ يُؤْمِنُونَ بِمَآ أُنْزِلَ إِلَيْكَ وَمَآ أُنْزِلَ مِن قَبْلِكَ وَبِٱلآخِرَةِ هُمْ يُوقِنُونَ,"(And who believe in that which is revealed unto thee (Muhammad)) of the Qur'an (and that which was revealed before you) of scriptures given to all the prophets, (and are certain of the Hereafter), they believe in resurrection after death and in the bliss of Paradise, referring here specifically to 'Abdullah Ibn Salam and his followers."
أُوْلَـٰئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ وَأُوْلَـٰئِكَ هُمُ ٱلْمُفْلِحُونَ,"(These) who have these traits, (are on guidance from their Lord), they enjoy favour, mercy and clear exposition that has come down from their Lord, (and these are the successful ones), the ones who shall escape Allah's wrath and torment. It is also said that this refers to those who have apprehended and found what they were seeking and have escaped the evil of that from which they were fleeing, and these are the Companions of Muhammad (pbuh)."
إِنَّ ٱلَّذِينَ كَفَرُواْ سَوَآءٌ عَلَيْهِمْ ءَأَنذَرْتَهُمْ أَمْ لَمْ تُنْذِرْهُمْ لاَ يُؤْمِنُونَ,"(As for the disbelievers) who remain firm in their disbelief, (whether thou warn them), instil fear into them by means of the Qur'an, (or thou warm them not) or you do not instil fear into them, (it is all one for them; they believe not), they do not want to believe. It is also said that they will not believe as it is in Allah's knowledge."
خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهمْ وَعَلَىٰ سَمْعِهِمْ وَعَلَىٰ أَبْصَٰرِهِمْ غِشَاوَةٌ وَلَهُمْ عَذَابٌ عظِيمٌ,"(Allah hath sealed their hearts), stamped their hearts, (and their hearing, and on their eyes there is a covering), on their eyes there is a shield (and theirs will be an awful doom) an awful torment in the Hereafter. This refers in particular to the Jews Ka'b Ibn al-Ashraf, Huyayy Ibn Akhtab and Judayy Ibn Akhtab. It is also said that it refers to the idolaters of Mecca 'Utbah [Ibn Rabi'ah], Shaybah [Ibn Rabi'ah] and al-Walid [Ibn al-Mughirah]."
وَمِنَ ٱلنَّاسِ مَن يَقُولُ آمَنَّا بِٱللَّهِ وَبِٱلْيَوْمِ ٱلآخِرِ وَمَا هُم بِمُؤْمِنِينَ,"(And of mankind are some who say: We believe in Allah), i.e. in the open and we are genuine in our belief, (and the last Day) and we believe in resurrection after death whereupon our deeds shall be requited, (when they believe not) i.e. secretly nor are they genuine in their belief."
