Name,Surah,Ayat,Verse
The Opening,1,1,"In the Name of God, the Merciful, the Compassionate"
The Opening,1,2,"Praise belongs to God, the Lord of all Being,"
The Opening,1,3,"the All-merciful, the All-compassionate,"
The Opening,1,4,the Master of the Day of Doom.
The Opening,1,5,Thee only we serve; to Thee alone we pray for succour.
The Opening,1,6,"Guide us in the straight path,"
The Opening,1,7,"the path of those whom Thou hast blessed, not of those against whom Thou art wrathful, nor of those who are astray."
The Cow,2,1,Alif Lam Mim
The Cow,2,2,"That is the Book, wherein is no doubt, a guidance to the godfearing"
The Cow,2,3,"who believe in the Unseen, and perform the prayer, and expend of that We have provided them;"
The Cow,2,4,"who believe in what has been sent down to thee and what has been sent down before thee, and have faith in the Hereafter;"
The Cow,2,5,"those are upon guidance from their Lord, those are the ones who prosper."
The Cow,2,6,"As for the unbelievers, alike it is to them whether thou hast warned them or hast not warned them, they do not believe."
The Cow,2,7,"God has set a seal on their hearts and on their hearing, and on their eyes is a covering, and there awaits them a mighty chastisement."
The Cow,2,8,"And some men there are who say, ’We believe in God and the Last Day’; but they are not believers."
The Cow,2,9,"They would trick God and the believers, and only themselves they deceive, and they are not aware."
The Cow,2,10,"In their hearts is a sickness, and God has increased their sickness, and there awaits them a painful chastisement for that they have cried lies."
The Cow,2,11,"When it is said to them, ’Do not corruption in the land’, they say, ’We are only ones that put things right.’"
The Cow,2,12,"Truly, they are the workers of corruption but they are not aware."
The Cow,2,13,"When it is said to them, ’Believe as the people believe’, they say, ’Shall we believe, as fools believe?’ Truly, they are the foolish ones, but they do not know."
The Cow,2,14,"When they meet those who believe, they say, ’We believe’; but when they go privily to their Satans, they say, ’We are with you; we were only mocking.’"
The Cow,2,15,"God shall mock them, and shall lead them on blindly wandering in their insolence."
The Cow,2,16,"Those are they that have bought error at the price of guidance, and their commerce has not profited them, and they are not right-guided."
The Cow,2,17,"The likeness of them is as the likeness of a man who kindled a fire, and when it lit all about him God took away their light, and left them in darkness unseeing"
The Cow,2,18,"deaf, dumb, blind -- so they shall not return;"
The Cow,2,19,"or as a cloudburst out of heaven in which is darkness, and thunder, and lightning -- they put their fingers in their ears against the thunderclaps, fearful of death; and God encompasses the unbelievers;"
The Cow,2,20,"the lightning wellnigh snatches away their sight; whensoever it gives them light, they walk in it, and when the darkness is over them, they halt; had God willed, He would have taken away their hearing and their sight. Truly, God is powerful over everything."
The Cow,2,21,"O you men, serve your Lord Who created you, and those that were before you; haply so you will be godfearing;"
The Cow,2,22,"who assigned to you the earth for a couch, and heaven for an edifice, and sent down out of heaven water, wherewith He brought forth fruits for your provision; so set not up compeers to God wittingly."
The Cow,2,23,"And if you are in doubt concerning that We have sent down on Our servant, then bring a sura like it, and call your witnesses, apart from God, if you are truthful."
The Cow,2,24,"And if you do not -- and you will not -- then fear the Fire, whose fuel is men and stones, prepared for unbelievers."
The Cow,2,25,"Give thou good tidings to those who believe and do deeds of righteousness, that for them await gardens underneath which rivers flow; whensoever they are provided with fruits therefrom they shall say, ’This is that wherewithal we were provided before’; that they shall be given in perfect semblance; and there for them shall be spouses purified; therein they shall dwell forever."
The Cow,2,26,"God is not ashamed to strike a similitude even of a gnat, or aught above it. As for the believers, they know it is the truth from their Lord; but as for unbelievers, they say, ’What did God desire by this for a similitude?’ Thereby He leads many astray, and thereby He guides many; and thereby He leads none astray save the ungodly"
The Cow,2,27,"such as break the covenant of God after its solemn binding, and such as cut what God has commanded should be joined, and such as do corruption in the land -- they shall be the losers."
The Cow,2,28,"How do you disbelieve in God, seeing you were dead and He gave you life, then He shall make you dead, then He shall give you life, then unto Him you shall be returned?"
The Cow,2,29,"It is He who created for you all that is in the earth, then He lifted Himself to heaven and levelled them seven heavens; and He has knowledge of everything."
The Cow,2,30,"And when thy Lord said to the angels, ’I am setting in the earth a viceroy.’ They said, ’What, wilt Thou set therein one who will do corruption there, and shed blood, while We proclaim Thy praise and call Thee Holy?’ He said, ’Assuredly I know that you know not.’"
The Cow,2,31,"And He taught Adam the names, all of them; then He presented them unto the angels and said, ’Now tell Me the names of these, if you speak truly.’"
The Cow,2,32,"They said, ’Glory be to Thee! We know not save what Thou hast taught us. Surely Thou art the All-knowing, the All-wise.’"
The Cow,2,33,"He said, ’Adam, tell them their names.’ And when he had told them their names He said, ’Did I not tell you I know the unseen things of the heavens and earth? And I know what things you reveal, and what you were hiding.’"
The Cow,2,34,"And when We said to the angels, ’Bow yourselves to Adam’; so they bowed themselves, save Iblis; he refused, and waxed proud, and so he became one of the unbelievers."
The Cow,2,35,"And We said, ’Adam, dwell thou, and thy wife, in the Garden, and eat thereof easefully where you desire; but draw not nigh this tree, lest you be evildoers.’"
The Cow,2,36,"Then Satan caused them to slip therefrom and brought them out of that they were in; and We said, ’Get you all down, each of you an enemy of each; and in the earth a sojourn shall be yours, and enjoyment for a time.’"
The Cow,2,37,"Thereafter Adam received certain words from his Lord, and He turned towards him; truly He turns, and is All-compassionate."
The Cow,2,38,"We said, ’Get you down out of it, all together; yet there shall come to you guidance from Me, and whosoever follows My guidance, no fear shall be on them, neither shall they sorrow."
The Cow,2,39,"As for the unbelievers who cry lies to Our signs, those shall be the inhabitants of the Fire, therein dwelling forever.’"
The Cow,2,40,"Children of Israel, remember My blessing wherewith I blessed you, and fulfil My covenant and I shall fulfil your covenant; and have awe of Me."
The Cow,2,41,"And believe in that I have sent down, confirming that which is with you, and be not the first to disbelieve in it. And sell not My signs for a little price; and fear you Me."
The Cow,2,42,"And do not confound the truth with vanity, and do not conceal the truth wittingly."
The Cow,2,43,"And perform the prayer, and pay the alms, and bow with those that bow."
The Cow,2,44,"Will you bid others to piety, and forget yourselves while you recite the Book? Do you not understand?"
The Cow,2,45,"Seek you help in patience and prayer, for grievous it is, save to the humble"
The Cow,2,46,who reckon that they shall meet their Lord and that unto Him they are returning.
