Name,Surah,Ayat,Verse
The Opening,1,1,"IN THE NAME OF GOD, THE MOST GRACIOUS, THE DISPENSER OF GRACE"
The Opening,1,2,"ALL PRAISE is due to God alone, the Sustainer of all the worlds,"
The Opening,1,3,"the Most Gracious, the Dispenser of Grace,"
The Opening,1,4,Lord of the Day of Judgment!
The Opening,1,5,Thee alone do we worship; and unto Thee alone do we turn for aid.
The Opening,1,6,Guide us the straight way –
The Opening,1,7,"the way of those upon whom Thou hast bestowed Thy blessings, not of those who have been condemned [by Thee], nor of those who go astray!"
The Opening,1,8,"* v.1 : According to most of the authorities, this invocation (which occurs at the beginning of every sūrah with the exception of sūrah 9) constitutes an integral part of “The Opening” and is, therefore, numbered as verse 1. In all other instances, the invocation “in the name of God” precedes the sūrah as such, and is not counted among its verses. – Both the divine epithets rahmān and rahīm are derived from the noun rahmah, which signifies “mercy,” “compassion,” “loving tenderness” and, more comprehensively, “grace.” From the very earliest times, Islamic scholars have endeavoured to define the exact shades of meaning which differentiate the two terms. The best and simplest of these explanations is undoubtedly the one advanced by Ibn al-Qayyim (as quoted in Manār I,48): the term rahmān circumscribes the quality of abounding grace inherent in, and inseparable from, the concept of God’s Being, whereas rahīm expresses the manifestation of that grace in, and its effect upon, His creation – in other words, an aspect of His activity."
The Opening,1,9,"* v.2 : In this instance, the term “worlds” denotes all categories of existence both in the physical and the spiritual sense. The Arabic expression rabb – rendered by me as “Sustainer” – embraces a wide complex of meanings not easily expressed by a single term in another language. It comprises the ideas of having a just claim to the possession of anything and, consequently, authority over it, as well as of rearing, sustaining and fostering anything from its inception to its final completion. Thus, the head of a family is called rabb ad-dār (“master of the house”) because he has authority over it and is responsible for its maintenance; similarly, his wife is called rabbat ad-dār (“mistress of the house”). Preceded by the definite article al, the designation rabb is applied, in the Qur?ān, exclusively to God as the sole fosterer and Sustainer of all creation – objective as well as conceptual – and therefore the ultimate source of all authority."
The Opening,1,10,"* v.7 : I.e., by vouchsafing to them prophetic guidance and enabling them to avail themselves thereof."
