Name,Surah,Ayat,Verse
The Opening,1,1,"All praise be to Allah alone, the Sustainer of all the worlds,"
The Opening,1,2,"Most Compassionate, Ever-Merciful,"
The Opening,1,3,Master of the Day of Judgment.
The Opening,1,4,(O Allah!) You alone do we worship and to You alone do we look for help.
The Opening,1,5,"Show us the straight path,"
The Opening,1,6,"The path of those upon whom You have bestowed Your favours,"
The Opening,1,7,"Not of those who have been afflicted with wrath, nor of those who have gone astray."
The Cow,2,1,"Alif, Lam, Mim. (Only Allah and the Messenger [blessings and peace be upon him] know the real meaning.)"
The Cow,2,2,(This is) the Glorious Book in which there is no chance of doubt. (It is) a guide for those who guard against evil and fear Allah:
The Cow,2,3,"Those who believe in the unseen, and establish Prayer (fulfilling all its requisites) and spend (in Our way) out of what We have given them;"
The Cow,2,4,"And those who believe in (all) that which has been revealed to you, and that which was revealed before you, and also have (perfect) faith in the Hereafter."
The Cow,2,5,"It is they who follow guidance from their Lord, and it is they who shall achieve real success."
The Cow,2,6,"Verily, those who have adopted disbelief, it is the same for them whether you warn them or you warn them not, they will not believe."
The Cow,2,7,"Allah (as a result of their own choice) has set a seal on their hearts and their ears, and there is a blindfold (set) over their eyes. And for them there is a severe torment."
The Cow,2,8,"And amongst people there are (also) some who say: ‘We believe in Allah and the Last Day,’ whereas they are not (at all) believers."
The Cow,2,9,"They seek to deceive Allah (i.e., the Messenger) and the believers, but (in fact) they deceive only themselves and they are not aware of it.*"
The Cow,2,10,"In their hearts is a disease. So Allah has worsened their disease. And for them, there is painful punishment because they used to tell lies."
The Cow,2,11,"When it is said to them: ‘Do not spread disorder in the land,’ they say: ‘It is we who reform.’"
The Cow,2,12,"Beware! (Truly) it is they who spread disorder, but they do not have any sense (of it) at all."
The Cow,2,13,"And when it is said to them: ‘Believe as (other) people have believed,’ they say: ‘Shall we also believe (as those) fools have believed?’ Beware! (Certainly) they are themselves fools, but they do not know (their foolishness and low level)."
The Cow,2,14,"And when they (the hypocrites) meet the believers, they say: ‘We (too) have believed,’ and when they meet their devils in private, they assure them: ‘We are certainly with you. We only mock (the believers).’"
The Cow,2,15,"Allah punishes them for their mockery, and lets them loose (so that they meet their fate). So they are wandering blindly in their transgression."
The Cow,2,16,"These are the people who have purchased misguidance for guidance; but their trade did not yield any gain, and they did not know the way to a (gainful and profitable) bargain."
The Cow,2,17,"Their example is like a person who lit a fire (in surrounding darkness), and when it brightened the environment, Allah took away their light and left them in total darkness. Now they cannot see anything."
The Cow,2,18,"They are deaf, dumb and blind. So they will not return (to the right path)."
The Cow,2,19,"Or their example is like a rain pouring from the sky wherein there are layers of darkness and thunder and lightning (as well). They thrust their fingers into their ears, fearing death due to the thunder. And Allah has encompassed the disbelievers."
The Cow,2,20,"It seems as if the lightning would snatch away their sight. When their (surroundings) are lit with a flash, they start walking, and when darkness covers them, they stand still. And if Allah had willed, He would have completely deprived them of hearing and sight. Surely, Allah is All-Powerful to do everything."
The Cow,2,21,"O people! Worship your Lord, Who created you and (also) those who were before you, so that you become Godwary."
The Cow,2,22,"(He is the One) Who spread out the earth for you as a floor, and erected the sky as a mansion, and showered water from the sky and brought forth with that (a variety of) fruits for your nourishment. So, do not set up equals with Allah whilst you know (the truth of the matter)."
The Cow,2,23,"And if you are in doubt about this (Book) which We have revealed to Our (exalted) servant, then produce only one chapter like this. And (for this task) you may call upon (all) your helpers apart from Allah if you are true (in your doubt and denial)."
The Cow,2,24,"But if you fail to do it—and you shall never be able to do it—then guard yourselves against the Fire whose fuel is human beings (the disbelievers) and stones (their idols), prepared for disbelievers."
The Cow,2,25,"And, (O Beloved Prophet,) give glad tidings to those who believe and keep doing pious deeds that for them there are Gardens (of Paradise) beneath which streams flow. When some fruit will be given to them from these Gardens to eat, they will say (looking at its appearance): ‘This is the same fruit that was provided to us (in the world) before,’ whereas they will be given fruits resembling (only in appearance). In Paradise, there will (also) be chaste spouses for them, and they shall abide there for ever."
The Cow,2,26,"Indeed, Allah is not reluctant to narrate some example (for better comprehension), whether of a mosquito or something even more (disgusting) than that. The believers know well that this example is (a pointer to the truth) from their Lord. But those who have adopted disbelief ask (on hearing): ‘What could Allah mean by this example?’ (In this way) Allah holds many astray, and guides many aright with the same example. And by this He leaves in error only those who are (already) disobedient."
The Cow,2,27,"(These disobedient people are those) who break the promise of Allah after having confirmed it, and break that (relationship) which Allah has ordered to be joined, and create disorder in the land. It is they who are the losers."
The Cow,2,28,"How can you deny Allah, whereas you were lifeless and He gave you life, then He will cause you to die and will again bring you back to life, and then to Him you will be returned?"
