surah_no,surah_name_en,surah_name_ar,surah_name_roman,ayah_no_surah,ayah_no_quran,ayah_ar,ayah_en,ruko_no,juz_no,manzil_no,hizb_quarter,total_ayah_surah,total_ayah_quran,place_of_revelation,sajah_ayah,sajdah_no,no_of_word_ayah,list_of_words
1,The Opener,الفاتحة,Al-Fatihah,1,1,بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ,"In the Name of Allah—the Most Compassionate, Most Merciful.",1,1,1,1,7,6236,Meccan,FALSE,NA,4,"[بِسْمِ,ٱللَّهِ,ٱلرَّحْمَٰنِ,ٱلرَّحِيمِ]"
1,The Opener,الفاتحة,Al-Fatihah,2,2,ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَٰلَمِينَ,"All praise is for Allah—Lord of all worlds,",1,1,1,1,7,6236,Meccan,FALSE,NA,4,"[ٱلْحَمْدُ,لِلَّهِ,رَبِّ,ٱلْعَٰلَمِينَ]"
1,The Opener,الفاتحة,Al-Fatihah,3,3,ٱلرَّحْمَٰنِ ٱلرَّحِيمِ,"the Most Compassionate, Most Merciful,",1,1,1,1,7,6236,Meccan,FALSE,NA,2,"[ٱلرَّحْمَٰنِ,ٱلرَّحِيمِ]"
1,The Opener,الفاتحة,Al-Fatihah,4,4,مَٰلِكِ يَوْمِ ٱلدِّينِ,Master of the Day of Judgment.,1,1,1,1,7,6236,Meccan,FALSE,NA,3,"[مَٰلِكِ,يَوْمِ,ٱلدِّينِ]"
1,The Opener,الفاتحة,Al-Fatihah,5,5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,You ˹alone˺ we worship and You ˹alone˺ we ask for help.,1,1,1,1,7,6236,Meccan,FALSE,NA,4,"[إِيَّاكَ,نَعْبُدُ,وَإِيَّاكَ,نَسْتَعِينُ]"
1,The Opener,الفاتحة,Al-Fatihah,6,6,ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ,"Guide us along the Straight Path,",1,1,1,1,7,6236,Meccan,FALSE,NA,3,"[ٱهْدِنَا,ٱلصِّرَٰطَ,ٱلْمُسْتَقِيمَ]"
1,The Opener,الفاتحة,Al-Fatihah,7,7,صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ,"the Path of those You have blessed—not those You are displeased with, or those who are astray.",1,1,1,1,7,6236,Meccan,FALSE,NA,9,"[صِرَٰطَ,ٱلَّذِينَ,أَنْعَمْتَ,عَلَيْهِمْ,غَيْرِ,ٱلْمَغْضُوبِ,عَلَيْهِمْ,وَلَا,ٱلضَّآلِّينَ]"
2,The Cow,البقرة,Al-Baqarah,1,8,الٓمٓ,Alif-Lãm-Mĩm.,2,1,1,1,286,6236,Medinan,FALSE,NA,1,[الٓمٓ]
2,The Cow,البقرة,Al-Baqarah,2,9,ذَٰلِكَ ٱلْكِتَٰبُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًۭى لِّلْمُتَّقِينَ,This is the Book! There is no doubt about it,2,1,1,1,286,6236,Medinan,FALSE,NA,9,"[ذَٰلِكَ,ٱلْكِتَٰبُ,لَا,رَيْبَ,ۛ,فِيهِ,ۛ,هُدًۭى,لِّلْمُتَّقِينَ]"
2,The Cow,البقرة,Al-Baqarah,3,10,ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقْنَٰهُمْ يُنفِقُونَ,"who believe in the unseen, establish prayer, and donate from what We have provided for them,",2,1,1,1,286,6236,Medinan,FALSE,NA,8,"[ٱلَّذِينَ,يُؤْمِنُونَ,بِٱلْغَيْبِ,وَيُقِيمُونَ,ٱلصَّلَوٰةَ,وَمِمَّا,رَزَقْنَٰهُمْ,يُنفِقُونَ]"
