Name,Surah,Ayat,Verse
The Opening,1,1,"In the name of God, Most Gracious, Most Merciful."
The Opening,1,2,"Praise be to God, the Cherisher and Sustainer of the worlds;"
The Opening,1,3,"Most Gracious, Most Merciful;"
The Opening,1,4,Master of the Day of Judgment.
The Opening,1,5,"Thee do we worship, and Thine aid we seek."
The Opening,1,6,"Show us the straight way,"
The Opening,1,7,"The way of those on whom Thou hast bestowed Thy Grace, those whose (portion) is not wrath, and who go not astray."
The Opening,1,8,"* v.2 : The Arabic word Rabb, usually translated Lord, has also the meaning of cherishing, sustaining, bringing to maturity. God cares for all the worlds He has created."
The Opening,1,9,"* v.5 : On realizing in our souls God’s love and care, His grace and mercy, and His power and justice (as Ruler of the Day of Judgment), the immediate result is that we bend in the act of worship, and see both our shortcomings and His all- sufficient power. The emphatic form means that not only do we reach the position of worshipping God and asking for His help, but we worship Him alone and ask for His aid only. For there is none other than He worthy of our devotion and able to help us. The plural ""we"" indicates that we associate ourselves with all who seek God, thus strengthening ourselves and strengthening them in a fellowship of faith."
The Opening,1,10,"* v.6 : If we translate by the English word ""guide,"" we shall have to say: ""Guide us to and in the straight Way."" For we many be wandering aimlessly, and the first step is to find the Way; and the second need is to keep in the Way: our own wisdom may fail in either case. The straight Way is often the narrow Way, or the steep Way, which many people shun (xc.11). By the world’s perversity the straight Way is sometimes stigmatized and the crooked Way praised. How are we to judge? We must ask for God’s guidance. With a little spiritual insight we shall see which are the people who walk in the light of God’s grace, and which are those that walk in the darkness of Wrath. This also would help our judgment."
The Opening,1,11,"* v.7 : Note that the words relating to Grace are connected actively with God; those relating to Wrath are impersonal. In the one case God’s Mercy encompasses us beyond our deserts. In the other case our own actions are responsible for the Wrath, the negative of Grace, Peace, or Harmony."
The Opening,1,12,"* Are there two categories? - those who are in the darkness of Wrath and those who stray? The first are those who deliberately break God’s law; the second those who stray out of carelessness or negligence. Both are responsible for their own acts or omissions. In opposition to both are the people who are in the light of God’s Grace: for His Grace not only protects them from active wrong (if they will only submit their will to Him) but also from straying into paths of temptation or carelessness. The negative gair should be construed as applying not to the way, but as describing men protected from two dangers by God’s Grace."
The Cow,2,1,A.L.M.
The Cow,2,2,"This is the Book; in it is guidance sure, without doubt, to those who fear God"
The Cow,2,3,"Who believe in the Unseen, are steadfast in prayer, and spend out of what We have provided for them;"
The Cow,2,4,"And who believe in the Revelation sent to thee, and sent before thy time, and (in their hearts) have the assurance of the Hereafter."
The Cow,2,5,"They are on (true) guidance, from their Lord, and it is these who will prosper."
The Cow,2,6,"As to those who reject Faith, it is the same to them whether thou warn them or do not warn them; they will not believe"
The Cow,2,7,"God hath set a seal on their hearts and on their hearing, and on their eyes is a veil; great is the penalty they (incur)."
The Cow,2,8,"Of the people there are some who say: ""We believe in God and the Last Day;"" but they do not (really) believe."
The Cow,2,9,"Fain would they deceive Allah and those who believe, but they only deceive themselves, and realise (it) not!"
The Cow,2,10,"In their hearts is a disease; and Allah has increased their disease: And grievous is the penalty they (incur), because they are false (to themselves)."
The Cow,2,11,"When it is said to them: ""Make not mischief on the earth,"" they say: ""Why, we only Want to make peace!"""
The Cow,2,12,"Of a surety, they are the ones who make mischief, but they realise (it) not."
The Cow,2,13,"When it is said to them: ""Believe as the others believe:"" They say: ""Shall we believe as the fools believe?"" Nay, of a surety they are the fools, but they do not know."
The Cow,2,14,"When they meet those who believe, they say: ""We believe;"" but when they are alone with their evil ones, they say: ""We are really with you: We (were) only jesting."""
The Cow,2,15,"God will throw back their mockery on them, and give them rope in their trespasses; so they will wander like blind ones (To and fro)."
The Cow,2,16,"These are they who have bartered Guidance for error: But their traffic is profitless, and they have lost true direction,"
The Cow,2,17,"Their similitude is that of a man who kindled a fire; when it lighted all around him, God took away their light and left them in utter darkness. So they could not see."
The Cow,2,18,"Deaf, dumb, and blind, they will not return (to the path)."
The Cow,2,19,"Or (another similitude) is that of a rain-laden cloud from the sky: In it are zones of darkness, and thunder and lightning: They press their fingers in their ears to keep out the stunning thunder-clap, the while they are in terror of death. But God is ever round the rejecters of Faith!"
The Cow,2,20,"The lightning all but snatches away their sight; every time the light (Helps) them, they walk therein, and when the darkness grows on them, they stand still. And if God willed, He could take away their faculty of hearing and seeing; for God hath power over all things."
The Cow,2,21,"O ye people! Adore your Guardian-Lord, who created you and those who came before you, that ye may have the chance to learn righteousness;"
The Cow,2,22,"Who has made the earth your couch, and the heavens your canopy; and sent down rain from the heavens; and brought forth therewith Fruits for your sustenance; then set not up rivals unto God when ye know (the truth)."
The Cow,2,23,"And if ye are in doubt as to what We have revealed from time to time to Our servant, then produce a Sura like thereunto; and call your witnesses or helpers (If there are any) besides God, if your (doubts) are true."
The Cow,2,24,"But if ye cannot- and of a surety ye cannot- then fear the Fire whose fuel is men and stones,- which is prepared for those who reject Faith."
The Cow,2,25,"But give glad tidings to those who believe and work righteousness, that their portion is Gardens, beneath which rivers flow. Every time they are fed with fruits therefrom, they say: ""Why, this is what we were fed with before,"" for they are given things in similitude; and they have therein companions pure (and holy); and they abide therein (for ever)."
The Cow,2,26,"God disdains not to use the similitude of things, lowest as well as highest. Those who believe know that it is truth from their Lord; but those who reject Faith say: ""What means God by this similitude?"" By it He causes many to stray, and many He leads into the right path; but He causes not to stray, except those who forsake (the path),-"
The Cow,2,27,"Those who break God’s Covenant after it is ratified, and who sunder what God Has ordered to be joined, and do mischief on earth: These cause loss (only) to themselves."
The Cow,2,28,"How can ye reject the faith in God?- seeing that ye were without life, and He gave you life; then will He cause you to die, and will again bring you to life; and again to Him will ye return."
The Cow,2,29,"It is He Who hath created for you all things that are on earth; Moreover His design comprehended the heavens, for He gave order and perfection to the seven firmaments; and of all things He hath perfect knowledge."
The Cow,2,30,"Behold, thy Lord said to the angels: ""I will create a vicegerent on earth."" They said: ""Wilt Thou place therein one who will make mischief therein and shed blood?- whilst we do celebrate Thy praises and glorify Thy holy (name)?"" He said: ""I know what ye know not."""
The Cow,2,31,"And He taught Adam the nature of all things; then He placed them before the angels, and said: ""Tell me the nature of these if ye are right."""
The Cow,2,32,"They said: ""Glory to Thee, of knowledge We have none, save what Thou Hast taught us: In truth it is Thou Who art perfect in knowledge and wisdom."""
The Cow,2,33,"He said: ""O Adam! Tell them their natures."" When he had told them, God said: ""Did I not tell you that I know the secrets of heaven and earth, and I know what ye reveal and what ye conceal?"""
The Cow,2,34,"And behold, We said to the angels: ""Bow down to Adam"" and they bowed down. Not so Iblis: he refused and was haughty: He was of those who reject Faith."
