Name,Surah,Ayat,Verse
The Opening,1,1,"In the Name of God, the Clement, the Merciful. [UM]"
The Opening,1,2,"In the Name of God, the Infinitely Good, the Ever-Merciful. [UM]"
The Opening,1,3,"In the Name of God, the All-Merciful, the Merciful. [SS]"
The Opening,1,4,"In the Name of God, the Infinitely Good, the All-Merciful. [M] [SQCI]"
The Opening,1,5,"In the Name of God, the Infinitely Good, the Boundlessly Merciful. [SA]"
The Opening,1,6,"Praise be to God, the Lord of the worlds. [SS] [M]"
The Opening,1,7,"The Infinitely Good, the All-Merciful. [M]"
The Opening,1,8,Owner of the Day of Judgement. [UM]
The Opening,1,9,Master of the day of judgement. [M]
The Opening,1,10,Thee we worship and from Thee we seek help. [UM]
The Opening,1,11,"It is Thee we adore, and it is in Thee we seek refuge. [UM]"
The Opening,1,12,"Thee we worship, and in Thee we seek help. [M]"
The Opening,1,13,Lead us on the straight path. [UM]
The Opening,1,14,Guide us upon the way of Transcendence. [UM]
The Opening,1,15,Lead us along the straight path. [OS] [SS]
The Opening,1,16,Guide us up the ascending path. [WS] [RS]
The Opening,1,17,Guide us upon the straight path. [M] [SA]
The Opening,1,18,"The Path of those to whom Thou accordest Thy Grace, not of those who incur Thy wrath, nor of those who go astray. [UM]"
The Opening,1,19,"Those upon whom is Thy Grace, not those upon whom is Thy Wrath, nor those who go astray. [UM]"
The Opening,1,20,The way of those on whom Thy Grace is not those who deserve anger nor those who are astray. [UM]
The Opening,1,21,"The path of those on whom Thy grace is, not those on whom Thine anger is, nor those who are astray. [M]"
The Opening,1,22,Sources Used
The Opening,1,23,• Unpublished Material (1938-2005) [UM]
The Opening,1,24,BOOKS
The Opening,1,25,• The Book of Certainty (1952) [BC]
The Opening,1,26,• A Sufi Saint of the Twentieth Century (1961) [SS]
The Opening,1,27,• What is Sufism (1975) [WS]
The Opening,1,28,• The Quranic Art of Calligraphy and Illumination (1976) [QACI]
The Opening,1,29,• Muhammad (1983) [M]
The Opening,1,30,• Symbol and Archetype (1991) [SA]
The Opening,1,31,• Sufi Poems (2004) [SP]
The Opening,1,32,• Mecca (2004) [Mec.]
The Opening,1,33,• Return to the Spirit (2005) [RS]
The Opening,1,34,• Splendours of Qur’an Calligraphy and Illumination (2005) [SQCI]
The Opening,1,35,ARTICLES
The Opening,1,36,• “Proofs of Islam”(1954). Islamic Cultural Centre. [PI]
The Opening,1,37,"• “The Islamic and Christian Conceptions of the March of Time” (1954) The Islamic Quarterly, Vol.1 No.4. [ICCT]"
The Opening,1,38,"• “The Origins of Sufism (1956) The Islamic Quarterly, Vol.III No.1 [OS]"
The Opening,1,39,• “Sufism”: Religion in the Middle East (1969); ed.A.J. Arberry [S]
The Opening,1,40,• “Sufi Answers to Questions On Ultimate Reality”: Studies in Comparative Religions 1979 Summer/Autumn [SCR-SA]
The Opening,1,41,• “The Nature and Origin of Sufism”: Islamic Spirituality (1985) [NOS]
The Opening,1,42,"• “Mystical Poetry”: The Cambridge History of Arabic Literature, Vol.2 (1990) [MP]"
The Opening,1,43,LECTURES
The Opening,1,44,• “The Quranic Doctrine of the Afterlife” [L-QD]
The Opening,1,45,• “The Quranic Origins of Sufism” [L-QOS]
The Opening,1,46,• “Human Origins and Destinies According to the Great Religions of the World” [L-HOD]
The Opening,1,47,• “Metaphysics and the Perennial Philosophy” [L-MPP]
The Opening,1,48,• “An Introduction to Islam” [L-II]
The Opening,1,49,• “The Universality of the Quran” [L-UQ]
The Opening,1,50,• Private Talks [L-PT]
The Opening,1,51,Books without Quranic Ayaat
The Opening,1,52,• Collected Poems
The Opening,1,53,• Ancient Beliefs and Modern Superstitions
The Opening,1,54,• The Eleventh Hour
The Opening,1,55,• The Secret of Shakespeare
The Opening,1,56,Articles without Quranic Ayaat
The Opening,1,57,• “Signs of the Times”: Studies in Comparative Religions 1970 Winter
The Opening,1,58,"• “Ibn Aliwah” Encyclopedia of Islam, Second Edition"
The Opening,1,59,"• “Kabd” Encyclopedia of Islam, Second Edition"
The Cow,2,1,Alif-Lam-Mim [WS] [M]
The Cow,2,2,"That, beyond doubt, is the book- a guidance for the pious. [WS]"
The Cow,2,3,"This beyond doubt is the Book, a guidance unto the God-fearing. [M]"
The Cow,2,4,Who believe in the Unseen and perform the prayer and give of that which We have bestowed upon them. [M]
The Cow,2,5,"And who believe in that which is revealed unto thee and in that which was revealed before thee, and who are certain of the hereafter. [M]"
The Cow,2,6,These are they who follow guidance from their Lord and these are they who shall prosper. [M]
The Cow,2,7,"And of men there are some who say: We believe in God and in the last day, yet they are not believers. [M]"
The Cow,2,8,"And when it is said to them: “Cause not corruption in the land”, they say: “We are nothing if not reformers”. [SS]"
The Cow,2,9,"Nay, unknown to themselves they are workers of corruption. [SS]"
The Cow,2,10,"When they meet those who believe they say: we believe. And when they go apart unto their satans, they say: Verily we are with you; we did but mock. [M]"
The Cow,2,11,"…whensoever they are fed therein with a fruit, they shall say: “This is that wherewith we were fed aforetime”; and they shall be given the like thereof… [UM]"
The Cow,2,12,"…whensoever they are given to eat of the fruits of the garden, they say: ‘This is that which was given us aforetime; and it was given them in a likeness thereof… [BC]"
The Cow,2,13,"Give glad tidings unto those who believe and do deeds of piety that verily they shall have gardens of Paradise watered by flowing rivers. Whenever they are given to eat of one of the fruits thereof they say: This is that which we were given aforetime, and they were given a likeness of it… [RS] [L-QD]"
The Cow,2,14,Verily God disdaineth not to cite as symbol even a gnat or something smaller… [BC]
The Cow,2,15,..verily I am about to make on earth a viceregent… [BC]
The Cow,2,16,"And when We said unto the angels: ‘Make prostration before Adam’, they prostrated themselves all save Iblis… [BC]"
The Cow,2,17,"And We said: ‘O Adam, dwell thou and thy wife in the Paradise…’. And come not nigh this tree, for then would ye be transgressors. [BC]"
The Cow,2,18,"Then Adam received words from his Lord, Who relented towards him. Verily He is the Relenting, the Merciful. [BC]"
The Cow,2,19,"Then Adam received words from his Lord, Who relented unto him. Verily He is the Ever-Relenting, the All-Merciful. [RS] [L-QD]"
The Cow,2,20,"We said: ‘Go fallen hence, all of you together. Yet assuredly will I send unto you a guidance, and whosoever shall follow My guidance, no fear shall come upon them, neither shall they grieve. [BC]"
The Cow,2,21,"And when Moses asked for water for his people, and We said: “Strike with thy staff the rock”, and there gushed forth from it twelve springs, everyone knew his drinking place… [SA]"
The Cow,2,22,…not content with one food…prefer to take what is inferior in exchange for the superior… [SS]
The Cow,2,23,…as hard as stones or even harder.... [SS]
The Cow,2,24,"Then even after that your hearts grew hard so that they were like rocks or even harder, for verily there are rocks from which rivers gush forth, and there are rocks which split asunder so that water floweth from them… [SA]"
The Cow,2,25,Many of the people of the Book long to bring you back into disbelief after your belief through envy that is in their souls… [M]
The Cow,2,26,"…wheresover ye turn, there is the Face of God. [OS] [SS] [S] [QACI] [MP] [M] [SQCI]"
The Cow,2,27,"…wheresoever ye turn, there is the Face of God. Verily God is the Infinitely Vast, the Infinitely Knowing. [WS]"
The Cow,2,28,"Unto God are the East and the West, and whithersoever ye turn, there is the Face of God. Verily God is Infinitely Vast, Infinitely Knowing. [NOS]"
The Cow,2,29,"…wheresoever ye turn, there is the Face of God. Verily God is Vast, All-Knowing [SA]"
The Cow,2,30,"…wheresoever ye turn, there is the Face of God. Verily God is Infintely Vast, the All-Knowing. [L-PT]"
The Cow,2,31,…the religion of Abraham… [M]
The Cow,2,32,We have made you a middle people.... [WS]
The Cow,2,33,We have appointed you a middle nation…. [NOS]
The Cow,2,34,"We have seen the turning of thy face unto the sky; and now We shall turn thee a way that shall well please thee. So turn thou thy face towards the Inviolable Mosque; and wheresoever ye may be, turn ye your faces toward it.... [M]"
The Cow,2,35,And remember Me; I will remember you… [UM]
The Cow,2,36,Remember Me and I shall remember you… [UM]
The Cow,2,37,"O ye who believe, seek help of God in steadfastness and in prayer. Verily God is with the steadfast. [M]"
The Cow,2,38,"And say not “dead’ of those who have been slain in God’s path, for they are living, only ye perceive not. [M]"
The Cow,2,39,Count not those who have been slain in the way of God as dead. Nay they are living… [L-QD]
The Cow,2,40,"And We shall surely try you with something of fear and of hunger, and loss of goods and lives and harvesting. But give good tidings unto the steadfast. [M]"
The Cow,2,41,…verily we are for God and verily unto Him are we returning. [OS] [SS]
The Cow,2,42,…verily we are for God and verily unto Him we are returning. [WS]
The Cow,2,43,"Who say when a blow befalleth them: Verily we are for God, and verily unto Him are we returning. [M]"
The Cow,2,44,On these are blessings from their Lord and mercy; and these are the rightly guided. [M]
The Cow,2,45,…God wishes for you ease; He does not wish for you the difficult… [UM]
The Cow,2,46,…I answer the invocation of the invoker when he invoketh me… [BC] [WS]
The Cow,2,47,…I answer the prayer of the pray-er when he prayeth Me… [SS]
The Cow,2,48,"If My slaves ask thee of Me, say I am Near. I answer the prayer of the pray-er when he prayeth Me… [S] [SA]"
The Cow,2,49,"Fight them until there is no longer any sedition, and religion is all for God… [BC]"
The Cow,2,50,…remember God at the Holy Monument.... [SS]
The Cow,2,51,Remember God during the appointed days.... [SS]
