Name,Surah,Ayat,Verse
The Opening,1,1,"In the name of Allah , the Entirely Merciful, the Especially Merciful."
The Opening,1,2,"The Entirely Merciful, the Especially Merciful,"
The Opening,1,3,Sovereign of the Day of Recompense.
The Opening,1,4,It is You we worship and You we ask for help.
The Opening,1,5,Guide us to the straight path -
The Opening,1,6,"The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray."
The Cow,2,1,"Alif, Lam, Meem."
The Cow,2,2,"This is the Book about which there is no doubt, a guidance for those conscious of Allah -"
The Cow,2,3,"Who believe in the unseen, establish prayer, and spend out of what We have provided for them,"
The Cow,2,4,"And who believe in what has been revealed to you, [O Muhammad], and what was revealed before you, and of the Hereafter they are certain [in faith]."
The Cow,2,5,"Those are upon [right] guidance from their Lord, and it is those who are the successful."
The Cow,2,6,"Indeed, those who disbelieve - it is all the same for them whether you warn them or do not warn them - they will not believe."
The Cow,2,7,"Allah has set a seal upon their hearts and upon their hearing, and over their vision is a veil. And for them is a great punishment."
The Cow,2,8,"And of the people are some who say, ""We believe in Allah and the Last Day,"" but they are not believers."
The Cow,2,9,"They [think to] deceive Allah and those who believe, but they deceive not except themselves and perceive [it] not."
The Cow,2,10,"In their hearts is disease, so Allah has increased their disease; and for them is a painful punishment because they [habitually] used to lie."
The Cow,2,11,"And when it is said to them, ""Do not cause corruption on the earth,"" they say, ""We are but reformers."""
The Cow,2,12,"Unquestionably, it is they who are the corrupters, but they perceive [it] not."
The Cow,2,13,"And when it is said to them, ""Believe as the people have believed,"" they say, ""Should we believe as the foolish have believed?"" Unquestionably, it is they who are the foolish, but they know [it] not."
The Cow,2,14,"And when they meet those who believe, they say, ""We believe""; but when they are alone with their evil ones, they say, ""Indeed, we are with you; we were only mockers."""
The Cow,2,15,"Those are the ones who have purchased error [in exchange] for guidance, so their transaction has brought no profit, nor were they guided."
The Cow,2,16,"Their example is that of one who kindled a fire, but when it illuminated what was around him, Allah took away their light and left them in darkness [so] they could not see."
The Cow,2,17,"Deaf, dumb and blind - so they will not return [to the right path]."
The Cow,2,18,"Or [it is] like a rainstorm from the sky within which is darkness, thunder and lightning. They put their fingers in their ears against the thunderclaps in dread of death. But Allah is encompassing of the disbelievers."
