Name,Surah,Ayat,Verse
The Opening,1,1,"In the Name of God, the Compassionate, the Merciful:"
The Opening,1,2,Praise be to God; Lord of all Worlds.
The Opening,1,3,"The Compassionate, the Merciful."
The Opening,1,4,Master of the Day of Judgement.
The Opening,1,5,"You [alone] we worship, and You [alone] we ask for help."
The Opening,1,6,Guide us to the straight path:
The Opening,1,7,"the path of those whom You have favoured, not [the path] of those against whom there is wrath, nor of those who are astray."
The Cow,2,1,Alif lām mīm.
The Cow,2,2,"That Book, in it there is no doubt. A guidance for the God-fearing"
The Cow,2,3,"who believe in the Unseen, and maintain the prayer; and of what We have provided them expend;"
The Cow,2,4,"and who believe in what has been revealed to you; and what was revealed before you; and of the Hereafter, they are certain."
The Cow,2,5,Those are upon guidance from their Lord; those are the ones that will prosper.
The Cow,2,6,"As for the disbelievers, alike it is for them whether you have warned them or have not warned them, they do not believe."
The Cow,2,7,"God has set a seal on their hearts, and on their hearing; and on their eyes is a covering; and for them there will be a mighty chastisement."
The Cow,2,8,"And some people there are who say, 'We believe in God and the Last Day'; but they are not believers."
The Cow,2,9,They would deceive God and the believers; and only themselves they deceive; and they are not aware.
The Cow,2,10,In their hearts is a sickness; and God has increased their sickness; and there awaits them a painful chastisement because they used to lie.
The Cow,2,11,"When it is said to them, 'Do not corruption in the land', they say, 'We are only putting things right'."
The Cow,2,12,"Truly, they are the agents of corruption, but they perceive not."
The Cow,2,13,"When it is said to them, ‘Believe as the people believe’, they say, ‘Shall we believe as fools believe?’ Truly, they are the foolish ones, but they know not."
The Cow,2,14,"When they meet those who believe, they say, 'We believe'; but when they go apart to their devils they say, 'We are with you; we were only mocking'."
The Cow,2,15,"God [Himself] mocks them, leaving them in their insolence, bewildered."
The Cow,2,16,Those are they who have bought error for guidance; so their commerce has not profited them; nor are they guided.
The Cow,2,17,"Their likeness is as the likeness of one who kindled a fire, and when it illumined all about him God took away their light and left them in darkness, unable to see,"
The Cow,2,18,"deaf, dumb, blind, they shall not return."
The Cow,2,19,"Or as a cloudburst out of the heaven in which is darkness, and thunder, and lightning - they put their fingers in their ears against the thunderclaps, cautious of death; and God encompasses the disbelievers."
The Cow,2,20,"The lightning well-nigh snatches away their sight; whensoever it gives them light, they walk in it; and when the darkness is over them, they stop; had God willed, He would have taken away their hearing and their sight; Truly, God has power over all things."
The Cow,2,21,"O people, worship your Lord Who created you and those that were before you, so that you may be fearful."
